상품명,가격,판매여부,날짜,시간,24시간이내,프로상점,광고,케어,무료배송,지역,URL,상품ID,세부카테고리ID,대분류,중분류,소분류
(새상품) Barrie 배리 캐시미어 폴로 카라 니트 (정가 159만원),699000,판매중,2025.06.12,방금 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/335605617,335605617,310260800,여성의류,상의,니트_스웨터
쉬즈미스 니트 택도 안 뗀 새상품!,35000,판매중,2025.06.12,1분 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/332756002,332756002,310260800,여성의류,상의,니트_스웨터
폴로 우먼 피마코튼 케이블니트 v넥 새상품(백화점 상품),180000,판매중,2025.06.12,1분 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/314386768,314386768,310260800,여성의류,상의,니트_스웨터
자라 벌룬 반팔 가디건 니트s,35000,판매중,2025.06.12,1분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/338844227,338844227,310260800,여성의류,상의,니트_스웨터
수름 앙고라 브이니트(올리브색상),38000,판매중,2025.06.12,1분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/314645498,314645498,310260800,여성의류,상의,니트_스웨터
(에이블리)자주색 꽈배기 봄 니트,10000,판매중,2025.06.12,1분 전,✅,False,False,False,False,서울특별시 강서구 공항동,https://m.bunjang.co.kr/products/332423704,332423704,310260800,여성의류,상의,니트_스웨터
여성 니트티,5000,판매중,2025.06.12,1분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/338005394,338005394,310260800,여성의류,상의,니트_스웨터
여성니트,10000,판매중,2025.06.12,2분 전,✅,False,False,False,False,서울특별시 서초구 서초4동,https://m.bunjang.co.kr/products/285127973,285127973,310260800,여성의류,상의,니트_스웨터
"영앤리치 반팔니트 와인,블랙",15000,판매중,2025.06.12,2분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/338984326,338984326,310260800,여성의류,상의,니트_스웨터
여성 니트상의,8000,판매중,2025.06.12,2분 전,✅,False,False,False,False,서울특별시 서초구 잠원동,https://m.bunjang.co.kr/products/195316233,195316233,310260800,여성의류,상의,니트_스웨터
달리호텔 티에라 캡소매 반팔 니트 소라,12000,판매중,2025.06.12,2분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/332759408,332759408,310260800,여성의류,상의,니트_스웨터
자라 반팔 니트,14000,판매중,2025.06.12,2분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/332775945,332775945,310260800,여성의류,상의,니트_스웨터
여성니트(2장),15000,판매중,2025.06.12,2분 전,✅,False,False,False,False,서울특별시 서초구 서초1동,https://m.bunjang.co.kr/products/280520333,280520333,310260800,여성의류,상의,니트_스웨터
자라 니트,8000,판매중,2025.06.12,3분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/323465837,323465837,310260800,여성의류,상의,니트_스웨터
카키크롭니트,5000,판매중,2025.06.12,3분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/328315837,328315837,310260800,여성의류,상의,니트_스웨터
울니트,13000,판매중,2025.06.12,3분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/303827823,303827823,310260800,여성의류,상의,니트_스웨터
폴로 브이넥 니트 네이비,20000,판매중,2025.06.12,3분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/312711087,312711087,310260800,여성의류,상의,니트_스웨터
수입의류에이블리 H로고 반팔니트,5000,판매중,2025.06.12,3분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/314925153,314925153,310260800,여성의류,상의,니트_스웨터
어텀 니트,11000,판매중,2025.06.12,3분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/327824564,327824564,310260800,여성의류,상의,니트_스웨터
에이블리 숄더 트임 여리핏 크롭 니트,11500,판매중,2025.06.12,4분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/335638569,335638569,310260800,여성의류,상의,니트_스웨터
에이블리 어깨숄 니트,8000,판매중,2025.06.12,4분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/315311548,315311548,310260800,여성의류,상의,니트_스웨터
귀여운 카라 니트 겨자색,25000,판매중,2025.06.12,4분 전,✅,False,False,False,False,부산광역시 수영구 광안제2동,https://m.bunjang.co.kr/products/251028468,251028468,310260800,여성의류,상의,니트_스웨터
토끼털 회색 집업 니트,7000,판매중,2025.06.12,4분 전,✅,False,False,False,False,부산광역시 수영구 광안제2동,https://m.bunjang.co.kr/products/160408119,160408119,310260800,여성의류,상의,니트_스웨터
블랙 보송 니트~★,5000,판매중,2025.06.12,4분 전,✅,False,False,False,False,부산광역시 수영구 광안제2동,https://m.bunjang.co.kr/products/40456377,40456377,310260800,여성의류,상의,니트_스웨터
오르 니트,30000,판매중,2025.06.12,4분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/335640184,335640184,310260800,여성의류,상의,니트_스웨터
새상품) 자라 메탈 펄 후드 니트,39000,판매중,2025.06.12,4분 전,✅,False,False,False,False,서울특별시 송파구 잠실6동,https://m.bunjang.co.kr/products/174089895,174089895,310260800,여성의류,상의,니트_스웨터
오르 스퀘어니트,30000,판매중,2025.06.12,4분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/335640414,335640414,310260800,여성의류,상의,니트_스웨터
머스타드니트,10000,판매중,2025.06.12,4분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/150812693,150812693,310260800,여성의류,상의,니트_스웨터
메이비베이비 harin 니트,28000,판매중,2025.06.12,5분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/294787679,294787679,310260800,여성의류,상의,니트_스웨터
데님 니트,8000,판매중,2025.06.12,5분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/217241629,217241629,310260800,여성의류,상의,니트_스웨터
에이치에이트 루츠 니트 아우터,30000,판매중,2025.06.12,6분 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/330494350,330494350,310260800,여성의류,상의,니트_스웨터
에이치에이트 루츠 니트 아우터,30000,판매중,2025.06.12,6분 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/330494160,330494160,310260800,여성의류,상의,니트_스웨터
아이보리 루즈핏 브이넥 봄가을 여름 니트,15000,판매중,2025.06.12,6분 전,✅,True,False,False,False,,https://m.bunjang.co.kr/products/226068015,226068015,310260800,여성의류,상의,니트_스웨터
페인오어플레져 제니 오프숄더 s,45000,판매중,2025.06.12,6분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/327631036,327631036,310260800,여성의류,상의,니트_스웨터
반폴라 미디움 니트 원피스,7000,판매중,2025.06.12,6분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/299799339,299799339,310260800,여성의류,상의,니트_스웨터
흰색 그물니트,4000,판매중,2025.06.12,6분 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/294725556,294725556,310260800,여성의류,상의,니트_스웨터
