category,status,title,price,nickname,date
가공식품_비음료,판매,내몸에 흑염소 진80mlX30포 6박스180포 선물 받은거 안먹어서 판매 무료배송,"83,500",집안살림 정리중임,20:37
가공식품_비음료,판매,홍삼엔 건강세상 30포x6박스 180포 쇼핑백포함 안먹어서 저렴히 판매. 6만원 무료배송,"60,000",모르면연락하지마세요,20:26
가공식품_비음료,판매,"생유산균 5,000원 택배외 불가 30개 선물 받은거 다 못 먹어서 판매함","5,000",모르면연락하지마세요,20:25
가공식품_비음료,판매,소금공장 히말라야 핑크소금 380g,"4,000",딘슨이네,18:31
가공식품_비음료,판매,녹용 홍삼진 30포 X5박스 150포 선물 받은거 판매,"84,000",택배외불가,18:27
가공식품_비음료,판매(안전),지리산 벌집꿀 240g 2통,"35,000",스콘앤크림,16:01
가공식품_비음료,판매(안전),스타벅스 굿포유 플라워 버터쿠키 틴세트 쇼핑백 선물 디저트 스낵 간식,"20,000",Lㅏ라,15:36
가공식품_비음료,판매(안전),미디팜 건망고 팝니다,"4,000",꼬마 하루,15:32
가공식품_비음료,판매(안전),아르망디골드750ml 팝니다,"340,000",dnflslove,15:02
가공식품_비음료,판매,정관장 에브리타임 세븐베리/배/한라봉 플레이버 총 30포,"45,000",다스z,14:35
가공식품_비음료,판매,라뜰리에 루터스 누가크래커,"17,000",늅늅,13:43
가공식품_비음료,완료,"에이밍마켓 밍모스, 쿠키 등","5,000",문마라탕,13:17
가공식품_비음료,판매,바이탈뷰티 슈퍼에센셜 28개입 콜라겐바이탈뷰티 슈퍼에센셜 28개입 콜라겐,"55,000",요호,12:47
가공식품_비음료,판매(안전),"미개봉)정관장 아이패스 F 포커싱(수험생,학생 영양제)","120,000",Q리프트,11:42
가공식품_비음료,판매(안전),고급커피원두-엘 인헤르토 커피,"30,000",juneh,06:20
가공식품_비음료,완료,고급커피원두-파나마 게이샤 MB 그린팁 W 커피,"35,000",juneh,06:18
가공식품_비음료,판매,김오곤 영묘사향단3.75g x100환 3박스 침향27%선물 받은거 3박스 가격 무료배송 택배외불가,"84,500",집안살림 정리중임,2025.06.01.
가공식품_비음료,완료,두바이초코렛,"150,000",qusdnfka,2025.06.01.
가공식품_비음료,판매,신비 복숭아 :) 곧 오픈 합니다 천도복숭아 /털복숭아 / 썬프레,"20,000",songyeonghu,2025.06.01.
가공식품_비음료,판매,(미국 직구) 치토스 할라피뇨.도리토스 쿨랜치,"10,000",dlwnsvy13,2025.06.01.
