category,status,title,price,nickname,date
예술 수집_현대 예술작품,판매,이지은 작가 포스터,"45,000",jio8083,18:39
예술 수집_현대 예술작품,판매(안전),[야드로] 스타워즈 피규어 도자기 인형,"33,000,000",포코요,18:15
예술 수집_현대 예술작품,판매(안전),Honi Nepal 에베레스트 유화 대형작,"190,000",라이세강,18:08
예술 수집_현대 예술작품,판매,디렌리 Diren lee 50호 원화 A급 도상 양도해요,"9,999",Mahokuvoda,17:48
예술 수집_현대 예술작품,판매,백산 김정옥샘 철화분청 찻잔,"80,000",청소싹싹,17:44
예술 수집_현대 예술작품,판매,이배 75 페로탕 판화,"6,300,000",슬기로운중고날아,16:27
예술 수집_현대 예술작품,판매(안전),최재섭 화백 작품 팝니다.,"2,000,000",police44,16:24
예술 수집_현대 예술작품,판매(안전),서양화 유화 캔버스작품 100점/ 화랑의 좋은 그림을 저렴하게 판매합니다. / 100작품 있습니다.,"700,000",미술장이,12:57
예술 수집_현대 예술작품,판매,해강 유근형 명품 청자 향로,"650,000",MoMa갤러리,12:14
예술 수집_현대 예술작품,판매,박서보 아트판화,"195,000",hpt1021,10:28
예술 수집_현대 예술작품,판매,이왈종 작가 아트판화 2,"185,000",hpt1021,10:28
예술 수집_현대 예술작품,판매(안전),해강 유근형작 국화문매병 판매,"1,200,000",쥬드,00:40
예술 수집_현대 예술작품,판매,인사이드아웃 슬픔이 액자,"25,000",푸른아침상념80,2025.06.01.
예술 수집_현대 예술작품,판매(안전),두요 김민정 행복이 머무는 봄날,"2,500,000",쭈니마미미,2025.06.01.
예술 수집_현대 예술작품,판매(안전),꽃그림의 대형 백자 도자기 화로,"2,500",고풍200,2025.06.01.
예술 수집_현대 예술작품,판매(안전),아름다운 꽃그림의 대형 도자기 항아리,"70,000",고풍200,2025.06.01.
예술 수집_현대 예술작품,판매(안전),아름다운 포도 넝쿨 그림의 백자 도자기 항아리,"40,000",고풍200,2025.06.01.
예술 수집_현대 예술작품,판매(안전),잉어그림의 청화백자 대형 도자기 화로 / 고성(古城) 조병호作,"60,000",고풍200,2025.06.01.
예술 수집_현대 예술작품,판매,줄리커티스,"300,000",ART P,2025.06.01.
예술 수집_현대 예술작품,판매(안전),석고상작품. 아이리스 비너스 미니X,"25,000",바꼬ㅡ,2025.06.01.
예술 수집_현대 예술작품,판매,"크리스마스마을,디오라마,빈티지마을","1,000,000",LJ studio,2025.06.01.
예술 수집_현대 예술작품,판매(안전),록카쿠 아야코 세라믹 도자기 에디션,"19,700,000",행복한마라톤,2025.06.01.
예술 수집_현대 예술작품,완료,이케아 X 버질아블로 마르케라드 조명 액자,"100,000",칸트,2025.06.01.
예술 수집_현대 예술작품,판매,엘리자베스 랭그리터 전시회,"10,000",토마트,2025.06.01.
예술 수집_현대 예술작품,판매,동브론즈 아담과 이브 조각상 로렌조퀴니,"690,000",테리홍,2025.06.01.
