category,status,title,price,nickname,date
키덜트_드론/RC/무선조종,판매,후타바(Futaba) 16SZ송.수신기 팝니다,"290,000",우쥬사람,18:42
키덜트_드론/RC/무선조종,판매,DJI 미니4 프로 플라이모어 콤보 플러스 미개봉 새상품 105만원 판매합니다,"1,050,000",lll다크그레이lll,18:38
키덜트_드론/RC/무선조종,판매,웰케라 보이저3 드론,"440,000",bbu1,18:35
키덜트_드론/RC/무선조종,판매,매빅프로2 배터리,"70,000",zhfldkse,18:34
키덜트_드론/RC/무선조종,판매,트랙사스 TRX6 지바겐 RC카 팝니다,"950,000",강우연우아빠,18:30
키덜트_드론/RC/무선조종,판매,테크노 MT410 1/8 몬스터 RC카,"450,000",강우연우아빠,18:29
키덜트_드론/RC/무선조종,판매,트랙사스 TRX4 뉴브롱코 1:10 RC카,"450,000",강우연우아빠,18:29
키덜트_드론/RC/무선조종,판매,트랙사스 TRX4 뉴브롱코 RC카 팝니다,"550,000",강우연우아빠,18:29
키덜트_드론/RC/무선조종,판매(안전),dji 네오 콤보 팔아요,"340,000",S스탈,18:24
키덜트_드론/RC/무선조종,판매,DJI AIR 3S 플라이모어 (활성화전),"1,450,000",안녕니노,18:22
키덜트_드론/RC/무선조종,판매,dji mini3 pro rc 콤보,"620,000",T1아스,18:13
키덜트_드론/RC/무선조종,판매,DJI 미니se 드론 플라이모어세트 + 32G,"270,000",PsyDelic,18:08
키덜트_드론/RC/무선조종,판매(안전),"[EV PEAK] U5+ 충전기6, 10, 12, 14셀 배터리용 3000W 방제드론용 고성능 충전기","930,000",충남천안 김대성,18:03
키덜트_드론/RC/무선조종,판매,"DJI 매빅2 줌(리퍼 새기체) 플라이모어콤보, 배터리총 6개","750,000",오늘도맑음,17:49
키덜트_드론/RC/무선조종,판매,매빅미니3 프로 콤보,"650,000",용구빙,17:45
키덜트_드론/RC/무선조종,판매(안전),인두기 국산 판매합니다.,"45,000",충남천안 김대성,17:42
키덜트_드론/RC/무선조종,판매,DJI 매빅2프로 콤보 + 악세 2종 판매해요 ^^,"780,000",Soulhot,17:32
키덜트_드론/RC/무선조종,판매,"DJI 스마트 조종기/컨트롤러 판매해요 ^^ (매빅2줌/매빅2프로/에어2/에어2S/미니2/팬텀4 PRO 2.0,MAVIC)","550,000",Soulhot,17:31
키덜트_드론/RC/무선조종,판매,"DJI 고글3 + 모션3 판매해요 ^^ (에어3, 미니4프로, 네오, 아바타2, O3 Unit, O4 Unit, NEO, AVATA2)","650,000",Soulhot,17:31
키덜트_드론/RC/무선조종,판매,DJI 매빅에어2S 플라이모어 콤보 판매해요 ^^,"680,000",Soulhot,17:31
키덜트_드론/RC/무선조종,판매,DJI 매빅2줌 콤보 + 악세 2종 판매해요 ^^,"680,000",Soulhot,17:30
키덜트_드론/RC/무선조종,판매(안전),DJI AVATA2 아바타2 FPV 드론,"1,300,000",dx480lca,17:07
키덜트_드론/RC/무선조종,판매,덤보 x6 송수신기,"30,000",ak1231,17:06
