group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
게임용품,게임용품_플레이스테이션,PS VITA 플스 비타 OLED 콜오브 듀티 한정 에디션,"225,000",ESCROW,인증+안전거래 회원,True,True,프랭크 오쎤,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895747,1107895747
게임용품,게임용품_플레이스테이션,(판매완료)PS5 와룡 코드 미사용,"250,000",SOLD_OUT,중고나라 회원,False,False,재롱둥이김짱구,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895661,1107895661
게임용품,게임용품_플레이스테이션,듀얼센스 엣지 모듈 1개 팔아요,"40,000",SALE,인증+안전거래 회원,False,True,kiduk5548,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895179,1107895179
게임용품,게임용품_플레이스테이션,ps5 디그크버젼 상태 s 팝니다,"400,000",SALE,본인인증 회원,False,True,Romancelh,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895128,1107895128
게임용품,게임용품_플레이스테이션,몬헌 와일즈 핍니다,"45,000",ESCROW,중고나라 회원,True,True,houpo,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895022,1107895022
게임용품,게임용품_플레이스테이션,ps3 갓오브워 오리진 컬렉션,"70,000",SALE,중고나라 회원,False,True,딸기메론수박참외,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894636,1107894636
게임용품,게임용품_플레이스테이션,"PS4 PRO "" 니어오토마타 "" 팝니다. S급입니다.","18,000",SALE,중고나라 회원,False,True,JeFFFFFF,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894618,1107894618
게임용품,게임용품_플레이스테이션,ps4 언차티드 에디션 9.0,"200,000",SALE,중고나라 회원,False,True,에스프렛슈,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894612,1107894612
게임용품,게임용품_플레이스테이션,ps5 p의거짓 택포3.5만에 팝니다.,"35,000",SOLD_OUT,본인인증 회원,False,False,Carse K,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894549,1107894549
게임용품,게임용품_플레이스테이션,플스5+포탈+레이싱 페키지+패드2+ vr2 풀세트팝니다,"1,700,000",ESCROW,중고나라 회원,True,True,충북맛집전도사,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894539,1107894539
