group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
반려동물,반려동물_외출/이동 용품,바앤땅 소프트 스퀘어백 M사이즈,"70,000",SALE,중고나라 회원,False,True,블랙블라썸,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895642,1107895642
반려동물,반려동물_외출/이동 용품,강아지이동가방 고양이이동가방 펫용품 애완동물 강아지가방 고양이가방 반려동물가방 반려동물용품 펫가방 펫이동가방 펫이동장 애완용품,"18,000",SALE,중고나라 회원,False,True,게시글읽고문자,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893722,1107893722
반려동물,반려동물_외출/이동 용품,"올치카시트,기저귀,페리스독이동가방,하네스백팩목줄셋트,미용키트,투명울타리 등 여러가지","5,000",ESCROW,인증+안전거래 회원,True,True,올리브,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893694,1107893694
반려동물,반려동물_외출/이동 용품,요요쉬 남아용 강아지 기저귀 1단계 새상품 ×8box+뜯은1box서비스,"7,000",SALE,본인인증 회원,False,True,씨에니87,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887190,1107887190
반려동물,반려동물_외출/이동 용품,몽슈슈(MONCHOUCHOU) 어글리 팜 스튜던트 프릴 자켓 베이지 (택포),"29,000",SALE,중고나라 회원,False,True,콩2콩콩,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883852,1107883852
반려동물,반려동물_외출/이동 용품,"강아지 신발 ( S, XS 사이즈 2세트),  넥카라 2개   총 1만원","10,000",SALE,중고나라 회원,False,True,Womaster,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875404,1107875404
반려동물,반려동물_외출/이동 용품,삽니다ㅡ에어버기 돔3 벤츠콜라보,"12,345",SALE,본인인증 회원,False,True,님과 함께유,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107870159,1107870159
반려동물,반려동물_외출/이동 용품,반려견 이동장 캐리어 바퀴형 팔아요.,"50,000",ESCROW,인증+안전거래 회원,True,True,사탕이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107869541,1107869541
반려동물,반려동물_외출/이동 용품,러프웨어 스위치백 하네스 S 사이즈,"70,000",SALE,인증+안전거래 회원,False,True,정직한문어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107866989,1107866989
반려동물,반려동물_외출/이동 용품,니어바이어스 봉봉백 택포,"75,000",ESCROW,본인인증 회원,True,True,미니멀비우는,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107861538,1107861538
