카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구/인테리어_인테리어소품,수련 포함 스트렙토카르푸스 9종 일괄분양 합니다,"32,000",SALE,본인인증 회원,False,True,모모671006,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893953,1107893953
가구/인테리어_인테리어소품,대형해바라기꽃+벚꽃+고급라탄철재큰바구니모두인테리어로좋음전부합저렴하게5만원(수원),"50,000",SALE,본인인증 회원,False,True,ksh29850,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893782,1107893782
가구/인테리어_인테리어소품,산호초  포함  스트렙토카르푸스 8종 일괄분양 합니다,"29,000",SALE,본인인증 회원,False,True,모모671006,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893312,1107893312
가구/인테리어_인테리어소품,메탈 스틸 크롬 무선 스탠드 LED 터치 무드등 수면등 테이블 램프 독서등 인테리어 새제품 팝니다.,"17,000",SALE,중고나라 회원,False,True,archichan,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893122,1107893122
가구/인테리어_인테리어소품,미사용 새상품 4구 블랙골드 천장조명 인테리어조명 모던조명 BW-004,"70,000",ESCROW,중고나라 회원,True,True,antiqueu,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892954,1107892954
가구/인테리어_인테리어소품,Lilian Lee 사진작가의 꽃 풍경 사진작품 사진앨범 사진액자,"40,000",ESCROW,중고나라 회원,True,True,antiqueu,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892610,1107892610
가구/인테리어_인테리어소품,철제바스켓 철제소품 철제바구니 바스켓 바구니 인테리어소품 레트로소품 빈티지소품 엔틱소품 장식품 카페소품 인테리어 수납함 정리함 보관함 집꾸미기 모던소품 카페인테리어 다육이 화분,"18,000",SALE,중고나라 회원,False,True,글보고문자주세요,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892595,1107892595
가구/인테리어_인테리어소품,꽃병/유리컵/인테리어 소품/가이거 신발240 등 10종,"90,000",SALE,본인인증 회원,False,True,cjy9910,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892446,1107892446
가구/인테리어_인테리어소품,킷캣클락 90주년 한정판 새상품 (정품),"110,000",ESCROW,인증+안전거래 회원,True,True,sideby,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892036,1107892036
가구/인테리어_인테리어소품,브라반티아 보터치빈 34L(23L+11L) 소프트베이지 새것 팔게요,"8,888",SALE,중고나라 회원,False,True,starmmm00,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891825,1107891825
가구/인테리어_인테리어소품,예전에 나온 스타벅스 연필 꽃이 입니다,"10,000",SALE,본인인증 회원,False,True,무적파워1985,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891525,1107891525
가구/인테리어_인테리어소품,핸드메이드 후리지아 꽃다발 무소음 탁상시계,"30,000",ESCROW,인증+안전거래 회원,True,True,포도나무 밭,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891523,1107891523
가구/인테리어_인테리어소품,대구직거래 우드진열대 인테리어소품 빈티지소품 엔틱소품 레트로소품 카페소품 나무소품 우드소품 원목소품 테라스 정원꾸미기 원목 장식품 선반 카페 레스토랑 수납함 보관함 진열장 진열대 플랜드박스 화분대,"100,000",SALE,중고나라 회원,False,True,eclipseUp,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891344,1107891344
가구/인테리어_인테리어소품,오키나와 시샤,"20,000",SALE,인증+안전거래 회원,False,True,SellerK,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891293,1107891293
가구/인테리어_인테리어소품,시누아타 화이트민트 바리에가타,"35,000",SALE,인증+안전거래 회원,False,True,겨울677,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890890,1107890890
가구/인테리어_인테리어소품,압화 3개 세트 액자 책갈피 누름꽃 핸드폰케이스,"8,000",ESCROW,중고나라 회원,True,True,아이보리히,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890852,1107890852
가구/인테리어_인테리어소품,왜철쭉 분재 (미량아) 화분 나무 팔아요,"250,000",ESCROW,본인인증 회원,True,True,기린 e,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890568,1107890568
가구/인테리어_인테리어소품,대형 3단(180cm) 크리스마스 트리 (5만원)​,"50,000",SALE,중고나라 회원,False,True,전개바기,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890444,1107890444
가구/인테리어_인테리어소품,퀸즈아로마 아쿠아 가습기,"20,000",SALE,본인인증 회원,False,True,shkang934,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890245,1107890245
가구/인테리어_인테리어소품,실버드래곤 옐로우 바리에가타,"35,000",SALE,인증+안전거래 회원,False,True,겨울677,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890080,1107890080
가구/인테리어_인테리어소품,잭클린 미스틱 바리에가타,"50,000",SALE,인증+안전거래 회원,False,True,겨울677,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889610,1107889610
가구/인테리어_인테리어소품,왓소니아글로시 옐로우 바리에가타,"55,000",SALE,인증+안전거래 회원,False,True,겨울677,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889296,1107889296
가구/인테리어_인테리어소품,번개표 KUMHO 램프 FPL36 새상품,"10,000",ESCROW,인증+안전거래 회원,True,True,Malcolm7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888973,1107888973
가구/인테리어_인테리어소품,다육이 화분 미니 5,"15,000",SALE,본인인증 회원,False,True,지니,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888943,1107888943
가구/인테리어_인테리어소품,다육이 화분 1,"20,000",SALE,본인인증 회원,False,True,지니,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888919,1107888919
가구/인테리어_인테리어소품,다육이 화분 미니 7,"13,000",SALE,본인인증 회원,False,True,지니,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888898,1107888898
가구/인테리어_인테리어소품,푸세이도 산데리아나 핑크 바리에가타,"240,000",SALE,인증+안전거래 회원,False,True,겨울677,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888674,1107888674
가구/인테리어_인테리어소품,베고니아 여러종분양합니다,"12,345",SALE,인증+안전거래 회원,False,True,sonflower,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888550,1107888550
가구/인테리어_인테리어소품,"주택신축,리모델링건축주꿀팁! 모델하우스창호샷시,전시가구로 평당450만원완성!","111,111",SOLD_OUT,◆셀러회원◆,True,False,견본주택해체상품판매,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888353,1107888353
가구/인테리어_인테리어소품,제라늄 6개 고르시고 3만원,"5,000",SALE,인증+안전거래 회원,False,True,꽃리단길,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887537,1107887537
가구/인테리어_인테리어소품,디자인 책장 U자형,"60,000",SALE,중고나라 회원,False,True,badgut,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886835,1107886835
가구/인테리어_인테리어소품,모델하우스 전시 제품 다양한 신발장 깜짝 놀랄 가격에 판매합니다 [거울 있는 제품도 있고! 수납 좋은 제품 제품 많어요!!],"2,222",SALE,◆셀러회원◆,False,True,ㅇ대형하우징ㅇ,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886529,1107886529
가구/인테리어_인테리어소품,새제품 심플하고 모던한 40cm 벽시계 배송료포함 15만원 팝니다.,"150,000",SALE,중고나라 회원,False,True,wowteam,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886276,1107886276
가구/인테리어_인테리어소품,잎사귀 풍성한 대형 뱅갈고무나무 145cm(이동식 받침대 포함),"89,000",SALE,중고나라 회원,False,True,블루빙고,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886264,1107886264
가구/인테리어_인테리어소품,불단 판매합니다,"400,000",SALE,본인인증 회원,False,True,junghyun7456,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886037,1107886037
가구/인테리어_인테리어소품,[빈티지] 병정 모형 피규어 오브제 장식품,"100,000",SALE,중고나라 회원,False,True,빠라바라밤밤빰,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885778,1107885778
가구/인테리어_인테리어소품,[빈티지] 병정 모형 피규어 오브제 장식품,"680,000",SALE,중고나라 회원,False,True,빠라바라밤밤빰,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885767,1107885767
가구/인테리어_인테리어소품,[빈티지] 인테리어 소품 오브제 장식품,"50,000",SALE,중고나라 회원,False,True,빠라바라밤밤빰,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885754,1107885754
가구/인테리어_인테리어소품,[빈티지] 인테리어 소품 오브제 장식품,"30,000",SALE,중고나라 회원,False,True,빠라바라밤밤빰,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885741,1107885741
가구/인테리어_인테리어소품,[빈티지] 인테리어 소품 오브제 장식품,"50,000",SALE,중고나라 회원,False,True,빠라바라밤밤빰,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885727,1107885727
가구/인테리어_인테리어소품,무늬국화,"10,000",SALE,본인인증 회원,False,True,세티거,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884604,1107884604
가구/인테리어_인테리어소품,분재.다육.야생화분.천광분,"80,000",SALE,본인인증 회원,False,True,mayflower2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884381,1107884381
가구/인테리어_인테리어소품,restoration hardware 미니 화병 세트,"85,000",SALE,본인인증 회원,False,True,parki,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884174,1107884174
가구/인테리어_인테리어소품,르네상스 주석잔 6P세트 (주석 95% ),"70,000",SALE,중고나라 회원,False,True,블랙 눈동자,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883995,1107883995
가구/인테리어_인테리어소품,LED 레일조명 T라인 조명 주백색 25개 일괄판매,"300,000",ESCROW,중고나라 회원,True,True,vicool,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883039,1107883039
가구/인테리어_인테리어소품,수제토분 그로브팟 미니토분 10종 세트,"65,000",SOLD_OUT,본인인증 회원,False,False,DANYYYY,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107882732,1107882732
가구/인테리어_인테리어소품,스텐드 조명 거울 옷걸이 커튼 장식대 분수 파티션 소품≡,"12,345",SALE,◆셀러회원◆,False,True,aselfurniture,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107881783,1107881783
