카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
게임용품_XBOX,Xbox 기프트카드 만원권 5장,"45,000",SOLD_OUT,본인인증 회원,False,False,파이어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890378,1107890378
게임용품_XBOX,XBOX 360 키넥트어드벤처 한글판,"5,000",ESCROW,본인인증 회원,True,True,별이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888840,1107888840
게임용품_XBOX,엑스박스 xbox 4세대 컨트롤러 패드 단순개봉 새상품,"50,000",SALE,본인인증 회원,False,True,trdhurrg,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888059,1107888059
게임용품_XBOX,오로라 xbox360 슬림 250GB 모델 판매합니다.,"100,000",ESCROW,인증+안전거래 회원,True,True,야옹골골송,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886339,1107886339
게임용품_XBOX,"xbox360 베이징올림픽2008, NBA 라이브06, MLB2k7,fifa12 일괄 택포 2.5","25,000",SALE,인증+안전거래 회원,False,True,핵둘둘이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880289,1107880289
게임용품_XBOX,XBOX ONE X SSD 1테라 교체,"140,000",SALE,본인인증 회원,False,True,sals7945,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107879650,1107879650
게임용품_XBOX,SCUF Instinct Pro 판매합니다,"200,000",SALE,중고나라 회원,False,True,악어악어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107876891,1107876891
게임용품_XBOX,Xbox 기프트카드 10만원권,"90,000",SALE,본인인증 회원,False,True,율령,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107874432,1107874432
게임용품_XBOX,XBOX360 S 키넥트 포함 박스 패키지,"90,000",SOLD_OUT,인증+안전거래 회원,False,False,리로드,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107873765,1107873765
게임용품_XBOX,"엑스박스 (Xbox series S, XSS, 엑시스) 본체 + 콘솔2","210,000",SOLD_OUT,본인인증 회원,False,False,in 서울지역,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107856419,1107856419
게임용품_XBOX,구엑박 등 일괄,"45,000",SALE,중고나라 회원,False,True,레이지봉꾸,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107850277,1107850277
게임용품_XBOX,포르자 호라이즌 한정판 컨트롤러+Razer 포르자 한정판 컨트롤러 전용 충전 거치대 미사용품 판매,"200,000",SALE,본인인증 회원,False,True,로리카리아,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107844548,1107844548
게임용품_XBOX,XBOX 구엑박 드라이버3 한글판 미개봉,"5,000",SALE,본인인증 회원,False,True,로렌스82,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107841833,1107841833
게임용품_XBOX,XBOX 신품 차지킷 엑박 배터리팩 판매,"19,000",SALE,중고나라 회원,False,True,당근온도42도,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107830953,1107830953
게임용품_XBOX,국내정발 XBOX 다크소울 2 엑박 판매,"15,000",SALE,중고나라 회원,False,True,당근온도42도,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107830894,1107830894
게임용품_XBOX,엑스박스 시리즈s 판매합니다,"180,000",SOLD_OUT,중고나라 회원,False,False,dear11,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107830314,1107830314
게임용품_XBOX,xbox360s 화이트슬림 한정판 1tb 키넥트 오로라세팅 부팅빠름,"165,000",SALE,인증+안전거래 회원,False,True,류티에이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107829036,1107829036
게임용품_XBOX,xbox360 키넥트 게임5종 일괄택포,"24,000",SALE,중고나라 회원,False,True,우리들은doc,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107827412,1107827412
게임용품_XBOX,레데리 1/2 일괄판매 합니다,"25,000",SALE,본인인증 회원,False,True,버미로드,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107826704,1107826704
게임용품_XBOX,Xbox360 미개봉 게임 여러개 팝니다,"30,000",SALE,본인인증 회원,False,True,shaii007,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107822382,1107822382
게임용품_XBOX,엑스박스 시리즈X (Series x) 신품급 박풀셋,"400,000",SOLD_OUT,인증+안전거래 회원,False,False,GarDIen,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107813635,1107813635
게임용품_XBOX,엑스박스 패드 4세대 카본블랙 팝니다..,"40,000",SALE,본인인증 회원,False,True,verygoodsky,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107812656,1107812656
게임용품_XBOX,엑스박스 xbox 4세대 컨트롤러 패드,"40,000",SALE,본인인증 회원,False,True,trdhurrg,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107812360,1107812360
게임용품_XBOX,[XSX] 고담 나이트 판매합니다.,"15,000",SALE,본인인증 회원,False,True,이것저것그래,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107805047,1107805047
게임용품_XBOX,[인천/직거래]SEAGATE XBOX 시리즈 X|S 스토리지 확장카드 1TB 팝니다,"150,000",SALE,본인인증 회원,False,True,restia01,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107802795,1107802795
