카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
게임용품_닌텐도/WII,닌텐도ds lite 메탈릭로즈,"100,000",ESCROW,인증+안전거래 회원,True,True,프랭크 오쎤,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895729,1107895729
게임용품_닌텐도/WII,"[배포/이로치] 닌텐도 DS, 3DS 포켓몬스터 디아루가, 펄기아, 기라티나, 소울실버, 하트골드, 블랙 2, 화이트 2, X, Y, 오메가루비, 알파사파이어, 울트라썬, 울트라문","100,000",SALE,중고나라 회원,False,True,님피아3,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895690,1107895690
게임용품_닌텐도/WII,닌텐도 스위치 배터리 개선판 본체 (단품) (XKK10004),"70,000",SALE,본인인증 회원,False,True,김토리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895311,1107895311
게임용품_닌텐도/WII,"왼쪽 조이콘, 오른쪽조이콘(고장,분해), 조이콘 그립, 일괄 23,000원","23,000",SOLD_OUT,중고나라 회원,False,False,onlyonemind,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894673,1107894673
게임용품_닌텐도/WII,택포)닌텐도 스위치 피트니스 복싱2,"23,000",SALE,본인인증 회원,False,True,윽디쿠장몯,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894427,1107894427
게임용품_닌텐도/WII,av 개조 패미컴 판매합니다.,"90,000",SALE,중고나라 회원,False,True,onlyonemind,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894276,1107894276
게임용품_닌텐도/WII,슈퍼패미컴 판매합니다. 220v 포함,"65,000",SOLD_OUT,중고나라 회원,False,False,onlyonemind,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894258,1107894258
게임용품_닌텐도/WII,닌텐도 3ds 리듬세상 더베스트,"70,000",ESCROW,인증+안전거래 회원,True,True,프랭크 오쎤,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894247,1107894247
게임용품_닌텐도/WII,닌텐도ds 포켓몬 하트골드,"105,000",ESCROW,인증+안전거래 회원,True,True,프랭크 오쎤,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894065,1107894065
게임용품_닌텐도/WII,닌텐도 스위치 2 본품 미개봉 새상품,"670,000",SALE,본인인증 회원,False,True,곰탱반쪽,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894022,1107894022
