카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
골프_드라이버/우드/유틸리티,판매완료-여성젝시오우드3번,"11,111",SALE,중고나라 회원,False,True,단비,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894569,1107894569
골프_드라이버/우드/유틸리티,ai 스모크 하이브리드 투어 AD HY 85S 4번 21도,"220,000",SALE,본인인증 회원,False,True,봄날,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892013,1107892013
골프_드라이버/우드/유틸리티,미즈노 티조이드플러스 드라이버 우드 유틸리티 4개 세트,"150,000",ESCROW,◆셀러회원◆,True,True,잭타이어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891713,1107891713
골프_드라이버/우드/유틸리티,여성 필라 우드 4번 샤프트 L 팝니다,"20,000",SALE,중고나라 회원,False,True,당근보단중나지,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891222,1107891222
골프_드라이버/우드/유틸리티,스릭슨 ZX7 유틸리티 7S샤프트 저렴히 판매합니다.,"110,000",ESCROW,중고나라 회원,True,True,이강rhrj,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888788,1107888788
골프_드라이버/우드/유틸리티,pxg gen6 0311p (5~p(w)) 6개 아이언 판매합니다.,"950,000",SALE,본인인증 회원,False,True,정엘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888644,1107888644
골프_드라이버/우드/유틸리티,후지꾸라 데이토아 스피더 6s 샤프트,"280,000",SALE,본인인증 회원,False,True,정엘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888562,1107888562
골프_드라이버/우드/유틸리티,패러다임 드라이버 10.5 SR,"280,000",ESCROW,본인인증 회원,True,True,검은서막,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886803,1107886803
골프_드라이버/우드/유틸리티,"캘러웨이 코리아 정품
드라이버 로그st max Ls 9도 텐세이55s","229,000",SALE,본인인증 회원,False,True,q수지q,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886415,1107886415
골프_드라이버/우드/유틸리티,보증21개월남음)SIM2 MAX 10.5,"290,000",ESCROW,인증+안전거래 회원,True,True,페0I드,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885683,1107885683
골프_드라이버/우드/유틸리티,"유명메이커 (탠디,소다,금강,닥스) 구두,지갑,벨트,골프화,등산화 31년납품하청","139,000",ESCROW,중고나라 회원,True,True,NAVER검색 하크수제화,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885017,1107885017
골프_드라이버/우드/유틸리티,"야마하 리믹스 RMX VD59(Diamana YR SR강도, 10.5도)","80,000",SALE,중고나라 회원,False,True,24884,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884619,1107884619
골프_드라이버/우드/유틸리티,정품 타이틀리스트와 스릭슨 드라이버 두가지 판매해요.,"180,000",SALE,중고나라 회원,False,True,살트르,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884057,1107884057
골프_드라이버/우드/유틸리티,타이틀리스트 915,"2,000",ESCROW,본인인증 회원,True,True,라스콜리나스,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883411,1107883411
