카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
도서_비문학/인문학,"사피엔스 한글판, 영어판","20,000",SALE,본인인증 회원,False,True,좋은친구8,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895702,1107895702
도서_비문학/인문학,"한국 수산지 IV-1, 2","52,000",SALE,중고나라 회원,False,True,오란씨 리턴즈,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895021,1107895021
도서_비문학/인문학,기호 : 개념과 역사 / 세상의 바보들에게 웃으며 화내는 방법 (움베르토 에코 매니아 컬렉션),"10,000",SALE,중고나라 회원,False,True,오란씨 리턴즈,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894994,1107894994
도서_비문학/인문학,"철학) 아리스토텔레스의 신학 1,2 세트","150,000",SALE,중고나라 회원,False,True,오란씨 리턴즈,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894977,1107894977
도서_비문학/인문학,벨에포크 시대 드레스 화집 판매합니다 택포40000,"40,000",ESCROW,본인인증 회원,True,True,congbeolle,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893564,1107893564
도서_비문학/인문학,"폴존슨 기독교의 역사, 유대인의 역사","30,000",RESERVATION,본인인증 회원,False,True,좋은친구8,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893489,1107893489
도서_비문학/인문학,로고스 히브리어 헬라어 사전 개역개정 판매,"55,000",SALE,인증+안전거래 회원,False,True,우머정,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892596,1107892596
도서_비문학/인문학,NIV 적용주석 12권 판매합니다. (정가에서 40% 세일),"220,000",SALE,인증+안전거래 회원,False,True,우머정,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892497,1107892497
도서_비문학/인문학,"기독교 신학 서적 (이단, 성경,구약,신약 등등)","12,322",SALE,인증+안전거래 회원,False,True,우머정,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892483,1107892483
도서_비문학/인문학,성경 주석 앵커바이블 5권 판매,"150,000",SOLD_OUT,인증+안전거래 회원,False,False,우머정,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892317,1107892317
도서_비문학/인문학,전뇌사고 새책 판매합니다!!,"8,000",SALE,본인인증 회원,False,True,괴산능돌이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891125,1107891125
도서_비문학/인문학,경제학 도서 일괄판매,"10,000",SALE,중고나라 회원,False,True,앙그라마이뉴22,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889759,1107889759
도서_비문학/인문학,가난한 아이들은 어떻게 어른이 되는가(거의새책),"10,000",SALE,중고나라 회원,False,True,Serang929,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889437,1107889437
도서_비문학/인문학,"성공법, 공부법, 학습법, 자기계발, 소설, 절판 희귀 도서등 각종 도서 판매합니다.","5,000",SALE,인증+안전거래 회원,False,True,레트로드로,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886034,1107886034
도서_비문학/인문학,톰슨대역 한영성경 명탐정 천재교실 우표 89 우표첩. 만주는 우리 땅이다 소설 임진왜란. 비부명리 양반들의 일상세계. 그리스도와 가이사 국제정치이론 세포적 건축. THE 공시한자 한권으로 읽는 동의보감,"10,001",SALE,본인인증 회원,False,True,노도 리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885938,1107885938
도서_비문학/인문학,민음사 세계문학전집 1~200권 66만원 택포,"660,000",ESCROW,중고나라 회원,True,True,궁리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885113,1107885113
도서_비문학/인문학,아우구스티누스 고백록,"5,000",SALE,본인인증 회원,False,True,좋은친구8,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884638,1107884638
도서_비문학/인문학,(3) 부의 미래/축적의 길/MONEY 2.0/더 미러클/돈의 본능/챗 GPT 기회를 잡는 사람들/왓칭/더 찬스/라이브커머스의 정석/운의 속성/마케팅 불변의 법칙/돈의 지혜/초예측/경영의 미래/디톡스 경영/5000일 후의 세계,"12,345",SALE,중고나라 회원,False,True,석이와 영이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883315,1107883315
도서_비문학/인문학,김소월 시인 관련서적 판매합니다.,"30,000",SALE,중고나라 회원,False,True,푸리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883310,1107883310
도서_비문학/인문학,트렌드 코리아(2015/2016/2018/2019/2020/2021/2022)/2010 대한민국 트렌드/2020 한국이 열광할 세계 트렌드/2021 한국이 열광할 세계 트렌드향후 10년 메가트렌드 책 판매,"12,345",SALE,중고나라 회원,False,True,석이와 영이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107882687,1107882687
도서_비문학/인문학,관자,"17,000",SALE,본인인증 회원,False,True,우리a같이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107871980,1107871980
도서_비문학/인문학,기독교서적/신학서적/기독교 역사(1),"80,000",SALE,중고나라 회원,False,True,kgokc2018,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107871697,1107871697
도서_비문학/인문학,아이세움 논술 명작,"80,000",ESCROW,본인인증 회원,True,True,이웃나라 요술항아리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107869581,1107869581
도서_비문학/인문학,외경위경전서(10권)/이상근목사외경(2권)/관주풀이대전/날마다 성경/도울 김용옥,"70,000",SALE,중고나라 회원,False,True,kgokc2018,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107866675,1107866675
도서_비문학/인문학,"[전부 새책] 올재 클래식스 세트 전집 (26차 ~ 44차 세트, 총 62권) 판매합니다.","599,000",SALE,중고나라 회원,False,True,별별스타일로,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107866103,1107866103
도서_비문학/인문학,(도서) 취미부자,"8,000",ESCROW,본인인증 회원,True,True,라이덕스,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107864977,1107864977
도서_비문학/인문학,하나님과 함께하는 출근길 365 캘린더,"5,000",SALE,본인인증 회원,False,True,심장아그만나대,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107864029,1107864029
도서_비문학/인문학,문학책 소설책 여러가지 책한권에 900원 900원,"2,000",SALE,중고나라 회원,False,True,tnswk4210,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107863654,1107863654
도서_비문학/인문학,"프로파간다 영화 그래픽 책 (타이포, 포스터)","20,000",SALE,중고나라 회원,False,True,사기는신고차단,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107861269,1107861269
도서_비문학/인문학,정치학 현대정치의 이론과 실천,"10,000",SALE,본인인증 회원,False,True,꿀꿀꾸르꿀,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107857965,1107857965
도서_비문학/인문학,"호크마 주석세트(구약20권, 신약10권) 전권 세트 팝니다.(기독교 서적/기독교 주석/ 신학 서적)","100,000",ESCROW,본인인증 회원,True,True,재드78,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107855492,1107855492
도서_비문학/인문학,글쓰기 책들 팝니다.,"4,567",SALE,중고나라 회원,False,True,뚜벅이총각,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107855457,1107855457
도서_비문학/인문학,90년대 천수경 아함정행경 불교 관세음보살 서적 도서 책 팝니다,"10,000",RESERVATION,본인인증 회원,False,True,삼월의기린,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107854062,1107854062
도서_비문학/인문학,스티브 잡스 전기 책 도서 애플,"9,000",SALE,본인인증 회원,False,True,히데쨩,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107853720,1107853720
도서_비문학/인문학,매튜헨리주석. 택포,"300,000",SALE,중고나라 회원,False,True,릴리콩콩,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107852453,1107852453
도서_비문학/인문학,"탄핵 인사이드 아웃, 반일 종족주의","16,000",ESCROW,인증+안전거래 회원,True,True,qctze,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107851409,1107851409
도서_비문학/인문학,깨끗한 도서 팝니다~,"5,000",ESCROW,본인인증 회원,True,True,어제오늘내일,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107851254,1107851254
도서_비문학/인문학,(절판책추천)이건희 에세이:생각 좀 하며 세상을 보자,"14,000",SOLD_OUT,인증+안전거래 회원,True,False,gog35235,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107850263,1107850263
도서_비문학/인문학,시대예보 핵개인의 시대 새상품,"10,000",SALE,인증+안전거래 회원,False,True,wjdflgo,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107850135,1107850135
도서_비문학/인문학,모든 요일의 기록 김민철,"9,000",SALE,인증+안전거래 회원,False,True,hbdv,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107849915,1107849915
도서_비문학/인문학,매일매일 좋은 날 모리시타 노리코,"8,000",SALE,인증+안전거래 회원,False,True,hbdv,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107849864,1107849864
도서_비문학/인문학,시크릿폴리틱스 미래중독자 미국은 동아시아를 어떻게 지배했나,"24,000",SALE,중고나라 회원,False,True,rjwsqy,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107848825,1107848825
도서_비문학/인문학,도록 금은보화 리움미술관,"40,000",SALE,본인인증 회원,False,True,봄모란,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107848335,1107848335
도서_비문학/인문학,논어 (공자)/ 사기 (사마천)-양장본 -개별가격,"4,000",SALE,중고나라 회원,False,True,필쏘굿,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107847589,1107847589
도서_비문학/인문학,나는 컨설턴트되고 10배 더 번다,"5,000",SALE,중고나라 회원,False,True,좋은책 판매자,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107846319,1107846319
도서_비문학/인문학,은밀하게 위대하게 소설/hun,"3,000",SALE,중고나라 회원,False,True,좋은책 판매자,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107846310,1107846310
도서_비문학/인문학,"(절판책추천)샤프슈터가 아들에게 보내는 편지1,2,3,4,5","65,000",ESCROW,인증+안전거래 회원,True,True,gog35235,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107845740,1107845740
도서_비문학/인문학,나는 부동산과 맞벌이한다(나부맞),"14,000",SOLD_OUT,인증+안전거래 회원,True,False,gog35235,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107845713,1107845713
도서_비문학/인문학,내가 틀릴 수도 있습니다 필사 에디션 판매합니다,"13,000",SALE,본인인증 회원,False,True,dailytoblue,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107839067,1107839067
도서_비문학/인문학,히트 리프레시,"10,000",SALE,본인인증 회원,False,True,ehdc****,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107836674,1107836674
도서_비문학/인문학,설교집/설교자료/베스트설교/성경을 어떻게 읽을 것인가,"50,000",SALE,중고나라 회원,False,True,kgokc2018,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107827156,1107827156
