카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_TV/영상가전,미개봉/새상품) 삼성 Neo QLED 43인치 TV,"790,000",ESCROW,본인인증 회원,True,True,현이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895588,1107895588
디지털 / 가전_TV/영상가전,삼성 더 프리스타일 SP-LSPB3LAXKR 새상품(미개봉),"310,000",SALE,본인인증 회원,False,True,gyusunee,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895009,1107895009
디지털 / 가전_TV/영상가전,소니 SONY DVD-RW Double Sided Disk 미니 8cm 공CD 8장+멜로디 이메이션 CD-RW 미니 8cm 공CD 5장 일괄 (새상품),"140,000",SALE,중고나라 회원,False,True,Orange Road,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894867,1107894867
디지털 / 가전_TV/영상가전,삼성 네오QLED 65인치 4K 스마트 TV,"1,300,000",SALE,중고나라 회원,False,True,banez,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894603,1107894603
디지털 / 가전_TV/영상가전,인스타360 Ace Pro 2 액션캠 듀얼 배터리팩 피씨다이렉트 정품,"450,000",SALE,중고나라 회원,False,True,inhawdawd1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894499,1107894499
디지털 / 가전_TV/영상가전,LG 울트라 UHD 4K 86인치 TV 217cm 스탠드형 86UR931C0NA 판매,"1,650,000",SALE,◆셀러회원◆,False,True,알뜰가전,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894190,1107894190
디지털 / 가전_TV/영상가전,맥셀 MP-WU5603 레이저 6000안시 WUXGA 중고빔프로젝터 스크린골프 골프존 교회 사무실 강의실,"890,000",ESCROW,◆셀러회원◆,True,True,정인빔프로젝터,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893651,1107893651
디지털 / 가전_TV/영상가전,"인스타 360 3x, 오즈모 액션4","650,000",SALE,중고나라 회원,False,True,고성햇골,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893320,1107893320
디지털 / 가전_TV/영상가전,구글 크롬캐스트 4K 일본판 S급 판매,"80,000",SOLD_OUT,인증+안전거래 회원,False,False,중앙공원오리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893141,1107893141
디지털 / 가전_TV/영상가전,[팝니다] 삼성 스마트모니터 S43BM700,"300,000",SALE,중고나라 회원,False,True,일직선,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892729,1107892729
디지털 / 가전_TV/영상가전,소니 a6600+SEL18105G+시그마 UFO+시그마 MC-11,"2,100,000",ESCROW,본인인증 회원,True,True,워제티,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892624,1107892624
디지털 / 가전_TV/영상가전,LG 유플러스 디즈니리모컨 1대 btv 리모컨1대. 일괄 25000원 판매합니다,"25,000",SOLD_OUT,인증+안전거래 회원,True,False,chohun1830,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892598,1107892598
디지털 / 가전_TV/영상가전,스파이드로  수중카메라 3개,"550,000",SALE,중고나라 회원,False,True,고성햇골,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892542,1107892542
디지털 / 가전_TV/영상가전,전동 배경 롤 스크린 무선 배경지 포함,"550,000",SALE,본인인증 회원,False,True,오데마사랑,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892524,1107892524
디지털 / 가전_TV/영상가전,비디유고 팝니다,"350,000",ESCROW,중고나라 회원,True,True,고성햇골,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892174,1107892174
디지털 / 가전_TV/영상가전,대형 빔프로젝터 스크린 110인치~120인치,"900,000",SALE,중고나라 회원,False,True,강한별,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891439,1107891439
디지털 / 가전_TV/영상가전,삼성티브이거치대 BN96-31876A,"30,000",SALE,중고나라 회원,False,True,뒤뚱뒤뚱77,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890986,1107890986
디지털 / 가전_TV/영상가전,미개봉 엘지LG 미니빔 티비 TV PH55HT (17만원)​,"170,000",SALE,중고나라 회원,False,True,전개바기,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890705,1107890705
디지털 / 가전_TV/영상가전,히타치 CP-F600 WUXGA 6000안시 중고빔프로젝터 스크린골프 교회 강의실 사무실 회의실 포차 카페,"290,000",ESCROW,◆셀러회원◆,True,True,정인빔프로젝터,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890376,1107890376
디지털 / 가전_TV/영상가전,엡손 레이저 프로젝트,"1,000,000",SALE,중고나라 회원,False,True,ABC대박,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890099,1107890099
디지털 / 가전_TV/영상가전,애플tv 4k 2세대,"90,000",ESCROW,중고나라 회원,True,True,이런저런,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890036,1107890036
디지털 / 가전_TV/영상가전,엡손 EB-1980WU 중고빔프로젝터 4500안시 풀HD 가정용 업소용 학원용 교회용,"370,000",ESCROW,◆셀러회원◆,True,True,강남준빔프로젝터,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889394,1107889394
디지털 / 가전_TV/영상가전,카시오 XJ-H1700 4000안시 레이져 중고빔프로젝터 2만시간 사용,"300,000",SOLD_OUT,중고나라 회원,True,False,dkssudgktpdyr,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888686,1107888686
디지털 / 가전_TV/영상가전,스탠바이미2 스마트캠,"70,000",SALE,본인인증 회원,False,True,GTISBLUES,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887399,1107887399
디지털 / 가전_TV/영상가전,히타치 CP-EX300 3200안시 중고빔프로젝터,"280,000",SOLD_OUT,중고나라 회원,False,False,eoeksgkspdy,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887247,1107887247
디지털 / 가전_TV/영상가전,"srd-1650dc 삼성테크윈 dvr녹화기,sco-2012r cctv카메라","60,000",SALE,중고나라 회원,False,True,나는나는빌런이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886534,1107886534
디지털 / 가전_TV/영상가전,삼성 더세리프 43인치 TV 108cm 스탠드형 KQ43LSD01AFXKR 판매,"750,000",SALE,◆셀러회원◆,False,True,알뜰가전,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886527,1107886527
디지털 / 가전_TV/영상가전,KU75UT8090 75인치 티비 스탠드형 급판매합니다.,"300,000",SOLD_OUT,인증+안전거래 회원,True,False,jude1026,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886490,1107886490
디지털 / 가전_TV/영상가전,삼성 스마트모니터 M7 43인치 화이트 새제품,"429,000",SALE,인증+안전거래 회원,False,True,훌라쌈밥,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886451,1107886451
디지털 / 가전_TV/영상가전,히타치 CP-X5550 5800안시 중고빔프로젝터,"650,000",SOLD_OUT,중고나라 회원,False,False,지지지사랑,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886203,1107886203
디지털 / 가전_TV/영상가전,엡손 EB-X31 중고빔프로젝터 3300안시 XGA 휴대용 이동용 가정용 업소용,"189,998",ESCROW,◆셀러회원◆,True,True,강남준빔프로젝터,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886055,1107886055
디지털 / 가전_TV/영상가전,"넷플릭스 프리미엄uhd 단독 계정 tv,폰,패드,pc 사용가능","5,000",ESCROW,본인인증 회원,True,True,개굴이1212,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885753,1107885753
디지털 / 가전_TV/영상가전,[대구] 삼성 un46es6350f 46치 스마트 LED TV 팝니다.,"90,000",SALE,중고나라 회원,False,True,들장미파소녀캔디,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885734,1107885734
디지털 / 가전_TV/영상가전,고프로12 블랙+보야2채널+1채널_가격다운,"500,000",SALE,중고나라 회원,False,True,미래짓는 왕과장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885665,1107885665
디지털 / 가전_TV/영상가전,LG 32SQ780SW 모니터 판매합니다,"320,000",SOLD_OUT,중고나라 회원,True,False,rhksdidehd,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885524,1107885524
디지털 / 가전_TV/영상가전,개인 라프텔 프리미엄 6개월~1년 같이 보실분 구합니다,"22,500",SALE,본인인증 회원,False,True,세렌게팅,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884953,1107884953
