카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_미용가전/기기,다이슨 에어랩 id 스트로베리,"550,000",SALE,인증+안전거래 회원,False,True,해맑은콩이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894812,1107894812
디지털 / 가전_미용가전/기기,클럭 스트레칭 마사지기,"50,000",ESCROW,본인인증 회원,True,True,horsehj,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893851,1107893851
디지털 / 가전_미용가전/기기,꿀피부 가능 250만구매 피부관리기,"150,000",SALE,중고나라 회원,False,True,지네짠,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892067,1107892067
디지털 / 가전_미용가전/기기,필립스 소닉케어 전동칫솔 무선충전 스카이블루,"40,000",SALE,중고나라 회원,False,True,monvelo,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891871,1107891871
디지털 / 가전_미용가전/기기,센텔리안24 마데카 프라임 프리즘 핑크 에디션 택포 179000원에 팔게요,"8,888",SALE,중고나라 회원,False,True,starmmm00,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891660,1107891660
디지털 / 가전_미용가전/기기,Envely 갈바니온 원적외선 스킨케어기,"40,000",SALE,중고나라 회원,False,True,뒤뚱뒤뚱77,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891445,1107891445
디지털 / 가전_미용가전/기기,[미개봉] 필립스 SP9886/36 프레스티지 전기면도기,"30,000",SOLD_OUT,인증+안전거래 회원,True,False,포메러브님,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891182,1107891182
디지털 / 가전_미용가전/기기,M01-720 뷰티 미용 에어건 에어브러쉬 새상품 판매_(택포가격),"75,000",SALE,본인인증 회원,False,True,로즈마리녀,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890740,1107890740
디지털 / 가전_미용가전/기기,실큰 글라이드,"90,000",SALE,중고나라 회원,False,True,LunaCieL,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888661,1107888661
디지털 / 가전_미용가전/기기,듀얼소닉 맥시멈,"450,000",SOLD_OUT,본인인증 회원,False,False,우우uuu,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888588,1107888588
