카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_생활가전,피오렌자또 f83e,"700,000",SALE,본인인증 회원,False,True,ksc987200,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895735,1107895735
디지털 / 가전_생활가전,강블리 무선 LED 물분사 물걸레 청소기 새걸레포함 배터리좋음 전동회전,"40,000",ESCROW,인증+안전거래 회원,True,True,dkdltiqhrnti,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895725,1107895725
디지털 / 가전_생활가전,디베아 캐치웰 c20 무선청소기 배터리좋음 2in1 스틱+핸디형 차이슨,"60,000",ESCROW,인증+안전거래 회원,True,True,dkdltiqhrnti,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895700,1107895700
디지털 / 가전_생활가전,정상작동 삼성제트 무선청소기 물걸레 키트 헤드 브러쉬 단품 구성품 부품,"30,000",ESCROW,인증+안전거래 회원,True,True,dkdltiqhrnti,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895658,1107895658
디지털 / 가전_생활가전,택포) 부라더미싱 ja1400 미싱기 재봉틀,"110,000",SOLD_OUT,본인인증 회원,False,False,챙이챙이요,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895652,1107895652
디지털 / 가전_생활가전,무인양품 무지 가습기,"40,000",SALE,중고나라 회원,False,True,미니미니칩췹,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895529,1107895529
디지털 / 가전_생활가전,"<무료, 배송설치> 중고세탁기 삼성 21키로 액티브워시 블랙케비어,  올분해통세척 @@@","310,000",ESCROW,◆셀러회원◆,True,True,바른중고나라1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895524,1107895524
디지털 / 가전_생활가전,삼성 203L 냉장고 자취용 2도어 냉장고,"230,000",SALE,본인인증 회원,False,True,연꽃사랑이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894902,1107894902
디지털 / 가전_생활가전,삼성 그랑데 건조기 16kg 화이트,"200,000",ESCROW,본인인증 회원,True,True,아이스녹차라떼샷,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894758,1107894758
디지털 / 가전_생활가전,새상품 - 펭카 배터리 도어 카메라,"50,000",SOLD_OUT,중고나라 회원,False,False,HASEYONG,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894361,1107894361
