카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_주방가전,쿠쿠 6인용 전기밥솥 택포 29.500,"29,500",SALE,인증+안전거래 회원,False,True,khurotc1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895707,1107895707
디지털 / 가전_주방가전,"<무료, 배송설치> 중고냉장고 중고양문형냉장고 삼성 846리터 푸드쇼케이스홈바 @@ 2022년도","750,000",ESCROW,◆셀러회원◆,True,True,바른중고나라1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895579,1107895579
디지털 / 가전_주방가전,그랜드 우성 쇼케이스 냉장고 판매,"350,000",SALE,인증+안전거래 회원,False,True,classicd,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895347,1107895347
디지털 / 가전_주방가전,BDC HESTIA 미니 에어프라이어 팝니다.,"20,000",ESCROW,인증+안전거래 회원,True,True,미니멀life추구,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895129,1107895129
디지털 / 가전_주방가전,네스카페 캡슐커피메이커 돌체구스트 9747,"20,000",SALE,중고나라 회원,False,True,케세라세라0707,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893301,1107893301
디지털 / 가전_주방가전,에어프라이어 에어프라이기 튀김기,"12,345",SALE,본인인증 회원,False,True,다다 익선,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893240,1107893240
디지털 / 가전_주방가전,"그린파워 생즙기(GP-2000), 녹즙기","100,000",SALE,중고나라 회원,False,True,짱하고해뜬다,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892663,1107892663
디지털 / 가전_주방가전,쿠쿠 CVCB-A2000 리튬 이온 배터리,"35,000",ESCROW,인증+안전거래 회원,True,True,수유동지킴이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892121,1107892121
디지털 / 가전_주방가전,커피머신성지 카페장비씨메05 씨메05pid 씨메시그니처 씨메03네오 씨메03 5,"77,777",ESCROW,◆셀러회원◆,True,True,커피머신 전시장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891697,1107891697
디지털 / 가전_주방가전,미누야 튀김기 MK-707F,"20,000",SALE,중고나라 회원,False,True,뒤뚱뒤뚱77,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891641,1107891641
디지털 / 가전_주방가전,"자이글 ZG-MR371R (구이, 전골, 비빔, 판3개)","40,000",SALE,중고나라 회원,False,True,뒤뚱뒤뚱77,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891320,1107891320
디지털 / 가전_주방가전,아이스트로 대형제빙기,"800,000",ESCROW,본인인증 회원,True,True,kmhq12,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891251,1107891251
디지털 / 가전_주방가전,린나이 3구 인덕션 RBE-IR3240AB (쇼트세란 독일 상판),"90,000",ESCROW,본인인증 회원,True,True,뽀룩투,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890563,1107890563
디지털 / 가전_주방가전,오아 나이프키퍼 전동 칼갈이,"30,000",SALE,중고나라 회원,False,True,바람과함께살빠지자,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889525,1107889525
디지털 / 가전_주방가전,"카페 창업집기,오픈평대 샌드위치 제과 케잌 디저트 음료 탕후루 마카롱 냉장 쇼케이스,신품,중고 커피머신,아크 블랜더,TCM 전자동 그라인더,핫워터 디스펜서,카이저 대형 제빙기","2,000",ESCROW,◆셀러회원◆,True,True,cafe fridns2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889355,1107889355
디지털 / 가전_주방가전,(새상품) 쿠쿠 스테인레스 커브드 내솥,"76,000",SALE,본인인증 회원,False,True,리비아맘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887992,1107887992
디지털 / 가전_주방가전,매직코리아식기세척기MKW-1004B2판매합니다24년식,"900,000",SALE,◆셀러회원◆,False,True,주방마을7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887849,1107887849
디지털 / 가전_주방가전,아이스트로ICETRO 언더카운터제빙기100키로ICU-105W판매합니다,"950,000",SALE,◆셀러회원◆,False,True,주방마을7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887833,1107887833
디지털 / 가전_주방가전,대흥소프트밀도우컨디셔너40매LCD인버터형SMDG-INV-1040S판매합니다,"3,200,000",SALE,◆셀러회원◆,False,True,주방마을7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887817,1107887817
디지털 / 가전_주방가전,유니크대성1200테이블냉동고판매합니다UDS-12FTAR,"450,000",SALE,◆셀러회원◆,False,True,주방마을7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887802,1107887802
디지털 / 가전_주방가전,NORTHPOLE노스폴50키로제빙기KNP-55판매합니다,"550,000",SALE,◆셀러회원◆,False,True,주방마을7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887786,1107887786
디지털 / 가전_주방가전,아이스트로210키로대형제빙기판매합니다IM-220,"1,800,000",SALE,◆셀러회원◆,False,True,주방마을7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887770,1107887770
