카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
명품_여성의류,정품 토리버치 원피스,"50,000",SALE,인증+안전거래 회원,False,True,yoyo325,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895522,1107895522
명품_여성의류,막스마라 정품 린넨 원피스 판매합니다,"12,345",SOLD_OUT,중고나라 회원,False,False,lwls1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895519,1107895519
명품_여성의류,샤넬 정품 실크 벨트자켓 판매합니다,"650,000",SALE,중고나라 회원,False,True,lwls1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895342,1107895342
명품_여성의류,랑방 컬럭션 정품 점프슈트 판매합니다,"139,000",SALE,중고나라 회원,False,True,lwls1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895144,1107895144
명품_여성의류,시스템 SYSTEM 19 스트라이프 소매 셔링 블라우스 (66),"59,000",SALE,인증+안전거래 회원,False,True,클래시클로젯,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895116,1107895116
명품_여성의류,에르메스 정품 린넨 슬랙스 판매합니다,"124,000",SALE,중고나라 회원,False,True,lwls1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895017,1107895017
명품_여성의류,"던스트 원피스,DVF 드레이프원피스,몽돌 네트베스트니트,이큅먼트 실크블라우스,엔오르 투웨이자켓,잇미샤 레이스원피스,더아이잗컬렉션 트렌치코트,민타레트로 원피스,메이비베이비 원피스","3,000",SALE,본인인증 회원,False,True,올리브아나이스,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894806,1107894806
명품_여성의류,마인 MINE 19 입체 원피스 (66),"79,000",SALE,인증+안전거래 회원,False,True,클래시클로젯,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894681,1107894681
명품_여성의류,[아떼 바네사브루노] 베이비핑크 원피스,"30,000",ESCROW,인증+안전거래 회원,True,True,고라파덕777,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894629,1107894629
명품_여성의류,"오르ORR 스커트,르le 스티치코팅원피스,더오픈프로덕트 포인텔코튼니트,프롬엘로힘 풀스커트,더아이잗 원피스,아소스 원피스,띠어리 원피스,COS 원피스,몬츠 블라우스,JJ지고트 블라우스,R2W 스커트,타미힐피","3,000",SALE,본인인증 회원,False,True,올리브아나이스,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894552,1107894552
명품_여성의류,새상품 더캐시미어 티셔츠 비품,"12,345",SALE,중고나라 회원,False,True,아메리카노세트,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894368,1107894368
명품_여성의류,자딕앤볼테르 스커트,"48,000",SALE,인증+안전거래 회원,False,True,북촌 옷장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894317,1107894317
명품_여성의류,DKNY원피스(새제품),"30,000",SALE,인증+안전거래 회원,False,True,북촌 옷장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894290,1107894290
명품_여성의류,띠어리 니트 원피스,"67,000",SALE,인증+안전거래 회원,False,True,북촌 옷장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894272,1107894272
명품_여성의류,마쥬 원피스,"35,000",SALE,인증+안전거래 회원,False,True,북촌 옷장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894255,1107894255
명품_여성의류,"[S] 릭오웬스 15FW ""SPHINX"" 울 터틀넥 비대칭 스웨터 블랙 판매합니다","2,000",SALE,본인인증 회원,False,True,kangmony,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894168,1107894168
명품_여성의류,"데일리룩 트위드원피스,COS 드레이프 원피스,몽돌 자켓,마이클코어스 원피스,마쥬 자켓,시티브리즈 크롭티,패브릭컬러지 팬츠,므와 원피스,메이비베이비 블라우스,앤아더스토리즈 블라우스","3,000",SALE,본인인증 회원,False,True,올리브아나이스,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894011,1107894011
명품_여성의류,막스마라 원피스,"110,000",SALE,본인인증 회원,False,True,메이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893841,1107893841
명품_여성의류,시스템 SYSTEM 19 레터링 블라우스 (55),"59,000",SALE,인증+안전거래 회원,False,True,클래시클로젯,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893682,1107893682
명품_여성의류,DVF 원피스,"40,000",SALE,본인인증 회원,False,True,메이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893610,1107893610
명품_여성의류,"라코스테 피케 pk티셔츠 반팔 여성
핑크","50,000",SALE,중고나라 회원,False,True,Benoitv,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893575,1107893575
명품_여성의류,시스템 프릴 니트 탑,"70,000",ESCROW,인증+안전거래 회원,True,True,ilIlllllliilili,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893397,1107893397
명품_여성의류,"COS 원피스,런던플랏 보이핏셔츠,98도씨 워싱크롭티,잇미샤 스튜스커트,모조에스핀 원피스,팔라스파리스 자켓,베르니스 블라우스,라파예트148 팬츠,닐바이피 자켓,라움캘리박 티,몸빼 자켓","3,000",SALE,본인인증 회원,False,True,올리브아나이스,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893380,1107893380
명품_여성의류,22랑방 돔 버튼 반팔 트위드55(가격내림),"280,000",ESCROW,인증+안전거래 회원,True,True,ilIlllllliilili,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893374,1107893374
명품_여성의류,프론트 로우 하프 슬리브 블랙 미니 드레스 XS,"150,000",SALE,중고나라 회원,False,True,grasssss,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892911,1107892911
명품_여성의류,정품 로로피아나 니트 가디건 40사이즈,"280,000",SALE,인증+안전거래 회원,False,True,treasure72,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892818,1107892818
명품_여성의류,백화점 정품) 발렌시아가 스몰로고 반팔 티셔츠 판매합니다.,"220,000",SALE,◆셀러회원◆,False,True,인증명품셀러,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892817,1107892817
명품_여성의류,파비아나 필리피 FABIANA FILIPPI 글리터 골지 니트,"135,000",SALE,인증+안전거래 회원,False,True,클래시클로젯,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892786,1107892786
명품_여성의류,랑방 타임 시스템 오즈세컨 - 한섬,"11,111",SOLD_OUT,본인인증 회원,False,False,han스타일,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892619,1107892619
명품_여성의류,"고걸 , 유에르 ,잇미샤, 폼스튜디오 ,이자벨마랑 ,더베이지스 ,COS ,더베이지스 ,제임스펄스 ,파리게이츠","2,000",SALE,인증+안전거래 회원,False,True,산드로앤더슨,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892591,1107892591
명품_여성의류,에르메스 까레 90,"590,000",SALE,본인인증 회원,False,True,honeybee,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892559,1107892559
명품_여성의류,22년오즈세컨스커트 20년타임남방 23년바네사부르노니트 22년시스템  버버리리넨자켓(새상품) 24년잇미샤가디건 마쥬 더아이잗컬렉션야상,"11,111",SOLD_OUT,본인인증 회원,False,False,han스타일,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892397,1107892397
명품_여성의류,알마니/안지크/피그먼트/올리비아/모그/유니클로/에스까다/뻬띠앙뜨/아레나 등 14종,"35,000",SALE,본인인증 회원,False,True,cjy9910,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892283,1107892283
명품_여성의류,이세이미야케 16벌 (새옷),"300,000",SALE,본인인증 회원,False,True,cjy9910,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892253,1107892253
명품_여성의류,톰브라운 사선 완장 그레이 봄버 자켓 판매 합니다.,"590,000",ESCROW,◆셀러회원◆,True,True,인증명품셀러,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892168,1107892168
명품_여성의류,(새제품) 한섬 마인 여름 팬츠 바지,"203,000",SALE,본인인증 회원,False,True,모네수련연못,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892097,1107892097
명품_여성의류,"룩캐스트 ,로우클래식 ,리앙쥬 ,아티드X기은세 ,R2W ,비뮤즈 ,빈스 ,자라 ,COS ,탑샵 ,나인아뜰리에 ,쏭스튜디오","2,000",SALE,인증+안전거래 회원,False,True,산드로앤더슨,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892083,1107892083
