카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_낚시용품,삼우 빅케치 볼락 762UL-T,"49,000",SALE,본인인증 회원,False,True,l햇살과같은l,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895453,1107895453
스포츠/레저_낚시용품,리좀 디그라블 스핀 삽니다.,"123,456",ESCROW,중고나라 회원,True,True,bdc0304,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894987,1107894987
스포츠/레저_낚시용품,민물 붕어보트 삽니다 abs스타 보트 구매 합니다,"999,999",ESCROW,본인인증 회원,True,True,qorrkd608,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893420,1107893420
스포츠/레저_낚시용품,"레브로스2000 릴, 보조스풀 팝니다","30,000",SALE,중고나라 회원,False,True,Hshsg,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893134,1107893134
스포츠/레저_낚시용품,낚시용품,"12,345",SALE,본인인증 회원,False,True,다다 익선,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892217,1107892217
스포츠/레저_낚시용품,사기꾼 성덕현 신고합니다.,"2,000",SALE,본인인증 회원,False,True,bielefelder,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891953,1107891953
스포츠/레저_낚시용품,다이와 시보그200j 팝니다,"650,000",SALE,중고나라 회원,False,True,ghh_8,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891951,1107891951
스포츠/레저_낚시용품,판야 보스/나루예 받침틀,"130,000",ESCROW,본인인증 회원,True,True,솔모루,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891907,1107891907
스포츠/레저_낚시용품,RBB 쇼신 게임베스트 (구명조끼),"240,000",SALE,본인인증 회원,False,True,고산지왕,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891475,1107891475
스포츠/레저_낚시용품,판매 스미스 글로사 CDX 가물치 입벌리개 25000원,"25,000",SALE,인증+안전거래 회원,False,True,막창순대,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891204,1107891204
스포츠/레저_낚시용품,피싱스타 주봉 신품 미사용 60센티 두개 팝니다,"290,000",SALE,중고나라 회원,False,True,울산바른생활,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890333,1107890333
스포츠/레저_낚시용품,사각통발,"20,000",ESCROW,본인인증 회원,True,True,서방,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890331,1107890331
스포츠/레저_낚시용품,프록스 바지장화(웨이더),"50,000",ESCROW,본인인증 회원,True,True,서방,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890161,1107890161
스포츠/레저_낚시용품,시마노 스텔라 C3000SDHHG 미사용 새제품 판매합니다. 윤성정품,"760,000",ESCROW,인증+안전거래 회원,True,True,고노닉뽀에버,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890115,1107890115
