카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
악세서리_기타 악세서리,델타항공 100주년 굿즈 새상품 지비츠 겸 캐리어태그,"30,000",SALE,중고나라 회원,False,True,에눌문의무시및차단,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895711,1107895711
악세서리_기타 악세서리,화관,"30,000",ESCROW,인증+안전거래 회원,True,True,JR,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894990,1107894990
악세서리_기타 악세서리,루이비통 방도,"290,000",SALE,중고나라 회원,False,True,사브레에,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887844,1107887844
악세서리_기타 악세서리,정품 애플워치 브레이드 솔로루프 어비스블루 7사이즈,"49,900",SOLD_OUT,중고나라 회원,True,False,fnfnfn1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887633,1107887633
악세서리_기타 악세서리,"일제 감마 게르마늄 팔찌,목걸이셋트 판매합니다","150,000",SALE,중고나라 회원,False,True,파하니요,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884719,1107884719
악세서리_기타 악세서리,퀘스트3 BOBOVR 가방,"25,000",SALE,인증+안전거래 회원,False,True,기억력금붕어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107881542,1107881542
악세서리_기타 악세서리,로갈리 rog ally (백갈리) 케이스,"18,000",SALE,인증+안전거래 회원,False,True,기억력금붕어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107881111,1107881111
악세서리_기타 악세서리,오큘러스 퀘스트3 보보 배터리 스트랩,"70,000",SALE,인증+안전거래 회원,False,True,기억력금붕어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880974,1107880974
악세서리_기타 악세서리,"레고 76966,76975,75337 미조립,미피포함 및 중고 쥬라기,스타워즈","20,000",SALE,본인인증 회원,False,True,쏘니77777,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880849,1107880849
악세서리_기타 악세서리,레이벤 썬글라스 RB4259F 렌즈만 판매 레이밴 RAY-BAN,"40,000",SOLD_OUT,본인인증 회원,False,False,바이크임,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107874718,1107874718
악세서리_기타 악세서리,오클리 피치맨 R 아시안핏 OX8105F-0352,"150,000",SALE,중고나라 회원,False,True,뉴레드짱,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107867271,1107867271
악세서리_기타 악세서리,선글라스MUSINSA 블루엘리펀트(BLUE ELEPHANT)SLAY black팝니다,"30,000",SALE,중고나라 회원,False,True,귀하신몸,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107857522,1107857522
악세서리_기타 악세서리,키링(열쇠고리)10개 일괄판매/택포,"8,000",SALE,본인인증 회원,False,True,슈가테이블,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107857335,1107857335
악세서리_기타 악세서리,자크마리마지 모리스 안경 팝니다.,"490,000",SOLD_OUT,본인인증 회원,True,False,strangerxx,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107854955,1107854955
악세서리_기타 악세서리,이마트 고래잇 키링 (새상품),"20,000",SALE,본인인증 회원,False,True,망고Scp,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107854683,1107854683
악세서리_기타 악세서리,슈프림 보틀 오프너 키링,"2,222",SALE,중고나라 회원,False,True,KimHuman,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107853465,1107853465
악세서리_기타 악세서리,스투시 스월리 S체인 목걸이,"2,222",SALE,중고나라 회원,False,True,KimHuman,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107853435,1107853435
악세서리_기타 악세서리,신호등 가챠,"10,000",SALE,본인인증 회원,False,True,번개맞은중고나라당근,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107843495,1107843495
악세서리_기타 악세서리,폴로 빈티지 크로스 가방,"100,000",SALE,중고나라 회원,False,True,슛뚜,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107836602,1107836602
악세서리_기타 악세서리,짱구 가방. 착불,"9,000",SALE,본인인증 회원,False,True,노ㅇㅅ안ㅇㅇ사기꾼,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107832513,1107832513
악세서리_기타 악세서리,캣타워 2M,"109,000",ESCROW,인증+안전거래 회원,True,True,꿈을 응원해요,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107823264,1107823264
악세서리_기타 악세서리,DJI NEO 플라이 모어 콤보,"350,000",ESCROW,인증+안전거래 회원,True,True,꿈을 응원해요,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107823225,1107823225
악세서리_기타 악세서리,젠틀몬스터 멧02,"255,000",SALE,중고나라 회원,False,True,lxsxhx,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107821008,1107821008
악세서리_기타 악세서리,젠틀몬스터 이피02,"255,000",SALE,중고나라 회원,False,True,lxsxhx,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107820974,1107820974
악세서리_기타 악세서리,패션 브로치,"7,000",SALE,인증+안전거래 회원,False,True,개래로,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107812767,1107812767
악세서리_기타 악세서리,튤립 에티모 모사용 코바늘 세트,"90,000",ESCROW,인증+안전거래 회원,True,True,니니링링,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107802907,1107802907
