카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
여성패션_가방잡화,"80s 제노바 백팩 데드스탁
레어
(아담한 사이즈)","30,000",SALE,중고나라 회원,False,True,유니온메이드,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895728,1107895728
여성패션_가방잡화,여성가방 고급스러워요,"18,000",SALE,중고나라 회원,False,True,블랙블라썸,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895582,1107895582
여성패션_가방잡화,셀린느 트리오페 플랩백 스몰,"175,000",SALE,중고나라 회원,False,True,sbsb46987,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895475,1107895475
여성패션_가방잡화,포탱빔즈,"12,345",SALE,인증+안전거래 회원,False,True,노터크,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895321,1107895321
여성패션_가방잡화,만다리나덕 나일론 백팩,"3,000",SALE,본인인증 회원,False,True,문자나 채팅주세요,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895295,1107895295
여성패션_가방잡화,지포어 카드지갑,"70,000",SALE,본인인증 회원,False,True,청담동만두네,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895271,1107895271
여성패션_가방잡화,샤넬 까멜리아장지갑 정품,"668,000",SALE,중고나라 회원,False,True,사사두두,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895252,1107895252
여성패션_가방잡화,코스 구름백 미니 블랙,"65,000",SALE,본인인증 회원,False,True,중고나라happy,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895244,1107895244
여성패션_가방잡화,디올 오블리크 북토트 미니  숄더백  구찌 샤넬 프라다 셀린느 미우미우 에르메스 루이비통,"60,000",SALE,중고나라 회원,False,True,서강대바바리맨,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895203,1107895203
여성패션_가방잡화,정품 세이코 돌체 엑셀라인 여성용 SWDL209 새상품 23MM 풀세트 판매합니다. SACM171 커플용,"280,000",SALE,본인인증 회원,False,True,마운트워리어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895096,1107895096
여성패션_가방잡화,훌라 클러치,"90,000",SALE,중고나라 회원,False,True,나나나213,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894930,1107894930
여성패션_가방잡화,까르 락반지15호,"30,000",SALE,인증+안전거래 회원,False,True,눈뎅의889900,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894886,1107894886
