카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
예술/수집_기타,"qwer 마운틴듀 포토카드(히나,마젠타,단체)","15,000",SALE,중고나라 회원,False,True,ajshxb,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895443,1107895443
예술/수집_기타,qwer포토카드 외+아이템쿠폰,"26,000",SALE,중고나라 회원,False,True,유조니양,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894934,1107894934
예술/수집_기타,"일품진로 21년, 22년, 24년 공병 입니다.","30,000",SALE,본인인증 회원,False,True,Rilepos,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893927,1107893927
예술/수집_기타,야마자키 18년 12년 리미티드 등 위스키 공병 판매합니다.,"2,000",SALE,본인인증 회원,False,True,Rilepos,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893905,1107893905
예술/수집_기타,"히비키 하모니, 블렌더스초이스 팝니다.","2,000",SALE,본인인증 회원,False,True,Rilepos,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893894,1107893894
예술/수집_기타,"발렌타인 30년산 구형, 신형 공병 팝니다.","10,000",SALE,본인인증 회원,False,True,Rilepos,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893865,1107893865
예술/수집_기타,벤리악 25년 1898 공병입니다.,"65,000",SALE,본인인증 회원,False,True,Rilepos,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893852,1107893852
예술/수집_기타,교회 액자 / 글씨 액자 / 여호와는 나의 목자시니,"30,000",ESCROW,인증+안전거래 회원,True,True,고풍200,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893436,1107893436
예술/수집_기타,황동브론즈 백조한쌍,"60,000",ESCROW,인증+안전거래 회원,True,True,행복이함께,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893271,1107893271
예술/수집_기타,릴로앤스티치 ttt 릴로&스티치 굿즈 특전 미개봉 디즈니 굿즈,"13,500",SALE,본인인증 회원,False,True,렛닷세일,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892867,1107892867
예술/수집_기타,미키17 오리지널티켓 2종 일괄 로버트패틴슨 봉준호 특전 굿즈,"23,000",SALE,본인인증 회원,False,True,렛닷세일,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892740,1107892740
예술/수집_기타,옛날 돼지저울 쌀가마저울 막대저울 150kg 5kg저울,"80,000",SALE,인증+안전거래 회원,False,True,행복이함께,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892609,1107892609
예술/수집_기타,2024년 현용 한국은행권 미개봉품(2SET) 일괄 판매!!,"190,000",SALE,본인인증 회원,False,True,괴산능돌이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891211,1107891211
예술/수집_기타,"1990년대부터 2023년까지 영화전단지 팜플렛, 외국영화/마블 DC시리즈/외국 유명영화 시리즈","2,000",SALE,본인인증 회원,False,True,anql10,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890934,1107890934
