카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_전기/특수자전거,전기자전거 에올프로 새거 팝니다,"800,000",ESCROW,인증+안전거래 회원,True,True,남자85호,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894999,1107894999
자전거_전기/특수자전거,SMD V7 전기 레트로자전거 팝니다(옵션다수),"2,500,000",ESCROW,본인인증 회원,True,True,살아,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893248,1107893248
자전거_전기/특수자전거,퀄리 20LT 싯포스트 배터리,"339,000",SALE,본인인증 회원,False,True,jhj66,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886830,1107886830
자전거_전기/특수자전거,샤오미 치사이클,"400,000",SOLD_OUT,본인인증 회원,False,False,anjel2730,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886482,1107886482
자전거_전기/특수자전거,[S급꿀매 급처] 엑스라이더 x200 프로 PRO 전기자전거 자토바이 (x200s 터보프로 br3 smd v7 써론라이트비),"2,250,000",SALE,인증+안전거래 회원,False,True,미끄러미,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884688,1107884688
자전거_전기/특수자전거,(비아지오 hx5 PRO) 전기자전거 거의 새거수준 급매,"1,200,000",SALE,중고나라 회원,False,True,째빛,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884571,1107884571
자전거_전기/특수자전거,타이타ㄴ 750 전기자전거 거의새거 수준 판매,"770,000",SALE,중고나라 회원,False,True,알로아 1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883143,1107883143
자전거_전기/특수자전거,퀄리Q맥스 리미티드에디션 녹색 팻바이크 풀튜닝 336km (보조베터리+DBMS) 판매,"1,300,000",SALE,중고나라 회원,False,True,지존터보튠,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107882191,1107882191
자전거_전기/특수자전거,[전기로드] 22년 스폐셜라이즈드 크리오SL 콤프 E5 팝니다,"43,000,000",SALE,본인인증 회원,False,True,허군77,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880620,1107880620
자전거_전기/특수자전거,전기자전거 제작 키트,"300,000",SALE,중고나라 회원,False,True,mmnfs,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875719,1107875719
자전거_전기/특수자전거,전동스쿠터AU테크에코로버디5,"1,000,000",SALE,중고나라 회원,False,True,몽실맘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875700,1107875700
자전거_전기/특수자전거,쉘위바이크(레드) 팝니다.,"1,700,000",SALE,중고나라 회원,False,True,뽀또리아,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875598,1107875598
자전거_전기/특수자전거,랑케레이시 X3000PLUS 배터리,"190,000",SALE,본인인증 회원,False,True,domswain,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107874528,1107874528
