카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고차_국산차(개인인증),그랜저 중고 가격 중고 그랜저 IG 중고 검정색 2018년식 3.3 GDI 셀러브리티  중고차시세,"13,200,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김헌준 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895649,1107895649
중고차_국산차(개인인증),그랜저 중고차 그랜저 하이브리드 중고 차 흰색 2016년식 PREMIUM  실시간 차량견적문의,"9,900,000",ESCROW,◆셀러회원◆,True,True,인증딜러 강민우 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894983,1107894983
중고차_국산차(개인인증),"쏘렌토 중고 가격 쏘렌토 하이브리드 중고 쏘렌토 중고차 검정색 2023년식 39,120km HEV 1.6 2WD 그래비티  중고자동차","41,200,000",ESCROW,◆셀러회원◆,True,True,인증딜러 박현준 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894780,1107894780
중고차_국산차(개인인증),"중고차 기아 EV9 중고 회색 2024년식 29,736km 4WD 어스 최상의 컨디션","66,000,000",ESCROW,◆셀러회원◆,True,True,인증딜러 최우승 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894475,1107894475
중고차_국산차(개인인증),말리부 중고 쉐보레 말리부 중고차 회색 2019년식 가솔린 1.3 E-터보 프리미어  수원중고차,"11,000,000",ESCROW,◆셀러회원◆,True,True,인증딜러 성주헌 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894436,1107894436
중고차_국산차(개인인증),"티볼리 중고 가격 티볼리 흰색 2017년식 43,735km 가솔린 2WD 1.6 VX  개인사업자 차량구매","9,100,000",ESCROW,◆셀러회원◆,True,True,인증딜러 강연희 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894342,1107894342
중고차_국산차(개인인증),K3 중고차 시세 2017년식 1.6 GDI 트렌디 스타일 중고차 구매,"7,500,000",ESCROW,◆셀러회원◆,True,True,인증딜러 박현준 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894222,1107894222
중고차_국산차(개인인증),그랜저 중고 가격 중고 그랜저 2016년식 HG300 PREMIUM 컬렉션 중고차 할부가능,"6,500,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김헌준 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894066,1107894066
중고차_국산차(개인인증),현대 쏘나타 중고 쏘나타 LF 쏘나타 중고차 은색 2015년식 2.0 프리미엄 기본형 중고차 성능보증,"10,500,000",ESCROW,◆셀러회원◆,True,True,인증딜러 최우승 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893740,1107893740
중고차_국산차(개인인증),K3 중고 기아 K3 자동차중고 흰색 2015년식 1.6 GDI 럭셔리  중고차싸게 사는법,"5,900,000",ESCROW,◆셀러회원◆,True,True,인증딜러 최우승 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893131,1107893131
중고차_국산차(개인인증),"카니발 중고차 더 뉴 카니발 중고차 카니발 9인승 중고 흰색 2019년식 57,070km 디젤 9인승 노블레스 스페셜  중고자동차 시세표","24,200,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김환석 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892982,1107892982
중고차_국산차(개인인증),"QM6 중고차 견적 르노중고차 흰색 2017년식 81,454km 디젤 2WD RE 시그니처  수원중고차","13,100,000",ESCROW,◆셀러회원◆,True,True,인증딜러 유지훈팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892848,1107892848
중고차_국산차(개인인증),"싼타페 중고 싼타페 MX5 하이브리드 중고 가격 검정색 2024년식 16,437km 1.6T 4WD 캘리그래피  수원중고차","50,000,000",ESCROW,◆셀러회원◆,True,True,인증딜러 강민우 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892685,1107892685
중고차_국산차(개인인증),"티볼리 중고 가격 더 뉴 티볼리 에어 흰색 2023년식 23,525km 2WD 가솔린 1.5 A7 중고자동차할부","18,700,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김봉욱 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892677,1107892677
중고차_국산차(개인인증),개인입니다 400만원이상 경정비완료 그랜져 2.2디젤 프리미엄 리미티드 풀옵션 내용필독 가격내림,"11,500,000",SALE,중고나라 회원,False,True,kfit,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892560,1107892560
중고차_국산차(개인인증),SM7 중고 SM7 중고차 검정색 2015년식 2.5 RE  수원중고차,"6,300,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김헌준 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892259,1107892259
중고차_국산차(개인인증),더뉴 그랜저IG 중고 그랜저 중고 가격 검정색 2020년식 2.5 프리미엄 초이스  개인사업자 차량구매,"17,790,000",ESCROW,◆셀러회원◆,True,True,인증딜러 최우승 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891507,1107891507
중고차_국산차(개인인증),현대 i30 중고 i30 갈색 2017년식 1.4 터보 프리미엄 중고자동차,"14,200,000",ESCROW,◆셀러회원◆,True,True,인증딜러 강민우 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891225,1107891225
중고차_국산차(개인인증),모하비 중고 가격 더 뉴 모하비 중고차 검정색 2017년식 4WD 프레지던트 7인 가성비 중고차,"18,990,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김형열 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891056,1107891056
중고차_국산차(개인인증),[완전무사고/버튼시동/후방카메라/전동미러] 엑센트 신형 1.4VVT모던 @중고차@전액할부@전액카드@저신용@여유자금@중고차매입@최저가판매,"7,800,000",SALE,◆셀러회원◆,False,True,인증딜러ㅡ방대표,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890912,1107890912
중고차_국산차(개인인증),[무사고/내비/후카/1인소유] 에쿠스(신형) VS380럭셔리 @중고차@전액할부@전액카드@저신용@여유자금@중고차매입@최저가판매,"4,900,000",SALE,◆셀러회원◆,False,True,인증딜러ㅡ방대표,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890839,1107890839
중고차_국산차(개인인증),[완전무사고/정품내비/오렌지스페셜/4.9만키로] 더 뉴레이 프레스티지 @중고차@전액할부@전액카드@저신용@여유자금@중고차매입@최저가판매,"12,500,000",SALE,◆셀러회원◆,False,True,인증딜러ㅡ방대표,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890822,1107890822
중고차_국산차(개인인증),[무사고/1인신조/정품내비/하이패스] 아반떼 AD 스마트 @중고차@전액할부@전액카드@저신용@여유자금@중고차매입@최저가판매,"7,600,000",SALE,◆셀러회원◆,False,True,중고나라채팅알림 284,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890800,1107890800
중고차_국산차(개인인증),LF 쏘나타 중고 LF소나타 중고 2017년식 2.0 스타일 기본형 중고차카페,"8,600,000",ESCROW,◆셀러회원◆,True,True,인증딜러 성주헌 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890795,1107890795
중고차_국산차(개인인증),[정품내비/버튼시동/후방카메라/메모리시트] 제네시스DH 3.3 프리미엄AWD @중고차@전액할부@전액카드@저신용@여유자금@중고차매입@최저가판매,"11,900,000",SALE,◆셀러회원◆,False,True,중고나라채팅알림 284,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890768,1107890768
중고차_국산차(개인인증),[무사고/내비/하이패스/전좌석열선/스마트키2/8.6만키로] 아반떼 MD GDI탑 @중고차@전액할부@전액카드@저신용@여유자금@중고차매입@최저가판매,"6,500,000",SALE,◆셀러회원◆,False,True,중고나라채팅알림 284,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890749,1107890749
중고차_국산차(개인인증),[완전무사고/내외관깔끔/최저가로 판매] 더 뉴레이 2인승 밴 프레스티지 @중고차@전액할부@전액카드@저신용@여유자금@중고차매입@최저가판매,"7,600,000",SALE,◆셀러회원◆,False,True,중고나라채팅알림 284,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890735,1107890735
중고차_국산차(개인인증),SM6 중고차 검정색 2017년식 가솔린 2.0 GDe RE 중고차카페,"7,900,000",ESCROW,◆셀러회원◆,True,True,인증딜러 강연희 팀장,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890666,1107890666
