카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
출산유아동_의류,크록스 c6/7 (135정도) 130,"4,000",SALE,본인인증 회원,False,True,숙원맘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895474,1107895474
출산유아동_의류,빈야드바인스 키즈 M,"35,000",SALE,본인인증 회원,False,True,커피는 쵝오,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895440,1107895440
출산유아동_의류,빈야드바인스 긴팔,"35,000",SALE,본인인증 회원,False,True,커피는 쵝오,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895427,1107895427
출산유아동_의류,얼쓰빕.얼쓰크롭 2사이즈 일괄,"12,345",SOLD_OUT,본인인증 회원,False,False,쿄쿄쿄쿄,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895415,1107895415
출산유아동_의류,빈야드바인스 반팔 키즈L,"32,000",SALE,본인인증 회원,False,True,커피는 쵝오,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895378,1107895378
출산유아동_의류,스파오키즈 여아 160사이즈(여아 150),"10,000",SALE,중고나라 회원,False,True,꼼꼼꼼지락,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895227,1107895227
출산유아동_의류,던스 80,"123,456",SOLD_OUT,본인인증 회원,False,False,apolinabot,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895214,1107895214
출산유아동_의류,이키 신생아 선물세트 바디슈트 모자 인형,"18,000",ESCROW,본인인증 회원,True,True,박미술,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895075,1107895075
출산유아동_의류,레노마키즈 수영복 새상품75-80(u) 반값택포,"25,000",ESCROW,인증+안전거래 회원,True,True,김소정0819,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895041,1107895041
출산유아동_의류,완료,"12,345",RESERVATION,본인인증 회원,False,True,토끼는깡총깡충,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894929,1107894929
출산유아동_의류,수어플룸 트윈콜렉티브 18-24-1,"123,456",SALE,본인인증 회원,False,True,apolinabot,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894876,1107894876
출산유아동_의류,무냐무냐 여주니어브라런닝 90호 총2장 새상품 택포,"30,000",ESCROW,본인인증 회원,True,True,노오란민들레님,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894848,1107894848
출산유아동_의류,첨이첨이 주니어마법브리프 85호 총4장 새상품,"20,000",ESCROW,본인인증 회원,True,True,다알리아꽃말감사,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894832,1107894832
출산유아동_의류,"히로, glgk 
옷 여러가지","222,222",SALE,중고나라 회원,False,True,크롱에디,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894814,1107894814
출산유아동_의류,"네포스 두산 야구유니폼 아동 11호 (오재원), 072001","33,000",SALE,중고나라 회원,False,True,hsa111026,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894808,1107894808
출산유아동_의류,첨이첨이 남아동양말 3~4세용 총50켤례 개별포장 새상품,"40,000",ESCROW,본인인증 회원,True,True,다알리아꽃말감사,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894797,1107894797
출산유아동_의류,미니로디니 원피스 6-7y 미니로디니 체리원피스,"20,000",SALE,인증+안전거래 회원,False,True,또나라또미,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894793,1107894793
출산유아동_의류,무냐무냐 남아런닝 70호 총2장 에어로쿨원단 새상품,"20,000",ESCROW,본인인증 회원,True,True,다알리아꽃말감사,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894781,1107894781
출산유아동_의류,8-10Y 여아 원피스 3세트,"19,000",SALE,중고나라 회원,False,True,olivier0129,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894670,1107894670
출산유아동_의류,"유니클로 반바지 150, 워터레깅스 150","5,000",SALE,중고나라 회원,False,True,프로시아야,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894556,1107894556
출산유아동_의류,완료,"12,345",SALE,인증+안전거래 회원,False,True,ejjshoha46,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894516,1107894516
출산유아동_의류,리미떼두두 실내복m 일괄판매,"50,000",SALE,인증+안전거래 회원,False,True,또나라또미,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894443,1107894443
출산유아동_의류,시호시재 봉봉 블라우스,"2,222",SALE,본인인증 회원,False,True,문자주세요채팅느림,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894441,1107894441
출산유아동_의류,시호시재 봉봉 드레스 봉봉원피스 크림 xs 민트 s m l,"50,000",SALE,본인인증 회원,False,True,문자주세요채팅느림,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894401,1107894401
출산유아동_의류,"네파 키즈 여아동 홑겹 바람막이점퍼 150, 1041804","11,000",SALE,중고나라 회원,False,True,귀요미수수맘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894391,1107894391
출산유아동_의류,소이 145사이즈 (여아 140),"15,000",SALE,중고나라 회원,False,True,꼼꼼꼼지락,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894378,1107894378
출산유아동_의류,시호시재 여름드레스 핑크 XXL,"30,000",SALE,본인인증 회원,False,True,문자주세요채팅느림,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894292,1107894292
출산유아동_의류,(165) 헤지스 주니어 반팔 15y,"15,000",SALE,◆셀러회원◆,False,True,Linda119,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894267,1107894267
출산유아동_의류,"시호시재 거즈심플드레스 아이보리 L, XL 레드 XXL","30,000",SALE,본인인증 회원,False,True,문자주세요채팅느림,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894241,1107894241
출산유아동_의류,(160) 폴로 보이즈 반팔 셔츠 14-16t,"15,000",SALE,◆셀러회원◆,False,True,Linda119,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894219,1107894219
출산유아동_의류,bonheur du jour 보뇌르뒤주르 원피스 8y,"25,000",SALE,◆셀러회원◆,False,True,Linda119,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894173,1107894173
출산유아동_의류,시호시재 모달리본원피스 XS 4개 일괄,"60,000",SALE,본인인증 회원,False,True,문자주세요채팅느림,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894100,1107894100
출산유아동_의류,래쉬가드 75사이즈,"123,456",SALE,본인인증 회원,False,True,mevius11,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894086,1107894086
출산유아동_의류,"스플래쉬어바웃 아동 체온보호 수영복 L, 8-10kg, 083001","21,000",SALE,중고나라 회원,False,True,귀요미수수맘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894063,1107894063
출산유아동_의류,면스판 남성 조거팬츠 일괄,"20,000",SALE,본인인증 회원,False,True,내복천사,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893966,1107893966
출산유아동_의류,여름 모자 5세~7세,"15,000",SALE,본인인증 회원,False,True,dnfjaj ㅎㅎ,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893956,1107893956
출산유아동_의류,"제테스 여아동 반신 실내수영복 80, 012401","18,000",SALE,중고나라 회원,False,True,귀요미수수맘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893899,1107893899
출산유아동_의류,남아옷 130 전후 옷,"20,000",ESCROW,본인인증 회원,True,True,내복천사,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893885,1107893885
