카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
캠핑_기타 캠핑용품,대한항공 밤켈 방수백 10L 레드 새상품,"35,000",SALE,중고나라 회원,False,True,에눌문의무시및차단,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895660,1107895660
캠핑_기타 캠핑용품,[판매완료]빅토리녹스칼 외 캠핑용품 모두일괄 택포 19.500,"19,500",SOLD_OUT,인증+안전거래 회원,False,False,khurotc1,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895082,1107895082
캠핑_기타 캠핑용품,미스테리렌치 글레시어 71L 우먼,"12,345",SOLD_OUT,인증+안전거래 회원,False,False,도토리도리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894302,1107894302
캠핑_기타 캠핑용품,미제 오리지널 콜맨 빈티지 휘발유버너,"120,000",SALE,중고나라 회원,False,True,가이버,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894129,1107894129
캠핑_기타 캠핑용품,헬리녹스 텍티컬체어 미니,"140,000",SALE,인증+안전거래 회원,False,True,도토리도리,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893431,1107893431
캠핑_기타 캠핑용품,"[모두 새제품] 빈슨메시프 파스텔 침낭, 벨락 더블 바베큐 그릴, 스노우라인 비너스체어 캠핑 우드 체어 2개","2,000",ESCROW,중고나라 회원,True,True,아이사늘,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893354,1107893354
캠핑_기타 캠핑용품,알피쿨 wd55 차량용캠핑 냉장고 판매,"330,000",SOLD_OUT,인증+안전거래 회원,True,False,용인압구정,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892992,1107892992
캠핑_기타 캠핑용품,시티레져 카고 트레일러 2016년식,"1,990,000",SALE,본인인증 회원,False,True,일출이짱짱이아빠,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891903,1107891903
캠핑_기타 캠핑용품,캠핑용 대용량 보조배터리 판매합니다,"110,000",ESCROW,인증+안전거래 회원,True,True,수유동지킴이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891322,1107891322
캠핑_기타 캠핑용품,미스테리랜치 블랙잭 80 판매합니다,"1,600,000",SALE,본인인증 회원,False,True,추허,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891294,1107891294
캠핑_기타 캠핑용품,모비쿨 MCF40 냉장고,"50,000",RESERVATION_ESCROW,본인인증 회원,True,True,가위바위봉,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890008,1107890008
캠핑_기타 캠핑용품,arb 트래쉬백 트랙백 미개봉 새상품,"120,000",SOLD_OUT,본인인증 회원,False,False,모하비파스맨,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889895,1107889895
캠핑_기타 캠핑용품,유나캠핑 렉타타프 샌드색상. 새상품,"190,000",SALE,중고나라 회원,False,True,까꿍메타몽,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889873,1107889873
캠핑_기타 캠핑용품,배럴 서퍼드라이백 4L,"20,000",SALE,본인인증 회원,False,True,우유라이언,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888261,1107888261
캠핑_기타 캠핑용품,마이픽 빅풋 캠핑웨건,"50,000",SALE,중고나라 회원,False,True,달v콤하우스,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888199,1107888199
캠핑_기타 캠핑용품,가로바 및 물건실는곳  팝니다,"150,000",SALE,중고나라 회원,False,True,naesu011,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887693,1107887693
캠핑_기타 캠핑용품,(미개봉/새제품) 노르디스크 파라솔 판매,"100,000",SALE,본인인증 회원,False,True,으라차차챠챠,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887256,1107887256
캠핑_기타 캠핑용품,(새상품)헬리녹스 플래터,"10,000",ESCROW,중고나라 회원,True,True,sonhovely,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886994,1107886994
캠핑_기타 캠핑용품,"MSR 드래곤 플라이 ,캡틴202 , 라이온M933 버너","150,000",SALE,중고나라 회원,False,True,qaz1wdc,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886968,1107886968
캠핑_기타 캠핑용품,"지붕위 밀착형 코토 일체형루프박스 어닝,윈드가드 당일재고 항시구비 새제품 공식대리점 스마트스토어 전국 최저가 택배,주말 평일 출장 장착 가능(신형 디올뉴팰리세이드,캐스퍼,카니발,쏘렌토,싼타페등등)","12,345",SALE,◆셀러회원◆,False,True,안양짐캐리어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886914,1107886914
캠핑_기타 캠핑용품,아타고 화로대 풀셋,"240,000",SOLD_OUT,본인인증 회원,False,False,방가룽,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886455,1107886455
캠핑_기타 캠핑용품,해바라기버너 + 바람막이 + 가방풀세트,"80,000",SALE,본인인증 회원,False,True,케슬케슬,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886404,1107886404
캠핑_기타 캠핑용품,대물 매립용 파워뱅크 할인판매,"1,800,000",SALE,중고나라 회원,False,True,대물파워뱅크 2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886012,1107886012
캠핑_기타 캠핑용품,라이온 124하이커 석유버너,"130,000",SALE,본인인증 회원,False,True,볼락감시,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885499,1107885499
캠핑_기타 캠핑용품,KC 안전인증 인산철 배터리 230A,"573,000",SALE,중고나라 회원,False,True,대물파워뱅크 2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885343,1107885343
캠핑_기타 캠핑용품,캠핑용 박스상판 /폴딩박스 /우유박스 /미군잡낭,"2,000",SOLD_OUT,중고나라 회원,False,False,whdbsthf,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885085,1107885085
캠핑_기타 캠핑용품,대물 올인원 파워뱅크 특가판매,"2,000,000",SALE,중고나라 회원,False,True,대물파워뱅크 2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884744,1107884744
캠핑_기타 캠핑용품,[수원] 야전침대 마운트리버 클릭코트 블랙카모 새제품 15만원,"150,000",SALE,본인인증 회원,False,True,소소소일상,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884363,1107884363
캠핑_기타 캠핑용품,에코플로우 델타2 + 태양광패널,"950,000",SALE,본인인증 회원,False,True,투어러버,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884212,1107884212
캠핑_기타 캠핑용품,이글루 아이스박스58리터,"40,000",SALE,본인인증 회원,False,True,한떨기장미라,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884179,1107884179
캠핑_기타 캠핑용품,아이스박스26리터,"30,000",SALE,본인인증 회원,False,True,한떨기장미라,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884167,1107884167
