카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
캠핑_텐트/타프/매트,아이캠퍼 3.0 (4인용),"2,200,000",SALE,본인인증 회원,False,True,leeah333,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894058,1107894058
캠핑_텐트/타프/매트,아이캠퍼 엑스커버2.0,"800,000",ESCROW,중고나라 회원,True,True,멍몽이어머,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893465,1107893465
캠핑_텐트/타프/매트,"주밀가격3만원(가격확내림)코베아 와우패밀리 팝업텐트 초간편 이너텐트일체형 튼튼한 이중 전시실공간/,타프 캠프타운 에코헥사타프","30,000",ESCROW,인증+안전거래 회원,True,True,올리브,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893417,1107893417
캠핑_텐트/타프/매트,마추픽추 에어오션텐트+전면매쉬팡+전면우레탄창,"1,150,000",SALE,인증+안전거래 회원,False,True,자개장38,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892688,1107892688
캠핑_텐트/타프/매트,텐트,"37,000",SALE,중고나라 회원,False,True,아톰,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892561,1107892561
캠핑_텐트/타프/매트,자충식 캠핑매트 에어 매트리스 싱글 팝니다,"40,000",ESCROW,인증+안전거래 회원,True,True,로르0,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892373,1107892373
캠핑_텐트/타프/매트,노스피크 A7EX... 소이밀크 색상...120만원,"1,200,000",SALE,본인인증 회원,False,True,화이팅하자콩콩,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891224,1107891224
캠핑_텐트/타프/매트,(미개봉 새상품) 트로이 레르달 올리브드랍 [택포 60에 떨이합니다],"600,000",SALE,인증+안전거래 회원,False,True,자유하면나지예,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890263,1107890263
캠핑_텐트/타프/매트,(미개봉 새상품) 미니멀웍스 알베르게 탄 [택포 70에 날려요],"700,000",ESCROW,인증+안전거래 회원,True,True,자유하면나지예,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890248,1107890248
캠핑_텐트/타프/매트,[미개봉] 모노코어 트로이 갤리온 듄 풀세트,"400,000",SALE,인증+안전거래 회원,False,True,자유하면나지예,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890226,1107890226
캠핑_텐트/타프/매트,"캠핑칸 블로우쉘터, 마카돔, 쉘타프 팝니다~(카키)","800,000",ESCROW,본인인증 회원,True,True,hyolimi,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890011,1107890011
캠핑_텐트/타프/매트,엠에스알 MSR 허바투어 2 패스트 앤 라이트 바디 쉘터용 풋프린트,"30,000",SALE,중고나라 회원,False,True,리딕11,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888885,1107888885
캠핑_텐트/타프/매트,"DOD 원폴 텐트 L 사이즈, 전용매트, 어태치먼트폴대(a폴대) 세트로 정리해요","200,000",ESCROW,중고나라 회원,True,True,무넝이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888747,1107888747
캠핑_텐트/타프/매트,카즈미 뱅가드 텐트 팔아요,"550,000",SALE,중고나라 회원,False,True,나를주시해라,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888026,1107888026
캠핑_텐트/타프/매트,브리즈문 꼬리 텐트 확장형 L 베이지,"85,000",ESCROW,본인인증 회원,True,True,shl09155,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887823,1107887823
캠핑_텐트/타프/매트,"지붕위 밀착형 코토 일체형루프박스 어닝,윈드가드 당일재고 항시구비 새제품 공식대리점 스마트스토어 전국 최저가 택배,주말 평일 출장 장착 가능(신형 디올뉴팰리세이드,캐스퍼,카니발,쏘렌토,싼타페등등)","12,345",SOLD_OUT,◆셀러회원◆,False,False,안양짐캐리어,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886897,1107886897
캠핑_텐트/타프/매트,놀개기 N 메쉬스크린+폴대+웨빙스트랩,"220,000",SALE,본인인증 회원,False,True,박스주워팔아,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886275,1107886275
캠핑_텐트/타프/매트,드롭드롭드롭 피크닉매트+구디백 미사용 새제품 팔아요,"30,000",SALE,본인인증 회원,False,True,코코몽가,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886224,1107886224
