카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_PC 저장장치,플로피디스크3.5 드라이브 디스켓 3.5 미사용 팝니다,"20,000",SOLD_OUT,인증+안전거래 회원,False,False,0 BANK,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893211,1107893211
컴퓨터_PC 저장장치,윈도우11 10 프로 홈 MS오피스 워드 파워포인트 총알배송 워드,"11,900",ESCROW,◆셀러회원◆,True,True,softseller,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891687,1107891687
컴퓨터_PC 저장장치,16tb raid 하드 (8t+8t) 씨게이트 바라쿠다 8tb,"400,000",ESCROW,인증+안전거래 회원,True,True,한끗차이12,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890979,1107890979
컴퓨터_PC 저장장치,삼성 1테라 노트북 하드디스크,"20,000",SOLD_OUT,중고나라 회원,False,False,햇빛이가득,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890922,1107890922
컴퓨터_PC 저장장치,SSD  있읍니다,"3,000",SALE,인증+안전거래 회원,False,True,서울선생,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107890779,1107890779
컴퓨터_PC 저장장치,ssd 500gb wd,"40,000",ESCROW,본인인증 회원,True,True,CutyBee,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889808,1107889808
컴퓨터_PC 저장장치,윈도우11 10 프로 홈 MS오피스 워드 파워포인트 총알배송 워드,"11,900",ESCROW,◆셀러회원◆,True,True,softseller,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889720,1107889720
컴퓨터_PC 저장장치,"(네이버페이 안전거래등록) 리퍼 새상품 / 씨게이트 아이언울프 프로 SATA / 16TB / 택배비포함 : 240,000원","240,000",ESCROW,중고나라 회원,True,True,도날드무키,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107889376,1107889376
컴퓨터_PC 저장장치,(새상품) 삼성 외장하드 SSD T7 1TB,"120,000",SALE,중고나라 회원,False,True,kk1016,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888154,1107888154
컴퓨터_PC 저장장치,윈도우11/10 MS오피스365 2021 2019 2016 워드 엑셀 정품키 즉시발송,"11,900",ESCROW,◆셀러회원◆,True,True,MS 파트너 Benasoft,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888024,1107888024
컴퓨터_PC 저장장치,윈도우11 10 프로 홈 MS오피스 워드 파워포인트 총알배송 워드,"11,900",ESCROW,◆셀러회원◆,True,True,softseller,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107887799,1107887799
컴퓨터_PC 저장장치,새제품 외장형 파이오니아 블루레이 라이터 + 코닥 블루레이 공미디어 50팩 X 2개 100장 30만원 팝니다.,"300,000",SALE,중고나라 회원,False,True,wowteam,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886216,1107886216
컴퓨터_PC 저장장치,WD 4tb hdd SAS 팝니다,"60,000",SOLD_OUT,중고나라 회원,True,False,김찬규,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886163,1107886163
컴퓨터_PC 저장장치,윈도우11/10 MS오피스365 2021 2019 2016 워드 엑셀 정품키 즉시발송,"11,900",ESCROW,◆셀러회원◆,True,True,MS파트너 Benasoft,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886127,1107886127
컴퓨터_PC 저장장치,마이크론 BX500 2.5인치 1TB SSD 대원CTS,"70,000",SALE,인증+안전거래 회원,False,True,다이하드2020,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885854,1107885854
컴퓨터_PC 저장장치,(매입) (CPU/VGA/RAM/SSD/HDD/모니터/본체) 컴퓨터 전문업체,"2,000",SALE,◆셀러회원◆,False,True,디아피씨,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107885472,1107885472
컴퓨터_PC 저장장치,샌디스크 듀얼 드라이브고 128G OTG 아이폰/아이패드용,"35,000",SALE,중고나라 회원,False,True,리스테린a,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884181,1107884181
컴퓨터_PC 저장장치,하드디스크 HDD PC용 노트북용 1테라 500기가 1TB 500GB PC용 HDD 저렴히 팝니다 시게이트 도시바,"10,000",SALE,중고나라 회원,False,True,genesisivg90,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107882543,1107882543
컴퓨터_PC 저장장치,(미개봉)삼성 990 EVO Plus(2TB) 국내정품 새상품,"190,000",ESCROW,인증+안전거래 회원,True,True,권신,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107882443,1107882443
컴퓨터_PC 저장장치,"CCTV저장장치-3TB,4TB)=wd purple/seagate=3TB(6만),4TB(9만)**신품미개봉","60,000",SALE,중고나라 회원,False,True,lllmmmmlll,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107881790,1107881790
컴퓨터_PC 저장장치,키스톤 3프로 암호화폐 저장장치,"150,000",SALE,중고나라 회원,False,True,팜,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107881333,1107881333
컴퓨터_PC 저장장치,마이크론 X9 외장SSD 2TB 판매합니다.,"120,000",SALE,중고나라 회원,False,True,어허잉,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107881105,1107881105
컴퓨터_PC 저장장치,2.5인치 한창 cloud SSD 512G 팝니다,"30,000",SALE,◆셀러회원◆,False,True,영준혜린2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880562,1107880562
컴퓨터_PC 저장장치,"명정보 mystor SSD , 마이크론 512G 팝니다","30,000",SALE,◆셀러회원◆,False,True,영준혜린2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880434,1107880434
컴퓨터_PC 저장장치,"노트북용 2.5인치 hdd 2테라 2tb

시게이트 신품급","70,000",SALE,중고나라 회원,False,True,에스오엔지,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880338,1107880338
컴퓨터_PC 저장장치,[AS 2026년10월] NVME SSD 삼성 SSD 980 PRO 1TB 팝니다,"95,000",SALE,◆셀러회원◆,False,True,영준혜린2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880226,1107880226
컴퓨터_PC 저장장치,[AS 2027년] NVME SSD 삼성 SSD 980 500G,"48,000",SALE,◆셀러회원◆,False,True,영준혜린2,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107880207,1107880207
컴퓨터_PC 저장장치,도시바 하드 1테라 HDD 1T 팔아요,"40,000",SALE,본인인증 회원,False,True,도푹,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107879807,1107879807
컴퓨터_PC 저장장치,삼성 ssd 870 evo sata 2tb,"190,000",SALE,본인인증 회원,False,True,ㅡSeeㅡ,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107879634,1107879634
컴퓨터_PC 저장장치,"크루셜 mx500 2tb, ugreen 외장 ssd 2.5인치 케이스","180,000",SALE,본인인증 회원,False,True,ㅡSeeㅡ,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107879624,1107879624
컴퓨터_PC 저장장치,WD SN740 2230 2TB SSD,"130,000",SALE,인증+안전거래 회원,False,True,다이하드2020,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107879313,1107879313
컴퓨터_PC 저장장치,"sk하이닉스 ssd 1테라 ssd 1tb

​

신품급","90,000",SALE,중고나라 회원,False,True,에스프렛슈,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107879296,1107879296
컴퓨터_PC 저장장치,(미개봉새상품)삼성전자 정품 3.1 FIT Plus USB메모리 256GB판매합니다.,"36,000",ESCROW,인증+안전거래 회원,True,True,아름다운 사람이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107878998,1107878998
컴퓨터_PC 저장장치,SAMSUNG T7 SHIELD 외장 SSD 4테라 미개봉 신품 판매합니다,"450,000",ESCROW,본인인증 회원,True,True,Kei,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107878594,1107878594
컴퓨터_PC 저장장치,SAMSUNG T7 SHIELD 외장 SSD 4테라 판매합니다,"400,000",ESCROW,본인인증 회원,True,True,Kei,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107878215,1107878215
컴퓨터_PC 저장장치,seagate(시게이트) 익스펜션 22tb,"430,000",SALE,본인인증 회원,False,True,seozero116,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107877433,1107877433
컴퓨터_PC 저장장치,윈도우11/10 MS오피스365 2021 2019 2016 워드 엑셀 정품키 즉시발송,"11,900",ESCROW,◆셀러회원◆,True,True,MS 파트너 Benasoft,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107877139,1107877139
컴퓨터_PC 저장장치,Samsung 내장형 SSD 1T 싸게 팝니다.,"70,000",ESCROW,중고나라 회원,True,True,yhoasis08,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107876657,1107876657
컴퓨터_PC 저장장치,SAMSUNG T7 외장 SSD 2테라 판매합니다,"180,000",ESCROW,본인인증 회원,True,True,Kei,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107876645,1107876645
컴퓨터_PC 저장장치,[미개봉 정발]WD SN850X 4TB SSD,"390,000",SALE,중고나라 회원,False,True,사과식초9,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107876174,1107876174
컴퓨터_PC 저장장치,윈도우10/11 MS오피스 2021 2019 2016 365 엑셀 워드 파워포인트,"11,900",ESCROW,◆셀러회원◆,True,True,softeun,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875968,1107875968
컴퓨터_PC 저장장치,(미개봉새상품) 삼성 J3 외장하드 3.0 검정색 4테라 4Tb,"175,000",SALE,중고나라 회원,False,True,ssamzie3g,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875891,1107875891
컴퓨터_PC 저장장치,윈도우11/10 MS오피스365 2021 2019 2016 워드 엑셀 정품키 즉시발송,"11,900",ESCROW,◆셀러회원◆,True,True,MS파트너 Benasoft,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875273,1107875273
컴퓨터_PC 저장장치,"씨게이트, 도시바 16TB 하드디스크 HDD 팔아요","111,111",SALE,본인인증 회원,False,True,dkfldk7,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107875234,1107875234
컴퓨터_PC 저장장치,삼성 860 evo ssd 500기가 신품급,"50,000",SALE,중고나라 회원,False,True,라면잘먹음,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107874645,1107874645
컴퓨터_PC 저장장치,3.5인치 HDD하드 500기가 10개/부산,"50,000",SALE,본인인증 회원,False,True,mm2460,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107873509,1107873509
컴퓨터_PC 저장장치,윈도우10/11 MS오피스 2021 2019 2016 365 엑셀 워드 파워포인트,"11,900",ESCROW,◆셀러회원◆,True,True,softeun,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107873199,1107873199
컴퓨터_PC 저장장치,중고 하드디스크 WD 4TB HDD 퍼플 등급 판매합니다.,"70,000",SALE,본인인증 회원,False,True,블루문짱,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107873077,1107873077
컴퓨터_PC 저장장치,[판매완료] 삼성 SSD 980 Pro with Heatsink (히트싱크) 2TB 판매합니다.,"2,222",SOLD_OUT,본인인증 회원,False,False,별,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107872696,1107872696
컴퓨터_PC 저장장치,"중고 하드디스크 도시바 PC P300, 4TB HDD 판매합니다.","60,000",SALE,본인인증 회원,False,True,블루문짱,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107872637,1107872637
컴퓨터_PC 저장장치,중고 하드디스크 WD 2TB HDD 퍼플 등급 판매합니다,"25,000",SALE,본인인증 회원,False,True,블루문짱,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107872238,1107872238
컴퓨터_PC 저장장치,중고 하드디스크 시게이트 4TB HDD 스카이호크 팝니다.,"70,000",SALE,본인인증 회원,False,True,블루문짱,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107871726,1107871726
컴퓨터_PC 저장장치,"[매입][채굴기]A4000,A5000,RTX 3060 3070 3090 4090 매입,채굴장,서버","10,000",SALE,◆셀러회원◆,False,True,잇츠 PC매입,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107871051,1107871051
컴퓨터_PC 저장장치,윈도우10/11 MS오피스 2021 2019 2016 365 엑셀 워드 파워포인트,"11,900",ESCROW,◆셀러회원◆,True,True,eunsoft,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107871032,1107871032
컴퓨터_PC 저장장치,삼성전자 860 evo 500gb 풀박스,"35,000",SALE,중고나라 회원,False,True,사진좋아하는컴덕,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107870759,1107870759
컴퓨터_PC 저장장치,샌디스크 프로페셔널 4테라 PRO G40 Portable SSD.,"590,000",ESCROW,본인인증 회원,True,True,ernbfg42,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107870338,1107870338
컴퓨터_PC 저장장치,플로피디스켓3.5 미개봉 팝니다,"10,000",SALE,인증+안전거래 회원,False,True,0 BANK,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107870157,1107870157
