카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터_PC 주요부품,ASUS ROG 1200W P2,"250,000",SALE,본인인증 회원,False,True,꼬맹이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895736,1107895736
컴퓨터_PC 주요부품,NZXT KRAKEN ELITE 360 블랙,"250,000",SALE,본인인증 회원,False,True,꼬맹이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895484,1107895484
컴퓨터_PC 주요부품,ASUS  ROG Strix Z790-i 구매,"2,222",ESCROW,본인인증 회원,True,True,5rangeya,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895404,1107895404
컴퓨터_PC 주요부품,윈도우11 10 프로 홈 MS오피스 파워포인트 엑셀 워드 총알배송,"11,900",ESCROW,◆셀러회원◆,True,True,softseller,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895395,1107895395
컴퓨터_PC 주요부품,RTX2080 컴퓨터 본체 그래픽카드,"210,000",SALE,본인인증 회원,False,True,wxx0,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895325,1107895325
컴퓨터_PC 주요부품,9800x3d + X870E CROSSHAIR HERO,"1,350,000",SALE,본인인증 회원,False,True,꼬맹이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895160,1107895160
컴퓨터_PC 주요부품,RTX 5080 아스트랄,"1,950,000",SALE,본인인증 회원,False,True,꼬맹이,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894756,1107894756
컴퓨터_PC 주요부품,"삼성, SK 노트북용 _ DDR4 _ 3200MHz _ (PC4-25600) _ 2개 거래합니다.","28,000",SALE,중고나라 회원,False,True,JeFFFFFF,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894674,1107894674
컴퓨터_PC 주요부품,i7 8700k z370 16g 보드셋,"200,000",ESCROW,인증+안전거래 회원,True,True,가부끼,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894527,1107894527
컴퓨터_PC 주요부품,4070 super 에어로팝니다,"806,000",SALE,본인인증 회원,False,True,맹인곽원갑,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107894408,1107894408
