카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
키덜트_드론/RC/무선조종,RC카,"2,000",SALE,중고나라 회원,False,True,블랙홀 행성,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891658,1107891658
키덜트_드론/RC/무선조종,타미야,"150,000",SALE,중고나라 회원,False,True,블랙홀 행성,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891567,1107891567
키덜트_드론/RC/무선조종,RC ARRMA 크라톤 1/5 8S 몬스터 트럭 팝니다,"850,000",ESCROW,중고나라 회원,True,True,구짜남,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891431,1107891431
키덜트_드론/RC/무선조종,하이텍 엑시온2 수신기 axion2 1개 판매 합니다.,"20,000",SALE,중고나라 회원,False,True,준이데디,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891205,1107891205
키덜트_드론/RC/무선조종,"테킨 rsx 변속기, tekin rsx esc 판매 합니다.","50,000",SALE,중고나라 회원,False,True,준이데디,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891184,1107891184
키덜트_드론/RC/무선조종,"서펀트 코브라(부품용) 모터변속기, 서보 포함 rc버기","100,000",SOLD_OUT,중고나라 회원,False,False,준이데디,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891167,1107891167
키덜트_드론/RC/무선조종,팀어소시 실리콘 쇽 오일 일괄,"50,000",SALE,중고나라 회원,False,True,준이데디,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891153,1107891153
키덜트_드론/RC/무선조종,방식이 + 부품용 신식이  일괄 판매합니다. Team magic E6,"200,000",SALE,중고나라 회원,False,True,준이데디,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891140,1107891140
키덜트_드론/RC/무선조종,영화굿즈,"3,000",SALE,본인인증 회원,False,True,굿즈최고,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888940,1107888940
키덜트_드론/RC/무선조종,DJI 인스파이어2 X5R 및 배터리 스테이션 팝니다.(전파인증제품),"3,200,000",SALE,본인인증 회원,False,True,주게뿔라,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888293,1107888293
