카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
홈/생활용품_문구/사무용품,[미개봉] 모남희 nos7 쏜희 씰스티커,"18,800",SALE,중고나라 회원,False,True,mysso,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895469,1107895469
홈/생활용품_문구/사무용품,EPSON 스캐너 판매 합니다.,"600,000",SALE,중고나라 회원,False,True,늘평안해,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107895239,1107895239
홈/생활용품_문구/사무용품,"코지라이트 LED 돋보기, 확대경","10,000",SALE,인증+안전거래 회원,False,True,쥬쉬후뤠쉬,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107893619,1107893619
홈/생활용품_문구/사무용품,MAPED 마페드 컴퍼스 완전 구형 골동품,"200,000",ESCROW,중고나라 회원,True,True,이22e,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892763,1107892763
홈/생활용품_문구/사무용품,쿠르토가다이브 문나이트 블루 팝니다,"200,000",SALE,본인인증 회원,False,True,pallas3,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892647,1107892647
홈/생활용품_문구/사무용품,삽니다)오로라 빙하 구합니다,"1,111,111",SALE,본인인증 회원,False,True,mingi6358,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107892629,1107892629
홈/생활용품_문구/사무용품,펠리칸 400nn ef 빈티지 만년필,"180,000",ESCROW,본인인증 회원,True,True,akmer,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107891435,1107891435
홈/생활용품_문구/사무용품,보노 A5 A6 아크릴 6공 경첩 바인더,"10,500",SALE,본인인증 회원,False,True,우현애인,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107888846,1107888846
홈/생활용품_문구/사무용품,펠로우즈 문서세단기 125Ci 53L (꽃가루형) 박스채 새상품,"350,000",SALE,중고나라 회원,False,True,hje7709,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107886530,1107886530
홈/생활용품_문구/사무용품,펠리칸 m800 닙파츠 닙유닛 f,"250,000",SOLD_OUT,본인인증 회원,True,False,ys4832,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107884025,1107884025
홈/생활용품_문구/사무용품,펠리칸 m200 닙파츠 닙유닛 m촉,"20,000",SOLD_OUT,본인인증 회원,True,False,ys4832,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107883302,1107883302
홈/생활용품_문구/사무용품,펠리칸 m200 브라운마블 f,"90,000",ESCROW,본인인증 회원,True,True,ys4832,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107882660,1107882660
홈/생활용품_문구/사무용품,멀버리 포켓북 다이어리,"300,000",SALE,중고나라 회원,False,True,투,2025-06-07,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107882135,1107882135
