group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가구,가구/인테리어_서재/사무용가구,커블체어 외 모두일괄 택포 14.500,"14,500",SALE,인증+안전거래 회원,False,True,khurotc1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993484,1107993484
가구,가구/인테리어_서재/사무용가구,FUSYS퍼시스 CH4200AH 올메쉬의자 (70개 보유중),"100,000",ESCROW,◆셀러회원◆,True,True,보물창고 01056733166,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992719,1107992719
가구,가구/인테리어_서재/사무용가구,(전국구매가능) 찾았다! 예쁜 사무실파티션 높이1200,"26,000",SOLD_OUT,◆셀러회원◆,True,False,보물창고 01056733166,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992649,1107992649
가구,가구/인테리어_서재/사무용가구,DUOBACK 알파의자 (좌판메쉬) 고급형 40만원대 제품,"70,000",ESCROW,◆셀러회원◆,True,True,보물창고 01056733166,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992629,1107992629
가구,가구/인테리어_서재/사무용가구,[판매/매입] 134번 학원용책상 중고책걸상 학교 자습실 학원책상 학원가구 재활용센터,"30,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990769,1107990769
가구,가구/인테리어_서재/사무용가구,[판매/매입] 148번 수강판일체형의자 학원책상 강의실 책상일체형 접이식의자 책걸상,"25,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990755,1107990755
가구,가구/인테리어_서재/사무용가구,[판매/매입] 173번 교연교구 어린이책상 어린이의자 유아책상 유아의자 어린이책걸상,"60,000",SALE,◆셀러회원◆,False,True,반디가구,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990737,1107990737
가구,가구/인테리어_서재/사무용가구,우드래빗 마이토 책상,"300,000",ESCROW,본인인증 회원,True,True,남자잖아,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989522,1107989522
가구,가구/인테리어_서재/사무용가구,시크릿랩 에보(TITAN Evo) 게이밍의자 사무용 의자,"480,000",SALE,본인인증 회원,False,True,sunday3pm,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989360,1107989360
가구,가구/인테리어_서재/사무용가구,유아 책상 및 의자 어린이집구성가능 책상5개,"300,000",SALE,인증+안전거래 회원,False,True,미봉따,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989268,1107989268
가구,가구/인테리어_서재/사무용가구,교회 접이식 의자 40개(수강판 있음) 일괄 판매,"1,000,000",SALE,본인인증 회원,False,True,alicerabbit,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988881,1107988881
가구,가구/인테리어_서재/사무용가구,니스툴그로우 책상,"100,000",ESCROW,인증+안전거래 회원,True,True,변경가능,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988141,1107988141
가구,가구/인테리어_서재/사무용가구,(새상품) 백제 금동대향로 무늬 케이스,"10,000",SALE,인증+안전거래 회원,False,True,맛있는배추보쌈,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985746,1107985746
가구,가구/인테리어_서재/사무용가구,올백독서대 팝니다~,"5,000",SALE,중고나라 회원,False,True,pllol,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985679,1107985679
가구,가구/인테리어_서재/사무용가구,허먼밀러 엠바디 게이밍 버전(겜바디) 민트급,"1,900,000",SALE,본인인증 회원,False,True,랑카르,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983768,1107983768
가구,가구/인테리어_서재/사무용가구,피카 1016 안내데스크 세트 카운터 인포메이션 1200 화이트,"63,000",ESCROW,중고나라 회원,True,True,azaazaft,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981507,1107981507
가구,가구/인테리어_서재/사무용가구,듀오백 의자,"15,000",SALE,인증+안전거래 회원,False,True,고스트15,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980600,1107980600
가구,가구/인테리어_서재/사무용가구,한샘 샘책장 5단,"5,000",SALE,본인인증 회원,False,True,gydls85,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980026,1107980026
가구,가구/인테리어_서재/사무용가구,"[판매] 퍼시스 조이, 플라이트, 제스티 루미나 시리즈 사무의자 팝니다.","30,000",SALE,◆셀러회원◆,False,True,에코게이트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979578,1107979578
가구,가구/인테리어_서재/사무용가구,[판매]시디즈 T60 T10 T12 사무의자 회의의자 팔아요,"60,000",SALE,◆셀러회원◆,False,True,에코게이트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979552,1107979552
가구,가구/인테리어_서재/사무용가구,[판매]퍼시스 사무책상 딜라이트 인에이블 사무서랍 등 판매,"50,000",SALE,◆셀러회원◆,False,True,에코게이트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979480,1107979480
가구,가구/인테리어_서재/사무용가구,[판매]퍼시스 블라인드파티션 JFS파티션 FX-1 파티션모음 판매,"50,000",SALE,◆셀러회원◆,False,True,에코게이트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979454,1107979454
가구,가구/인테리어_서재/사무용가구,생활지음 제르미 책상 1400,"50,000",SALE,중고나라 회원,False,True,메리맘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978997,1107978997
가구,가구/인테리어_서재/사무용가구,사무실 추천 ! 목받침 메쉬의자 (브랜드 코아스 토크의자),"80,000",ESCROW,◆셀러회원◆,True,True,보물창고 01056733166,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977054,1107977054
