group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
골프,골프_골프백,25년 신상품] 미즈노 TOUR POLY 스탠드백 화이트블루,"130,000",ESCROW,인증+안전거래 회원,True,True,스나이퍼79,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992256,1107992256
골프,골프_골프백,파리게이츠 하프백 새상품급,"58,000",SALE,중고나라 회원,False,True,효독스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992241,1107992241
골프,골프_골프백,제이린드버그 니트 스탠드백 서울,"290,000",SALE,중고나라 회원,False,True,estj입니다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992066,1107992066
골프,골프_골프백,클리브랜드 경량 캐디백,"148,000",ESCROW,본인인증 회원,True,True,awj0917,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991269,1107991269
골프,골프_골프백,"제네시스 마제스티 골프백, 보스턴백 신품 판매합니다.","270,000",SALE,본인인증 회원,False,True,이누야샤,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984939,1107984939
골프,골프_골프백,세인트앤드류스 St ANDREWS 골프 여성 토트백 파우치백 클러치백 카트백 버킷백 골프백 새제품,"35,000",SALE,인증+안전거래 회원,False,True,GOLF EQUIPMENT,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983641,1107983641
골프,골프_골프백,팬텀 스포츠 블랙 파우치,"18,000",SALE,본인인증 회원,False,True,자몽이언니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983634,1107983634
골프,골프_골프백,타이틀리스트 항공커버,"120,000",SOLD_OUT,중고나라 회원,False,False,골플,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983259,1107983259
골프,골프_골프백,어메이징크리 골프 AMAZINGCRE GOLF 슈즈백 슈즈케이스 신발주머니 골프화 가방 골프화 슈즈백 골프백,"45,000",SALE,인증+안전거래 회원,False,True,GOLF EQUIPMENT,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983195,1107983195
골프,골프_골프백,야마하 YAMAHA 골프백 바퀴골프백 휠백 저렴히 팝니다,"100,000",SALE,중고나라 회원,False,True,tyuiop,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979512,1107979512
골프,골프_골프백,지포어 반다나 킬러 럭스 경량 골프백 새상품,"430,000",SALE,인증+안전거래 회원,False,True,엘리쑤,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978771,1107978771
골프,골프_골프백,타이틀리스트 보스턴백,"90,000",SALE,중고나라 회원,False,True,효독스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107975966,1107975966
골프,골프_골프백,어뉴 캐디백,"350,000",SALE,본인인증 회원,False,True,oldstones,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973220,1107973220
골프,골프_골프백,스카티카메론 M&G 페스티벌 댄싱워리어 / 팔로마핑크 / 브라이트레드 / 핑크차콜 / 조던그루브 스탠드백,"2,000",SALE,중고나라 회원,False,True,arumada1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964440,1107964440
골프,골프_골프백,스카티카메론 미니크라운 / 서퍼블루 / 세라페 라이프세이버 / 월페이퍼독 / 헤더그레이 스탠드백,"2,000",SALE,중고나라 회원,False,True,arumada1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964422,1107964422
골프,골프_골프백,유타 UTAA 스탠다드 보스턴백 새상품,"70,000",ESCROW,중고나라 회원,True,True,페어웨이s,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107960335,1107960335
골프,골프_골프백,스카티카메론 패스파인더 미드나이트 겜블러 경량 스탠드백,"220,000",ESCROW,중고나라 회원,True,True,페어웨이s,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107960292,1107960292
골프,골프_골프백,42 말본 뉴 베이직 트롤리 휠 캐디백 그린,"250,000",ESCROW,중고나라 회원,True,True,페어웨이s,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107960268,1107960268
골프,골프_골프백,Pxg 스탠드백 캐디백 검/노 새제품 (정가 65만원),"390,000",SALE,인증+안전거래 회원,False,True,비비비빕빕,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107956512,1107956512
골프,골프_골프백,6월8일 두산베어스 vs 롯데자이언츠 야구티켓 최저가 테이블석/오렌지석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,라이온 링,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107955382,1107955382
골프,골프_골프백,bmw골프백,"160,000",ESCROW,중고나라 회원,True,True,포링미링,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107953703,1107953703
골프,골프_골프백,한화이글스 두산베어스 6월10일11일12일 야구티켓 최저가 포수후면석/중앙지정석/중앙탁자석/내야지정석/응원단석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,라이온 링,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107952600,1107952600
골프,골프_골프백,6월8일 기아타이거즈 vs 한화이글스 야구티켓 최저가 중앙테이블석/가족석/k9/원정응원석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,라이온 링,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107952185,1107952185
골프,골프_골프백,6월8일 두산베어스 vs 롯데자이언츠 야구티켓 최저가 테이블석/오렌지석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,라이온 링,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107951784,1107951784
골프,골프_골프백,6월 8일 삼성라이온즈 vs 엔씨다이노스 야구티켓 최저가 테이블석/블루존/원정응원석 1루 3루 6연석 양도합니다,"90,000",SALE,중고나라 회원,False,True,라이온 링,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107951597,1107951597
골프,골프_골프백,파리게이츠 하프가방 새상품급,"60,000",SALE,중고나라 회원,False,True,l로즈데일I,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107950821,1107950821
골프,골프_골프백,"말본 골프백 경량 하프 스탠드백 그린,블랙 싸게팜","120,000",ESCROW,중고나라 회원,True,True,샤를로스진,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107950778,1107950778
골프,골프_골프백,"말본 베이지 하프백 , 보스턴백 팜","110,000",ESCROW,본인인증 회원,True,True,바다가고싶다아,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107948944,1107948944
골프,골프_골프백,새제품) 미즈노 엔조이 골프 스탠드백,"290,000",ESCROW,인증+안전거래 회원,True,True,스나이퍼79,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107943067,1107943067
골프,골프_골프백,PXG 밀리터리 스탠드백 블랙,"400,000",SALE,본인인증 회원,False,True,알뜰살뜰마밍,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107940280,1107940280
골프,골프_골프백,키움히어로즈 vs 엘지트윈스 6월8일 야구티켓 테이블석/다크버건디석 1루 3루 연석 양도합니다,"90,000",SOLD_OUT,중고나라 회원,False,False,신사 임당,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107938513,1107938513
