group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
남성패션,남성패션_가방잡화,"쌤소나이트 크로스백, 보스턴백","40,000",ESCROW,인증+안전거래 회원,True,True,pocaidon,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993774,1107993774
남성패션,남성패션_가방잡화,메종미네드,"50,000",ESCROW,중고나라 회원,True,True,반디앤후니스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993620,1107993620
남성패션,남성패션_가방잡화,"리복 백팩, 남성 백팩","40,000",SALE,중고나라 회원,False,True,냥냥얌님,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993549,1107993549
남성패션,남성패션_가방잡화,타이틀리스트 보스턴백,"100,000",SALE,중고나라 회원,False,True,icleopatra,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993365,1107993365
남성패션,남성패션_가방잡화,프라이탁 하파오,"100,000",SALE,본인인증 회원,False,True,베르베른,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992947,1107992947
남성패션,남성패션_가방잡화,내셔널지오그래픽 데이백 백팩 가방,"40,000",ESCROW,인증+안전거래 회원,True,True,파씨에요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992898,1107992898
남성패션,남성패션_가방잡화,메종 마르지엘라 로고 스티치 카드 지갑 판매합니다,"85,000",SALE,본인인증 회원,False,True,gkfptm11,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992839,1107992839
남성패션,남성패션_가방잡화,고야드 카드지갑 생쉴피스 그린 (백화점판/새상품),"480,000",ESCROW,인증+안전거래 회원,True,True,ROADCARACER,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992818,1107992818
남성패션,남성패션_가방잡화,타밧 안경 리미티드 한정판,"470,000",SALE,중고나라 회원,False,True,뢰 연누리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992560,1107992560
남성패션,남성패션_가방잡화,탠디 클러치 가방 손가방 작은가방,"9,900",ESCROW,중고나라 회원,True,True,강기갑,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992500,1107992500
남성패션,남성패션_가방잡화,[새제품] 포터클래식 슈퍼나일론 데이팩,"950,000",SALE,본인인증 회원,False,True,시게6723ZJT,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992457,1107992457
남성패션,남성패션_가방잡화,샘소나이트 가방,"81,000",SALE,중고나라 회원,False,True,쿨 가이3,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992275,1107992275
남성패션,남성패션_가방잡화,(판매-가격인하) RYAN 라이언 빈티지 한정판 안경 판매 합니다.,"120,000",SALE,중고나라 회원,False,True,쓰리페이퍼,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992060,1107992060
남성패션,남성패션_가방잡화,헤리티지플로스 스포츠백 블랙,"92,000",ESCROW,본인인증 회원,True,True,치즈볼더위자드,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992033,1107992033
남성패션,남성패션_가방잡화,(판매-가격인하) 카시오 G-SHOCK 지샥 풀메달 터프솔라 블루투스 국내 정식 매장 정품,"280,000",SALE,중고나라 회원,False,True,쓰리페이퍼,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991682,1107991682
남성패션,남성패션_가방잡화,노퍼블릭 박보검 안경,"29,000",SALE,중고나라 회원,False,True,juni7210,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991599,1107991599
남성패션,남성패션_가방잡화,캘빈클라인 진(Calvin Klein Jeans) 백팩 판매,"35,000",SALE,본인인증 회원,False,True,왕코군,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991591,1107991591
남성패션,남성패션_가방잡화,백팩,"80,000",SALE,인증+안전거래 회원,False,True,낭만언니2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991312,1107991312
남성패션,남성패션_가방잡화,내셔널지오그래픽 듀크 백팩 블랙,"100,000",SALE,중고나라 회원,False,True,안녕하듀,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991162,1107991162
