group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
명품,명품_남성신발,로렉스 신형 데이저스트 샴페인 텐포다이아 콤비 36MM 126233 판매,"18,300,000",ESCROW,중고나라 회원,True,True,Opplll,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993825,1107993825
명품,명품_남성신발,로렉스 신형 데이저스트 검판바 옐로우콤비 41MM 126333 판매,"23,000,000",ESCROW,중고나라 회원,True,True,Opplll,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993716,1107993716
명품,명품_남성신발,롤렉스 익스플로러 114270 인그레이빙 Z번 최상급컨디션,"8,500,000",SALE,본인인증 회원,False,True,폴로중독자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993499,1107993499
명품,명품_남성신발,로렉스 279171 . 데이저스트 28 초코판 다이아 콤비 팝니당,"23,800,000",SALE,중고나라 회원,False,True,eks0308,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993465,1107993465
명품,명품_남성신발,롤렉스 114270 익스플로러1 인그레이빙10년식 V시리얼 최상급컨디션,"9,100,000",SALE,본인인증 회원,False,True,폴로중독자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993449,1107993449
명품,명품_남성신발,로렉스 126333. 데이저스트 41 실버판 콤비 팝니당,"20,700,000",SALE,중고나라 회원,False,True,eks0308,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993388,1107993388
명품,명품_남성신발,(판매-가격인하) 태그호이어 TAGHEUER 아쿠아레이서 크로노 오토매틱 검판 판매,"1,100,000",SALE,중고나라 회원,False,True,gobongmin,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993203,1107993203
명품,명품_남성신발,위블로 빅뱅 상블루2 킹골드 파베다이아 45mm 러버밴드 오토매틱 418OX1108RX1604MXM20,"59,000,000",SALE,◆셀러회원◆,False,True,본타임,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993199,1107993199
명품,명품_남성신발,오메가 빈티지 씨마스터 크로노미터(168.0061) / 판매 교환,"1,000,000",SALE,본인인증 회원,False,True,kyjs1043,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993181,1107993181
명품,명품_남성신발,아이스워치 BMW,"40,000",ESCROW,인증+안전거래 회원,True,True,그냥시작해,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993113,1107993113
명품,명품_남성신발,오메가 브로드애로우 3575.20 팝니다.,"6,000,000",SALE,본인인증 회원,False,True,skzkxkas,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992992,1107992992
명품,명품_남성신발,정품 오메가 - 금색 선레이 다이얼에 은색 케이스 - 남성용 쿼츠 시계,"420,000",SALE,본인인증 회원,False,True,savetm999,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992908,1107992908
명품,명품_남성신발,6월 8일 롤렉스매장 전체 입고정보 - 몇몇 매장에서 SS급 시계들,"10,000,000",SALE,중고나라 회원,False,True,핑핑아는핑핑,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992821,1107992821
명품,명품_남성신발,[매입] 데이데이트 스카이드웰러 데이토나 명품중고시계 매입합니다!,"50,000",SALE,◆셀러회원◆,False,True,HR와치,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992817,1107992817
명품,명품_남성신발,까레라 39mm 실버,"1,950,000",ESCROW,인증+안전거래 회원,True,True,힐링맨a,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992635,1107992635
