group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미용,미용_향수,딥디크 2ml 5ml 10ml 바디밤 바디젤 핸드로션 바디로션/ 딥디크 오데썽 플레르드뽀 오르페옹 도손 오로즈 탐다오 롬브로단로 필로시코스 오듀엘르 오에도 제라늄 베티베리오/ 딥디크 릴리피아 로즈로슈 루나마리,"9,000",SALE,중고나라 회원,False,True,voss33,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993685,1107993685
미용,미용_향수,(무료배송 새상품) 롱테이크 솔리드 퍼퓸 30ml 샌달우드 우디 머스크 고체향수 지속력 좋은 바르는 향수,"14,000",SALE,중고나라 회원,False,True,2개이상구매시O에눌O,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993558,1107993558
미용,미용_향수,"FIILIT KADO 카도, BALI 발리, POLYNESIE 프랑스 비건 향수","60,000",ESCROW,인증+안전거래 회원,True,True,호야호얍,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993185,1107993185
미용,미용_향수,오베드상 향수 패키지 새상품,"85,000",ESCROW,인증+안전거래 회원,True,True,호야호얍,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993169,1107993169
미용,미용_향수,베니스상인 베니스의상인 로사 모체니가 50ML 향수,"80,000",ESCROW,인증+안전거래 회원,True,True,호야호얍,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993149,1107993149
미용,미용_향수,메종 21G 제라늄 젬 판매,"150,000",ESCROW,중고나라 회원,True,True,NY0108,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992829,1107992829
미용,미용_향수,아르마니 프리베 상탈 단샤 50ml 판매,"120,000",ESCROW,중고나라 회원,True,True,NY0108,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992733,1107992733
미용,미용_향수,펜할리곤스 - 리퀴드 러브 판매,"200,000",ESCROW,중고나라 회원,True,True,NY0108,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992617,1107992617
미용,미용_향수,톰포드 - 패뷸러스 100ml 판매,"300,000",ESCROW,중고나라 회원,True,True,NY0108,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992487,1107992487
미용,미용_향수,메종 프란시스 커정 바카랏 루쥬 540 EDP 70ML 새상품 판매합니다,"250,000",SALE,인증+안전거래 회원,False,True,매너판다곰,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992073,1107992073
미용,미용_향수,"이솝 향수 미라세티, 휠, 카르스트, 테싯","12,345",SALE,중고나라 회원,False,True,미야비inFK,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992042,1107992042
미용,미용_향수,바이레도 모하비고스트 플라워헤드 아이즈클로즈드 산타마리아노벨라 인첸소 앰브라 젤소미노 아쿠아 피렌체 맥 폼클렌징 에스트라 헤라 선크림,"4,000",SALE,인증+안전거래 회원,False,True,겸댕HJ,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992010,1107992010
