group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠,스포츠/레저_농구용품/의류,"[265,275] 나이키 GT CUT 지티컷 암예방 미시착 새제품 택포","339,000",SALE,본인인증 회원,False,True,하사아타,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992811,1107992811
스포츠,스포츠/레저_농구용품/의류,나이키 WHY NOT .6 PF 블랙 농구화 판매합니다(255m) - 1회 착용,"110,000",SALE,중고나라 회원,False,True,gsam,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991010,1107991010
스포츠,스포츠/레저_농구용품/의류,나이키 미국농구국대 트레이닝티셔츠 빅사이즈 4XL(120),"40,000",SALE,중고나라 회원,False,True,우드스탁,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990744,1107990744
스포츠,스포츠/레저_농구용품/의류,[270] 아디다스 AE1 로우 레드,"85,000",ESCROW,인증+안전거래 회원,True,True,벤치프레스0,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990405,1107990405
스포츠,스포츠/레저_농구용품/의류,푸마 농구화 스카이 드리머 275mm,"89,000",SALE,중고나라 회원,False,True,Nashty13,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989976,1107989976
스포츠,스포츠/레저_농구용품/의류,르브론20 미미,"190,000",SALE,본인인증 회원,False,True,불꽃남자777ace,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989056,1107989056
스포츠,스포츠/레저_농구용품/의류,코비5 에그플란트 285,"190,000",ESCROW,중고나라 회원,True,True,알무니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988632,1107988632
스포츠,스포츠/레저_농구용품/의류,허슬3 290,"95,000",ESCROW,중고나라 회원,True,True,알무니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988603,1107988603
스포츠,스포츠/레저_농구용품/의류,[280~285] 나이키 야니스프릭6 KD15 농구화 윌슨 퓨어샷 농구공 팝니다.(판매중),"2,000",SALE,본인인증 회원,False,True,8BLACKMAMBA24,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987647,1107987647
스포츠,스포츠/레저_농구용품/의류,나이키 루카 3 SE PF 270mm 새상품,"100,000",SALE,인증+안전거래 회원,False,True,martin J,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987171,1107987171
스포츠,스포츠/레저_농구용품/의류,나코탭유)조던투트레이 화이트퍼플 280 정품새상품.,"165,000",SALE,중고나라 회원,False,True,백호태섭,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985846,1107985846
스포츠,스포츠/레저_농구용품/의류,르브론21 타히티안 280-정품 새제품 팝니다.,"98,000",SALE,중고나라 회원,False,True,백호태섭,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985388,1107985388
스포츠,스포츠/레저_농구용품/의류,310mm 나이키 프릭 6 EP 농구화,"60,000",SALE,인증+안전거래 회원,False,True,토론토CN타워,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981166,1107981166
스포츠,스포츠/레저_농구용품/의류,310mm 나이키 르브론 21 EP 농구화,"70,000",SALE,인증+안전거래 회원,False,True,토론토CN타워,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981145,1107981145
스포츠,스포츠/레저_농구용품/의류,[280] 르브론21 새제품,"90,000",SALE,중고나라 회원,False,True,제냐매니아,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980619,1107980619
스포츠,스포츠/레저_농구용품/의류,아디다스 크레이지97 310사이즈 새제품,"90,000",SALE,본인인증 회원,False,True,bkbkbh41,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978380,1107978380
스포츠,스포츠/레저_농구용품/의류,전장 줌에어 드랍인 인솔 새것,"45,000",SALE,본인인증 회원,False,True,루,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978242,1107978242
스포츠,스포츠/레저_농구용품/의류,그랜트힐 미첼앤네스 정품 4XL 스윙맨 져지,"80,000",SALE,본인인증 회원,False,True,bkbkbh41,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977897,1107977897
스포츠,스포츠/레저_농구용품/의류,(초희귀) 1983년 당시 각계 정계인사들의 싸인이 있는 연세대 농구부 창단55주년기념식  싸인판 팝니다,"300,000",SALE,중고나라 회원,False,True,jinjam,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977366,1107977366
스포츠,스포츠/레저_농구용품/의류,나이키 아디다스 뉴발란스 스포츠양말,"2,000",SALE,중고나라 회원,False,True,soxssri,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977353,1107977353
