group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자동차 용품,자동차 용품_기타/차량부품,중고배터리 agm중고배터리(최소2~3년이상사용가능)5만원 직거래 인천.서울인근.경기인근,"50,000",SALE,중고나라 회원,False,True,tktlaltktlal,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993646,1107993646
자동차 용품,자동차 용품_기타/차량부품,차량용 룸미러 핸드폰 거치대 판매합니다,"14,000",SALE,본인인증 회원,False,True,IiIlIilliIlIIillIilI,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993276,1107993276
자동차 용품,자동차 용품_기타/차량부품,네오테크 NF4P 프론트 캘리퍼 & 디스크 세트 판매합니다.,"800,000",SALE,중고나라 회원,False,True,자동차관심많아요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993245,1107993245
자동차 용품,자동차 용품_기타/차량부품,네오테크 NF6P 프론트 캘리퍼 & 디스크 세트 판매합니다.,"1,500,000",SALE,중고나라 회원,False,True,자동차관심많아요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993233,1107993233
자동차 용품,자동차 용품_기타/차량부품,서스펜션 (네오테크 엔써 LE 필로우볼타입) 판매합니다.,"800,000",SALE,중고나라 회원,False,True,자동차관심많아요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993220,1107993220
자동차 용품,자동차 용품_기타/차량부품,[판매] 메이튼 무선 안드로이드 오토 프로 동글(안드로이드) 팝니다,"40,000",SALE,본인인증 회원,False,True,모듈수집가,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992845,1107992845
자동차 용품,자동차 용품_기타/차량부품,"가변배기, 듀얼배기, 구조변경","12,345",SALE,중고나라 회원,False,True,burningexaust,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992664,1107992664
자동차 용품,자동차 용품_기타/차량부품,브로딧 X5 F15 구입합니다.,"20,000",SALE,중고나라 회원,False,True,김밥은맛있다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992520,1107992520
자동차 용품,자동차 용품_기타/차량부품,BMW G30 순정 정품 TPMS,"90,000",SALE,중고나라 회원,False,True,육삼에이엠쥐,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991535,1107991535
자동차 용품,자동차 용품_기타/차량부품,3버튼 하이패스 ECM 룸미러,"50,000",ESCROW,중고나라 회원,True,True,ANmuseum,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991508,1107991508
자동차 용품,자동차 용품_기타/차량부품,제네시스BH SCC 스마트크루즈컨트롤 모듈,"100,000",ESCROW,중고나라 회원,True,True,UNESCOCO,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991388,1107991388
자동차 용품,자동차 용품_기타/차량부품,현대자동차 안전 삼각대 팔아요(차량용 자동차 비상 삼각대) 팔아요,"8,000",SALE,중고나라 회원,False,True,평생감사,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991218,1107991218
자동차 용품,자동차 용품_기타/차량부품,에어포스 차박매트 랭글러jk 루비콘,"160,000",SALE,본인인증 회원,False,True,kks11319,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990892,1107990892
