group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
컴퓨터,컴퓨터_기타,HP 761 토너 잉크 카트리지,"70,000",SALE,본인인증 회원,False,True,bonobonoyaa7,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992857,1107992857
컴퓨터,컴퓨터_기타,휴대용 결제단말기 판매,"50,000",SALE,중고나라 회원,False,True,나는나는빌런이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989280,1107989280
컴퓨터,컴퓨터_기타,mofli 무선 키보드 마우스(새제품),"60,000",SALE,인증+안전거래 회원,False,True,martin J,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987128,1107987128
컴퓨터,컴퓨터_기타,(미개봉) 삼성 정품토너 MLT-K250L 미개봉 신품 팝니다.,"440,000",SALE,중고나라 회원,False,True,은하수,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986509,1107986509
컴퓨터,컴퓨터_기타,유피에스 EATON UPS 9SXEBM240 무정전전원장치 9SX11KiBM,"12,345",SALE,중고나라 회원,False,True,soonboonlove,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986263,1107986263
컴퓨터,컴퓨터_기타,세븐나이츠 리버스 판매,"100,000",SALE,중고나라 회원,False,True,참새암,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986078,1107986078
컴퓨터,컴퓨터_기타,시놀로지 DS918+ 나스 (램 16GB 업그레이드),"520,000",ESCROW,본인인증 회원,True,True,올곧은마음이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985572,1107985572
컴퓨터,컴퓨터_기타,엘지 유플러스 u+ 인터넷 양도합니다 (지원금있음) 20만원,"200,000",SALE,중고나라 회원,False,True,역삼라이더,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984622,1107984622
컴퓨터,컴퓨터_기타,지폐교환기 거의 새상품 2구,"700,000",SALE,중고나라 회원,False,True,taejis,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984200,1107984200
컴퓨터,컴퓨터_기타,브리츠 BA-RG100 사운드바,"3,000",SALE,본인인증 회원,False,True,yoolly,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981158,1107981158
컴퓨터,컴퓨터_기타,"※Tektonix Logic Probe, 전압 프로브, 르네사스/도시바 MCU, 산켄 IGBT, 오므론/홍파/송천Relay, EV Board, 아두이노 보드 및 부품 판매합니다.","20,000",SALE,중고나라 회원,False,True,sss856,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977496,1107977496
컴퓨터,컴퓨터_기타,ASUS ROG Ally X 팝니다.,"850,000",SOLD_OUT,중고나라 회원,False,False,Nyoroon,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976534,1107976534
컴퓨터,컴퓨터_기타,APC UPS SMT1500I 무정전 전원장치 판매합니다.,"400,000",SALE,본인인증 회원,False,True,레놀놀렌,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976243,1107976243
컴퓨터,컴퓨터_기타,[미개봉 새제품] 마이크로소프트 오피스 홈 2024 ESD,"85,000",SALE,중고나라 회원,False,True,미란공주9591,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973099,1107973099
컴퓨터,컴퓨터_기타,캐스키드슨 노트북 가방 15인치 가능,"25,000",SALE,본인인증 회원,False,True,지붕위의참새,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107972552,1107972552
컴퓨터,컴퓨터_기타,네모닉 MIP-001P 메모장 프린터 미개봉 새제품,"42,000",ESCROW,중고나라 회원,True,True,별친구,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107971586,1107971586
컴퓨터,컴퓨터_기타,"라즈베리파이5 8gb,16gb 팝니다","255,000",SALE,본인인증 회원,False,True,안산은안전합니다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107967621,1107967621
컴퓨터,컴퓨터_기타,레오폴드 FC750R PD 갈축 기계식 키보드 팝니다,"50,000",SALE,중고나라 회원,False,True,이제권,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107966922,1107966922
컴퓨터,컴퓨터_기타,프로인텔리 대체 1000hz 익스 무광블랙,"49,000",SOLD_OUT,중고나라 회원,False,False,govbvog,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107966292,1107966292
컴퓨터,컴퓨터_기타,"세븐나이츠 리버스 세나 리버스 팝니다.(구글연동, 사진","100,000",ESCROW,인증+안전거래 회원,True,True,너트임,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965204,1107965204
컴퓨터,컴퓨터_기타,서울) 커세어 키보드 K70 RGB CORE 화이트 새상품급 팜,"125,000",ESCROW,본인인증 회원,True,True,써니대표,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107963744,1107963744
컴퓨터,컴퓨터_기타,MARKLIFE M1 라벨 프린터,"18,000",SALE,중고나라 회원,False,True,린스키M230,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107963337,1107963337
컴퓨터,컴퓨터_기타,구글 네스트 와이파이 Wi-Fi 공유기 판매합니다.,"60,000",SALE,중고나라 회원,False,True,iffyiffy22,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107960098,1107960098
컴퓨터,컴퓨터_기타,이지체크 미니포스기,"75,000",SALE,중고나라 회원,False,True,eou,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107959651,1107959651
컴퓨터,컴퓨터_기타,플스4 신형 카메라 + 저스트댄스 2장,"55,000",ESCROW,중고나라 회원,True,True,LifeFeel,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107957640,1107957640
컴퓨터,컴퓨터_기타,클린마이맥 X 영구라이센스,"50,000",SALE,본인인증 회원,False,True,장민성2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107956913,1107956913
컴퓨터,컴퓨터_기타,메이플랜드 S급 2글자 닉네임 팝니다.,"300,000",SALE,중고나라 회원,False,True,뿌뿌쀼1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107955440,1107955440
컴퓨터,컴퓨터_기타,파인더스 프리미엄,"550,000",ESCROW,중고나라 회원,True,True,ach7979,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107954328,1107954328
컴퓨터,컴퓨터_기타,아이리버 미니언즈 무선 키보드 IMK101 - 2.5만원,"25,000",SALE,본인인증 회원,False,True,지니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107949421,1107949421
컴퓨터,컴퓨터_기타,롤 그마 업계최저 개인대리 승률7할미만 환불약속,"4,000",SALE,중고나라 회원,False,True,롤샘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107949004,1107949004
컴퓨터,컴퓨터_기타,CANVA 캔바 PRO 팀원 2명 초대 해요,"35,000",SALE,중고나라 회원,False,True,드롭프탑,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107948910,1107948910
컴퓨터,컴퓨터_기타,마하링크 HDMI 분배기 (ML-HSP14) 4:1,"22,000",SALE,중고나라 회원,False,True,sally7912,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107940424,1107940424
컴퓨터,컴퓨터_기타,"카멜마운트 IMA2PL
팝니다.","60,000",SALE,본인인증 회원,False,True,권캡,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107940274,1107940274
컴퓨터,컴퓨터_기타,[매입][삽니다] 윈도우11 10 DSP FPP.모든 한컴 홈앤비지니스 소프트웨어 최고가 구매 삽니다,"1,000,000",SALE,◆셀러회원◆,False,True,베스트코리아컴 BKC,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107940210,1107940210
컴퓨터,컴퓨터_기타,인튜어스 프로 2025 중형 PTK670 거의새거,"400,000",ESCROW,인증+안전거래 회원,True,True,인케닭,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107939400,1107939400
컴퓨터,컴퓨터_기타,무선랜카드 블루투스  fenvi ax3000 ax210,"15,000",SOLD_OUT,본인인증 회원,False,False,제루쑤,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107933313,1107933313
컴퓨터,컴퓨터_기타,로비스 전화출입무인 시스템,"900,000",SOLD_OUT,본인인증 회원,False,False,아름답봉,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107932337,1107932337
