group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
한정판,한정판_이지&아디다스,이지부스트 700 유틸리티 블랙  235,"50,000",SALE,본인인증 회원,False,True,DDu뚜뚜,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982347,1107982347
한정판,한정판_이지&아디다스,아디다스 송포더뮤트 쉐도우터프,"100,000",SALE,본인인증 회원,False,True,정민이래,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107967421,1107967421
한정판,한정판_이지&아디다스,[275] 이지 500 본화이트,"100,000",SALE,본인인증 회원,False,True,다다다다다고,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107958966,1107958966
한정판,한정판_이지&아디다스,[265] 이지 350 v2 스태틱,"140,000",SALE,본인인증 회원,False,True,다다다다다고,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107958574,1107958574
한정판,한정판_이지&아디다스,아디다스 오리지날 울트라부스트 메달팩 브론드 280,"250,000",ESCROW,인증+안전거래 회원,True,True,l달타냥l,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107954969,1107954969
한정판,한정판_이지&아디다스,아디다스 이지슬라이드 코어 305/315,"300,000",ESCROW,인증+안전거래 회원,True,True,l달타냥l,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107954856,1107954856
한정판,한정판_이지&아디다스,아디다스 오리지날 슈퍼스타 윈드브레이커 자켓 블루 L,"100,000",ESCROW,인증+안전거래 회원,True,True,l달타냥l,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107954715,1107954715
한정판,한정판_이지&아디다스,아디다스 울트라부스트 리오파르트 270 275 295 [새상품],"150,000",SALE,중고나라 회원,False,True,s이이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107916603,1107916603
한정판,한정판_이지&아디다스,[270]이지부스트 350 V2 본 판매합니다.,"390,000",ESCROW,중고나라 회원,True,True,fooa222,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107909497,1107909497
한정판,한정판_기타,꽃단 라이언 펭귄라이언 인형,"8,500",SALE,중고나라 회원,False,True,제네시스u,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992601,1107992601
한정판,한정판_기타,새상품) 몽클레어 정품 한정판 노트.,"2,000",SALE,중고나라 회원,False,True,후야유니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990873,1107990873
한정판,한정판_기타,새상품 반값 MSCHF 미스치프 슈퍼노멀2 오렌지밀크 290,"110,000",SALE,본인인증 회원,False,True,ehmn****,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987612,1107987612
한정판,한정판_기타,모데카이저 피규어 팝니다,"80,000",ESCROW,중고나라 회원,True,True,에비비빅,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987011,1107987011
한정판,한정판_기타,칠성사이다 미니병 펩시 미니병 델몬트 미니병 판매합니다.,"25,000",SALE,본인인증 회원,False,True,핑크홀릭,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986132,1107986132
