카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가공식품_기타,런던베이글 택배 퀵 굿즈 포그리,"17,000",SALE,인증+안전거래 회원,False,True,liliiililill,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992582,1107992582
가공식품_기타,트윅스 미니스 초코바 500g * 2 (반택포),"19,700",ESCROW,중고나라 회원,True,True,녹색잎사귀,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992291,1107992291
가공식품_기타,락토부스터 낙산균,"30,000",ESCROW,본인인증 회원,True,True,sktepem,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992288,1107992288
가공식품_기타,"TWG, 마리아쥬프레르, NINA'S paris","12,345",SALE,중고나라 회원,False,True,미야비inFK,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992086,1107992086
가공식품_기타,바샤커피 21가지 종류 각종 드립백 12개 들이 박스 미개봉/ 홀빈(원두콩) 미개봉 / 25개들이 드립백,"12,345",SALE,중고나라 회원,False,True,미야비inFK,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992071,1107992071
가공식품_기타,바이부기,"23,000",SALE,본인인증 회원,False,True,aabbcc123,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991842,1107991842
가공식품_기타,(미개봉) 장영란 영라뉴 리셋 효소 유자맛 3박스,"71,000",SALE,본인인증 회원,False,True,illlilillilllililii,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991274,1107991274
가공식품_기타,매실판매합니다,"17,000",SALE,중고나라 회원,False,True,h1338,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991202,1107991202
가공식품_기타,"[모두 미개봉] 산삼 쾌활고 100년 산삼청 + 도라지청, 제누 스테비아 단백질 커피믹스, 맥심 모카골드 아메리카노, 무궁화 천녹정 VVIP 세트, 톨앤핏 활력 아미노알파, 임꺽정 철갑상어, 진도농협 구기자진액 골드","2,000",ESCROW,중고나라 회원,True,True,아이사늘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990879,1107990879
가공식품_기타,락티브 미오이노시톨 앤 콜린 4000,"120,000",SALE,중고나라 회원,False,True,산림공,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990723,1107990723
가공식품_기타,스타부르 고등어 스프레드 통조림  40g  20개 만원,"10,000",SALE,중고나라 회원,False,True,uhon,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990636,1107990636
