카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
가공식품_음료,라라올라 두박스 팝니다. (30개 한박스),"140,000",SALE,본인인증 회원,False,True,salramanda,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990807,1107990807
가공식품_음료,미개봉 닥터되너 실리골드 3박스 일괄,"90,000",SALE,중고나라 회원,False,True,거래해요sz,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989286,1107989286
가공식품_음료,네스프레소 버츄오 화이트초콜릿 스트로베리,"13,000",SALE,중고나라 회원,False,True,ygh,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987641,1107987641
가공식품_음료,[마가보감] - 울릉도 마가보감 43포 판매 <새제품> -,"139,000",SALE,본인인증 회원,False,True,각생각사,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981191,1107981191
가공식품_음료,돌체구스토 스타벅스 캡슐/일리 디카페인 카페라떼 스틱 /이디야 핸드드립 커피/칸타타 캔커피,"5,000",SALE,인증+안전거래 회원,False,True,노믹,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980785,1107980785
가공식품_음료,정관장 에브리타임 샷코어 판매 활기력은 서비스 입니다,"110,000",SALE,본인인증 회원,False,True,studioAhn DY,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980665,1107980665
가공식품_음료,[마가보감] - 울릉도 마가보감 1박스 판매 <새제품> -,"200,000",SALE,본인인증 회원,False,True,각생각사,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980307,1107980307
가공식품_음료,보헤미안 박이추 드립백커피 21입 / 반값택포 1.7만원,"17,000",SALE,본인인증 회원,False,True,IULUVu,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980081,1107980081
가공식품_음료,맥심 모카골드  커피믹스   210T + 170T,"47,000",SALE,중고나라 회원,False,True,그날을잊지말자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976636,1107976636
가공식품_음료,발렌타인 17년산 750ml 케이스,"95,000",SALE,중고나라 회원,False,True,lousd,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976163,1107976163
가공식품_음료,뉴케어 300TF 500ml 20개,"50,000",SALE,본인인증 회원,False,True,향기나는풀,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107972327,1107972327
가공식품_음료,스타벅스 비아 말차6500 아이스 커피5000,"5,000",SALE,인증+안전거래 회원,False,True,연두부요정,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107971022,1107971022
가공식품_음료,중국 고급차🍵 팔마차업 안계철관음 차 판매합니다,"55,000",SALE,본인인증 회원,False,True,연두색,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107969762,1107969762
가공식품_음료,뉴케어 구수한맛 200ml +고소한 검은깨맛 200ml 60개,"59,000",SOLD_OUT,인증+안전거래 회원,True,False,lyjo****,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965566,1107965566
가공식품_음료,티르티르 효소 2박스 택포43000원,"43,000",ESCROW,인증+안전거래 회원,True,True,M0moo,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107961357,1107961357
가공식품_음료,아이클하이,"9,000",SALE,본인인증 회원,False,True,해피한날에,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107959068,1107959068
가공식품_음료,정관장 활기력 30병,"50,000",SALE,본인인증 회원,False,True,프리소파,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107958093,1107958093
가공식품_음료,원용덕 산수유 의성 흑마늘,"55,000",SALE,중고나라 회원,False,True,다시올봄,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107958073,1107958073
가공식품_음료,단백질쉐이크 6개 인테이크 밀스 프로틴 쉐이크 단백질음료 단백질보충제,"2,000",RESERVATION_ESCROW,인증+안전거래 회원,True,True,6847612,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107955279,1107955279
가공식품_음료,보헤미안 박이추 로스터스 원두세트 (택배비 포함),"55,000",SOLD_OUT,본인인증 회원,False,False,마이클J팩맨,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107949276,1107949276
가공식품_음료,GNM 자연의품격 착즙 100% 유기농 레몬즙 레몬수 14포 2박스,"12,000",SALE,중고나라 회원,False,True,flqjgkdla123,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107947816,1107947816
가공식품_음료,스타벅스 아메리카노 비아 스틱커피 140개,"33,000",SALE,중고나라 회원,False,True,tctcgo,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107946620,1107946620
가공식품_음료,달마이어 프로도모 디카페인 500g 4개 커피 원두,"80,000",SALE,중고나라 회원,False,True,yeonhui04,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107938123,1107938123
가공식품_음료,TWG 크렘 카라멜 티 15개입 (유통기한 27년),"14,000",RESERVATION_ESCROW,인증+안전거래 회원,True,True,따뜻한식혜한잔,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107935321,1107935321
가공식품_음료,진도농협 발효 구기자진액 골드,"150,000",SALE,중고나라 회원,False,True,삼천세계피의바다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107905795,1107905795
가공식품_음료,키토핏 방탄커피 디카페인,"28,000",SALE,본인인증 회원,False,True,jiak,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107904125,1107904125
가공식품_음료,"바샤 카라멜로모닝 한박스 미개봉새상품 택포 29,000","29,000",SALE,인증+안전거래 회원,False,True,좋다요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107900449,1107900449
