카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
골프_골프채 풀세트,"(판매-가격인하) 핑 G400 8 아이언, 테일러메이드 M4 드라이버 외 조합 등 풀셑","700,000",SALE,중고나라 회원,False,True,쓰리페이퍼,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992031,1107992031
골프_골프채 풀세트,"(판매-가격인하) 타이틀리스트 백, 코브라 바이오셀 드라이버, 핑 PING G400 아이언 셑 등 풀세트","700,000",SALE,중고나라 회원,False,True,nemow,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990239,1107990239
골프_골프채 풀세트,"(판매-가격인하) 골프 풀셑 일본산 그랑프리 단조 아이언셑, 어뉴 레드 카모 스텐드백, 브리지스톤 투어B 드라이버 등 풀세트 판매","600,000",SALE,중고나라 회원,False,True,nemow,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990226,1107990226
골프_골프채 풀세트,"(판매-가격인하) 미즈노 스텐드 하프백, 핑 드라이버, 이데아 아이언, 이데아 4번 유틸, 이데아 퍼터 등 풀세트 판매","250,000",SALE,중고나라 회원,False,True,nemow,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990205,1107990205
골프_골프채 풀세트,"(여성용) 24년 젝시오13 보르도 드,우,유,7개 아이언 클럽풀세트 정품 새제품 급처!!!","2,150,000",ESCROW,◆셀러회원◆,True,True,gifttop,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989572,1107989572
골프_골프채 풀세트,혼마 골프채 풀세트 (S급 상태),"670,000",SALE,본인인증 회원,False,True,doui,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989388,1107989388
골프_골프채 풀세트,[판매]PRGR NABIA RED 유틸리티 금장4번 22도 중고골프채 팝니다,"190,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983756,1107983756
골프_골프채 풀세트,[판매]혼마 50주년 기념 5스타 중고 골프채 풀세트 순금장착 팝니다.,"21,800,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983702,1107983702
골프_골프채 풀세트,[판매]남성용 진짜 괜찮은 골프채 풀세트 공식정품 가방포함 팝니다,"820,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983547,1107983547
골프_골프채 풀세트,[판매]마 쯔 이 골프백 스탠드백 풀세트용 팝니다 특가88000,"88,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982648,1107982648
골프_골프채 풀세트,젝시오13 여성용 세트,"2,000",SALE,중고나라 회원,False,True,아방가드뜨,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982451,1107982451
골프_골프채 풀세트,[판매]혼마 아스포트 아이언과 혼마 골프백 카이저 드라이버 우드 퍼터 풀세트 팝니다.,"1,880,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982123,1107982123
골프_골프채 풀세트,[판매]여성용 골프채 풀세트 캐리어 골프백 미사용 패킹 그대로 핍니다,"820,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982107,1107982107
골프_골프채 풀세트,[판매]카이져 프리미엄 골프채 풀세트 신품급 중고 골프백 팝니다.,"1,950,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981978,1107981978
골프_골프채 풀세트,[판매]바퀴달린 고급 골프백 캐디백 보스톤백 세트 저렴하게 팝니다.,"330,000",ESCROW,◆셀러회원◆,True,True,OK골프,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981927,1107981927
골프_골프채 풀세트,나이키 어린이 주니어 골프채 팝니다....,"100,000",SALE,중고나라 회원,False,True,매직홀릭,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980820,1107980820
골프_골프채 풀세트,급매! 남성용 테일러메이드 골프채 풀세트!,"690,000",ESCROW,◆셀러회원◆,True,True,kht9796,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980359,1107980359
골프_골프채 풀세트,골프세트. 판매 무료배송 사용감외 하자없음. 인터넷 보세요,"200,000",SALE,본인인증 회원,False,True,모르면연락하지마세요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107975813,1107975813
골프_골프채 풀세트,남자골프채 풀세트팝니다,"380,000",ESCROW,인증+안전거래 회원,True,True,골모임,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107974178,1107974178
골프_골프채 풀세트,나이키 골프풀세트,"290,000",SALE,중고나라 회원,False,True,나름가수다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107972541,1107972541
골프_골프채 풀세트,[새제품]히토미 혼마 정품 2스타 여성 풀세트 팝니다,"1,650,000",ESCROW,본인인증 회원,True,True,씨쓰룰루,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107970844,1107970844
