카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
남성패션_기타,버버리 버킷햇 모자 팝니다,"90,000",SALE,본인인증 회원,False,True,도로지쇼,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992788,1107992788
남성패션_기타,새상픔) 몽클레어 정품 한정판 노트.,"2,000",SALE,중고나라 회원,False,True,후야유니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991582,1107991582
남성패션_기타,커플링,"55,000",SALE,중고나라 회원,False,True,해달월,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991171,1107991171
남성패션_기타,IAB STUDIO 알파인더스트리 저지 티셔츠,"85,000",RESERVATION,중고나라 회원,False,True,홍페퍼,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991098,1107991098
남성패션_기타,슈프림 지포라이터 판매,"100,000",SALE,중고나라 회원,False,True,홍페퍼,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990904,1107990904
남성패션_기타,젠틀몬스터 BBB 팝니다.,"310,000",SALE,본인인증 회원,False,True,리코RIKO,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990727,1107990727
남성패션_기타,더블알엘 모자,"170,000",ESCROW,인증+안전거래 회원,True,True,donghearn,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990584,1107990584
남성패션_기타,샘소나이트 서류가방,"70,000",SALE,중고나라 회원,False,True,여보세여135,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990283,1107990283
남성패션_기타,뉴에라 스냅백 2개 일괄,"55,000",ESCROW,중고나라 회원,True,True,hannaaa21,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989954,1107989954
남성패션_기타,"에비혼 슈혼, 사피르 느와르, 콜로닐 브러쉬, 우노 산양모 브러쉬 등 / 몽클레어 감마블루 패딩블레이저 / 빨질레리 정장 / 슈레이스, 끈 / 아르마니 언더웨어 드로즈, 넥타이바 / 몽블랑 마이스터스튁 164 볼펜","750,000",SALE,본인인증 회원,False,True,lliiiiiiiiiiiiiiiill,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989778,1107989778
남성패션_기타,리코 gr3x 카메라,"1,400,000",SALE,본인인증 회원,False,True,nothingg,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989675,1107989675
남성패션_기타,브랜드 남성 골프티 95사이즈,"40,000",SALE,본인인증 회원,False,True,minjir9,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988539,1107988539
