카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
도서_소설/문학,세계사톡 1~5권,"36,000",SALE,인증+안전거래 회원,False,True,만달곰,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993077,1107993077
도서_소설/문학,시드 노벨(던전 디펜스+가출 천사 육성 계약+0.0000001% 마왕님+탑클래스+악마공작 아즐란 전권),"40,000",SALE,본인인증 회원,False,True,모두좋다구용,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992609,1107992609
도서_소설/문학,채식주의자포함2권,"10,000",SALE,본인인증 회원,False,True,미니 초코비,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992362,1107992362
도서_소설/문학,다산책방) 박경리 토지 20권 (거의새책),"220,000",SALE,인증+안전거래 회원,False,True,곰가족의곰,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989752,1107989752
도서_소설/문학,마로니에북스) 박경리 토지 20권 + 1권 (거의새책),"170,000",SALE,인증+안전거래 회원,False,True,곰가족의곰,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989742,1107989742
도서_소설/문학,조아라 해리포터패러디 오멀린이시여 새책 판매해요,"80,000",SALE,본인인증 회원,False,True,노랭쩜반,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988532,1107988532
도서_소설/문학,로맨스소설 개인지 딜레탕트 미로 애장판 울빌 일본한정판 등,"12,345",SALE,본인인증 회원,False,True,라이언04,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988346,1107988346
도서_소설/문학,라노벨 라이트 노벨 소설 보석을 토하는 소녀 1~10권 완결 올초판 초판 판매합니다,"100,000",SALE,본인인증 회원,False,True,청회,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987732,1107987732
도서_소설/문학,데못죽)데뷔못하면 죽는병걸,"20,000",SALE,본인인증 회원,False,True,힘껏노력하자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987580,1107987580
도서_소설/문학,데못죽)데뷔못하면 죽는병걸림,"20,000",SALE,본인인증 회원,False,True,힘껏노력하자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987358,1107987358
도서_소설/문학,데못죽)데뷔못하면 죽는병 걸림,"20,000",SOLD_OUT,본인인증 회원,False,False,힘껏노력하자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987306,1107987306
도서_소설/문학,데못죽)데뷔못하면 죽는병 걸림,"20,000",SALE,본인인증 회원,False,True,힘껏노력하자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987163,1107987163
도서_소설/문학,"소장용 초판 올초판 절판 라노벨 라이트 노벨 소설책 총 34작품 판매합니다 (실지주, 그랑크레스트 전기, 화술사, 트집럽코, 보석을 토하는 소녀, 비비 레인, 돼지 공작, 이세계 주점 노부, f랭크 오라버니 등)","6,000",SALE,본인인증 회원,False,True,청회,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987156,1107987156
도서_소설/문학,부의 추월차선 중고책 팝니다.,"10,000",SALE,중고나라 회원,False,True,부릉부엉,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986314,1107986314
도서_소설/문학,로맨스소설 5권 권당3천원에 급처해요,"3,000",SOLD_OUT,본인인증 회원,False,False,노랭쩜반,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986223,1107986223
도서_소설/문학,[소설책] 디에센셜 / 검은 사슴 / 작별하지 않는다 / A가 X에게 / 꿈으로 갈게 / 사례 연구 / 한없이 투명에 가까운 블루 / 이상한 그림 / mymy / 럭키 / 원경 외,"23,000",SALE,중고나라 회원,False,True,0150am,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985713,1107985713
