카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_계절가전,"(판매)18평,23평,30평,40평 천장형 천정형 냉난방기 에어컨 중고 도매가로 판매","2,000",ESCROW,◆셀러회원◆,True,True,우주에어컨,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993308,1107993308
디지털 / 가전_계절가전,디디오랩 가열식 풀스텐 가습기 DHF-L55SW,"75,000",SALE,인증+안전거래 회원,False,True,이동슈슈카,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990556,1107990556
디지털 / 가전_계절가전,신일 29L 제습기 SDH-CH30EMT,"390,000",ESCROW,인증+안전거래 회원,True,True,OH옹,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990510,1107990510
디지털 / 가전_계절가전,캐리어 인버터 16평 스탠드형 에어컨 판매합니다 (CPV-AA163SA),"600,000",SALE,본인인증 회원,False,True,홍은동겉절이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990292,1107990292
디지털 / 가전_계절가전,LG 휘센 시스템 에어컨 냉난방 리모컨 AKB76038106 2개,"15,000",SALE,본인인증 회원,False,True,착니기,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989354,1107989354
디지털 / 가전_계절가전,"(판매)중고 엘지 삼성 캐리어 평형별 스탠드 냉난방기 에어컨(엘지,삼성,캐리어)초특가 판매","2,000",ESCROW,◆셀러회원◆,True,True,우주에어컨,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988160,1107988160
디지털 / 가전_계절가전,루메나 무소음 BLDC 유선 에어 써큘레이터 FAN GRANDE 2,"104,000",SOLD_OUT,인증+안전거래 회원,True,False,아기주전자,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988094,1107988094
디지털 / 가전_계절가전,벽걸이 인버터 에어컨,"400,000",SALE,중고나라 회원,False,True,스피드,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988035,1107988035
디지털 / 가전_계절가전,파워가드 창문로봇청소기,"100,000",ESCROW,중고나라 회원,True,True,sdvgff,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987618,1107987618
디지털 / 가전_계절가전,로디 멀티 캠핑 선풍기,"30,000",ESCROW,중고나라 회원,True,True,sdvgff,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987573,1107987573
디지털 / 가전_계절가전,캐리어 클라윈드 타워형 에어컨,"760,000",SALE,본인인증 회원,False,True,배안고프냐,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987568,1107987568
