카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_소형음향기기,에어팟3세대 낱개판매,"35,000",SALE,중고나라 회원,False,True,매너거래요어,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993791,1107993791
디지털 / 가전_소형음향기기,"동시녹음 장비 판매합니다. (ORCA OR-30, UWP-D21, AA충전지 팩)","2,000",SALE,중고나라 회원,False,True,dolly7,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993567,1107993567
디지털 / 가전_소형음향기기,젠하이저 HD-25 모니터링 헤드폰 판매합니다.,"100,000",SALE,본인인증 회원,False,True,Cherry17025,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993438,1107993438
디지털 / 가전_소형음향기기,보스 사운드링크3,"160,000",SOLD_OUT,본인인증 회원,False,False,picmulti,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993371,1107993371
디지털 / 가전_소형음향기기,갤럭시 버즈3 프로 실버,"120,000",SALE,인증+안전거래 회원,False,True,Minin30,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993278,1107993278
디지털 / 가전_소형음향기기,"JBL 롤랜드 바이노럴 마이크 CS-10EM 본품(유튜브, ASMR용)","50,000",SALE,본인인증 회원,False,True,deuxb,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992874,1107992874
디지털 / 가전_소형음향기기,파이널 final B3 이어폰 팝니다.,"270,000",SALE,인증+안전거래 회원,False,True,누구나22,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992871,1107992871
디지털 / 가전_소형음향기기,AIWA 워크맨 HS-J7 RED 색상 작동품 판매합니다.,"300,000",SALE,인증+안전거래 회원,False,True,cks1603,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992852,1107992852
디지털 / 가전_소형음향기기,갤럭시 버즈2 프로,"75,000",SALE,본인인증 회원,False,True,motley crue,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992670,1107992670
디지털 / 가전_소형음향기기,노이즈캔슬링 헤드폰 소니 WH-1000XM5 블랙 (풀박스),"190,000",SALE,본인인증 회원,False,True,dwdct8e,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992498,1107992498
디지털 / 가전_소형음향기기,에어팟 3세대 낱개판매,"35,000",SALE,중고나라 회원,False,True,사기아니니안심상점,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991880,1107991880
디지털 / 가전_소형음향기기,에어팟프로 2 상태좋음 c타입,"195,000",SALE,중고나라 회원,False,True,사기아니니안심상점,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991872,1107991872
디지털 / 가전_소형음향기기,KENWOOD 워크맨 CDP DPC-452 GREY 색상 정상작동품 판매합니다.,"30,000",SALE,인증+안전거래 회원,False,True,cks1603,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991810,1107991810
디지털 / 가전_소형음향기기,버즈 플러스 레드 왼쪽/오른쪽/충전기본체 판매합니다,"22,000",ESCROW,중고나라 회원,True,True,aakaka,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991578,1107991578
디지털 / 가전_소형음향기기,패턴브레이커 아크릴 헤드셋거치대,"15,000",ESCROW,인증+안전거래 회원,True,True,라일락2030,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991485,1107991485
디지털 / 가전_소형음향기기,샥즈 오픈핏2 t920 블루투스 이어폰,"205,000",ESCROW,인증+안전거래 회원,True,True,낙타잇,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991338,1107991338
디지털 / 가전_소형음향기기,[신품] 롱핀조명 무대조명(450w) 각대 핀조명 스포트라이트 스팟라이트 교회조명 무대조명 강당 강단 학예회 연극공연 행사조명,"400,000",ESCROW,본인인증 회원,True,True,스타MC,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991291,1107991291
디지털 / 가전_소형음향기기,샥즈 오픈핏 t910,"105,000",SOLD_OUT,본인인증 회원,False,False,아이퐁,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991005,1107991005
디지털 / 가전_소형음향기기,갤럭시 버즈2프로 화이트,"65,000",SALE,중고나라 회원,False,True,wlrq,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990814,1107990814
디지털 / 가전_소형음향기기,갤럭시 버즈2 프로 그라파이트,"65,000",SALE,중고나라 회원,False,True,wlrq,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990731,1107990731
디지털 / 가전_소형음향기기,Creative T40 Series II 스피커 팝니다.,"60,000",SALE,중고나라 회원,False,True,silensilent,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990637,1107990637
디지털 / 가전_소형음향기기,슈어 마이크 암 판매합니다,"2,000",SALE,본인인증 회원,False,True,삼손이광,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990470,1107990470
디지털 / 가전_소형음향기기,버즈 1 화이트 왼쪽/오른쪽/충전기본체 판매합니다,"19,000",ESCROW,중고나라 회원,True,True,aakaka,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990134,1107990134
디지털 / 가전_소형음향기기,심갓 EA1000 이어폰 신품급 판매,"165,000",SALE,본인인증 회원,False,True,개나리이꽃,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989823,1107989823
디지털 / 가전_소형음향기기,버즈2프로 용 아즈라 크리스탈 (ms) 삽니다,"10,000",SALE,본인인증 회원,False,True,빅토르카,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989792,1107989792
디지털 / 가전_소형음향기기,HEDDPHONE2 (헤뜨폰2) 판매합니다,"1,600,000",SALE,중고나라 회원,False,True,Ahure,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989714,1107989714
디지털 / 가전_소형음향기기,엔커 사운드코어 리버티3프로 무선이어폰,"70,000",SALE,본인인증 회원,False,True,skahn222,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989145,1107989145
디지털 / 가전_소형음향기기,"인터엠 inter M 파워 믹서 앰프 sfx-6230 , 무선리시버r21s","60,000",SALE,중고나라 회원,False,True,나는나는빌런이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989109,1107989109
디지털 / 가전_소형음향기기,지미스튜디오 R50 블루투스 스피커,"70,000",SALE,중고나라 회원,False,True,파라다이스P,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988498,1107988498
디지털 / 가전_소형음향기기,에어팟 맥스 (스페이스그레이) + 라이트닝 to 3.5 오디오 잭 + 헤드폰 거치대(블랙),"350,000",SALE,본인인증 회원,False,True,쇼핑수,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987962,1107987962
디지털 / 가전_소형음향기기,64audio u12t 판매합니다,"1,000,000",RESERVATION,인증+안전거래 회원,False,True,바람도리도니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987902,1107987902
디지털 / 가전_소형음향기기,에어팟 맥스(실버) + 라이트닝 to 3.5 오디오잭 + 헤드폰 거치대(화이트),"350,000",SALE,본인인증 회원,False,True,쇼핑수,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987696,1107987696
디지털 / 가전_소형음향기기,SONY 워크맨 CDP D-NE241 실버색상 정상작동품 판매합니다.,"35,000",SALE,인증+안전거래 회원,False,True,cks1603,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987384,1107987384
디지털 / 가전_소형음향기기,하이파이로즈 rs350,"230,000",SALE,본인인증 회원,False,True,후래쉬에어,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987203,1107987203
디지털 / 가전_소형음향기기,Bose SoundLink Mini2 스피커,"60,000",SOLD_OUT,본인인증 회원,False,False,dosikjw,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986489,1107986489
디지털 / 가전_소형음향기기,[판매완료] 구글 네스트 미니 1세대,"2,025",SOLD_OUT,중고나라 회원,True,False,ryrics,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985984,1107985984
디지털 / 가전_소형음향기기,레트로 라디오,"69,000",SALE,중고나라 회원,False,True,물품 팔아요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985922,1107985922
