카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
디지털 / 가전_음향가전,Furman 30 그래픽 이퀄라이져 Q-302,"50,000",SALE,중고나라 회원,False,True,dbadba1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993671,1107993671
디지털 / 가전_음향가전,카나레 뉴트릭 XLR GS-6 밸런스 케이블 판매합니다.,"50,000",SALE,본인인증 회원,False,True,Cherry17025,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993518,1107993518
디지털 / 가전_음향가전,마란츠 명기 1250 인티엠프. 신품 우드케이스 장착 저렴히 판매,"123,456",SALE,본인인증 회원,False,True,왕초,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993247,1107993247
디지털 / 가전_음향가전,폴크오디오 아트리움6 2대팝니다,"150,000",SALE,본인인증 회원,False,True,뀨야룽,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993092,1107993092
디지털 / 가전_음향가전,"웜오디오 wa-cx12 진공관 마이크 (가격인하 70만원, 상태 매우 좋음)","700,000",SALE,본인인증 회원,False,True,fluman99,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993068,1107993068
디지털 / 가전_음향가전,"르윗 LCT 840 팝니다. (가격인하 53만원, 상태 좋음)","530,000",SALE,본인인증 회원,False,True,fluman99,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993029,1107993029
디지털 / 가전_음향가전,텔레풍켄 TF11 마이크 팝니다. (정품 팝필터 포함),"870,000",SALE,본인인증 회원,False,True,fluman99,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992976,1107992976
디지털 / 가전_음향가전,"구스타드 x20프로, 진공관 앰프, 블루투스 리시버 판매합니다","200,000",SALE,본인인증 회원,False,True,mjs419,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992948,1107992948
디지털 / 가전_음향가전,ifi Neo iDSD 1세대 팝니다.,"420,000",SALE,인증+안전거래 회원,False,True,누구나22,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992946,1107992946
디지털 / 가전_음향가전,턴테이블 믹서 DJ 장비 풀 세트 [랩탑 스피커 등 일괄] 리룹 Reloop 누마크,"4,200,000",SALE,중고나라 회원,False,True,조잘조잘병아리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992769,1107992769
디지털 / 가전_음향가전,마이너팩토리 스탠드(KEF Ls50 전용)판매 합니다.,"180,000",ESCROW,인증+안전거래 회원,True,True,세상을살다보면,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992626,1107992626
디지털 / 가전_음향가전,JBL EON ONE MK2 충전식 버스킹 스피커 최저가 판매합니다,"3,000",ESCROW,◆셀러회원◆,True,True,JBLPRO2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992002,1107992002
디지털 / 가전_음향가전,JBL PRX935 15인치 3웨이 액티브 / 사운드킹 18인치 서브우퍼 액티브 스피커 셋트 판매합니다,"3,000",SALE,◆셀러회원◆,False,True,JBLPRO2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991966,1107991966
디지털 / 가전_음향가전,ES 201 파워케이블,"65,000",SOLD_OUT,본인인증 회원,False,False,jklee92,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991409,1107991409
디지털 / 가전_음향가전,"빈티지 오디오 (블루투스,lp턴테이블 가능)","1,500,000",ESCROW,중고나라 회원,True,True,쪼니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990400,1107990400
디지털 / 가전_음향가전,Cayin A-55TP LE 케인 진공관 앰프,"1,100,000",SALE,본인인증 회원,False,True,ehdehdrnfl,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990185,1107990185
디지털 / 가전_음향가전,HD681 모니터링 헤드폰,"25,000",ESCROW,본인인증 회원,True,True,Neoul S,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990073,1107990073
디지털 / 가전_음향가전,판테온 I (리퍼새상품),"1,400,000",ESCROW,중고나라 회원,True,True,씽어육,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989995,1107989995
디지털 / 가전_음향가전,2채널  pc  스피커   판매  합니다.,"60,000",SALE,본인인증 회원,False,True,Saajtjoo486,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989991,1107989991
디지털 / 가전_음향가전,슈어 ULXP 벨트팩 송신기 판매,"150,000",ESCROW,본인인증 회원,True,True,pmibear,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989970,1107989970
디지털 / 가전_음향가전,Antelope Amari 안텔롭 아마리 컨버터,"3,300,000",SALE,인증+안전거래 회원,False,True,NMP,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989932,1107989932
디지털 / 가전_음향가전,프로젝트오디오 메탈리카 한정판 턴테이블,"1,400,000",SALE,본인인증 회원,False,True,ehdehdrnfl,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989888,1107989888
디지털 / 가전_음향가전,스파르탄큐 110 오디오 인터페이스,"120,000",ESCROW,본인인증 회원,True,True,Neoul S,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989770,1107989770
디지털 / 가전_음향가전,PMC IB2 SE 스피커용 스탠드 미사용 신품 판매합니다.,"600,000",SALE,본인인증 회원,False,True,Spellbound5,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989541,1107989541
디지털 / 가전_음향가전,오디오테크니카 60주년 한정판 AT-LP 2022 + Cambridge Audio (캠브리지오디오) ALVA DUO 포노앰프,"2,500,000",SALE,중고나라 회원,False,True,ballybrae,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989497,1107989497
디지털 / 가전_음향가전,오야이데 mts-6 110v  멀티탭,"250,000",SOLD_OUT,본인인증 회원,False,False,각시붕어,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989452,1107989452
디지털 / 가전_음향가전,오디오키드 재즈 스피커 판매합니다.,"250,000",SALE,본인인증 회원,False,True,Spellbound5,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989419,1107989419
디지털 / 가전_음향가전,야마하 AG03 오디오 인터페이스,"100,000",ESCROW,본인인증 회원,True,True,Neoul S,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989103,1107989103
디지털 / 가전_음향가전,아스텔엔컨 sp3000t 팝니다,"2,000,000",ESCROW,인증+안전거래 회원,True,True,오너쇼리헤,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989101,1107989101
디지털 / 가전_음향가전,야마하 mg124c 믹서,"110,000",SALE,본인인증 회원,False,True,알았어 정확합니다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989036,1107989036
디지털 / 가전_음향가전,엘가토 WAVE XLR 오인페 판매합니다,"110,000",SALE,중고나라 회원,False,True,thebrave,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988975,1107988975
디지털 / 가전_음향가전,인켈 테마 cdp(민트급) 판매,"550,000",SALE,중고나라 회원,False,True,용팔이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988967,1107988967
디지털 / 가전_음향가전,(새상품급)바워스앤월킨스 Bowers&Wilkins 더 뉴 제플린 블루투스 스피커 펄그레이 B&W,"950,000",SALE,본인인증 회원,False,True,wotkd6402,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988829,1107988829
디지털 / 가전_음향가전,신품급 px8 팝니다 (2/22구매),"760,000",SALE,본인인증 회원,False,True,wotkd6402,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988817,1107988817
디지털 / 가전_음향가전,mp3(택포),"20,000",SALE,본인인증 회원,False,True,랄랄라이야기,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988748,1107988748
디지털 / 가전_음향가전,텔레풍켄 5430mx 리시버 판매 합니다.,"450,000",ESCROW,인증+안전거래 회원,True,True,천천히 만든 사진,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988551,1107988551
