카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
명품_여성신발,마놀로블라닉 한기시 네이비 35사이즈 5cm,"550,000",SALE,인증+안전거래 회원,False,True,inspiration,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993706,1107993706
명품_여성신발,"듀엘 운동화 235(구찌,락포드,나이키,지미추,키높이,프라다로퍼,구찌펌퍼스,자라 발레리나)","40,000",ESCROW,인증+안전거래 회원,True,True,그는당신에게 반함,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992680,1107992680
명품_여성신발,루이비통/보티첼리/미소페/가이거/락포트/고세/나이키/아디다스 등 10켤레,"2,222",SALE,본인인증 회원,False,True,cjy9910,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992246,1107992246
명품_여성신발,에르메스 오란 골드 36사이즈,"860,000",SOLD_OUT,본인인증 회원,False,False,헬로헬로1212,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990999,1107990999
명품_여성신발,샤넬 발레리나 슈즈 레드컬러,"640,000",SALE,중고나라 회원,False,True,grasssss,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990938,1107990938
명품_여성신발,에르메스 로얄 로퍼 화이트 은장 (35 1/2),"1,060,000",SALE,중고나라 회원,False,True,grasssss,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990903,1107990903
명품_여성신발,페레가모 바라보우 펌프스 (240/새상품),"490,000",SALE,중고나라 회원,False,True,죽향와우딸기,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990740,1107990740
명품_여성신발,로저비비에 큐빅샌들 슬리퍼36,"399,000",ESCROW,인증+안전거래 회원,True,True,꾸름아,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990664,1107990664
명품_여성신발,Apc 아식스 젤카야노 14 235,"180,000",SALE,중고나라 회원,False,True,myhcy2211,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990126,1107990126
명품_여성신발,(택배비포함) 톰브라운 메리제인,"219,000",SALE,본인인증 회원,False,True,vhyeone,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987636,1107987636
명품_여성신발,정품 여성 루이비통 샌들36(230-볼좁은235mm),"735,000",SALE,중고나라 회원,False,True,개인명품판매,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987034,1107987034
명품_여성신발,헌터 플레이 쇼트 레인 부츠 장화 블랙 WFS2020RMA-BLK 새제품 풀박스,"85,000",SALE,중고나라 회원,False,True,나이스버디3211,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985959,1107985959
명품_여성신발,MLB 뉴욕양키스 엠엘비 뮬다이아모노그램 스니커즈230 슬립온230 230사이즈 사이즈230 운동화230 엠엘비신발 MLB신발 MLB스니커즈 MLB슬립온 엠엘비슬립온 엠엘비스니커즈 슬립온225 스니커즈225 단화230,"35,000",SALE,중고나라 회원,False,True,eclipseUp,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984172,1107984172
명품_여성신발,르메르 더비 브라운 37,"420,000",SALE,본인인증 회원,False,True,sj426,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984131,1107984131
명품_여성신발,[정품] GUCCI 구찌 올리브그린 토오픈 구두 하이힐 펌프스,"40,000",ESCROW,인증+안전거래 회원,True,True,비우려고 했는데,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981911,1107981911
명품_여성신발,구찌 여성 블로퍼,"210,000",ESCROW,인증+안전거래 회원,True,True,조자룡,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981402,1107981402
명품_여성신발,뉴발란스 / made in UK 991 더스티블루 230,"2,525",SALE,중고나라 회원,False,True,스캔들사,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980461,1107980461
명품_여성신발,샤넬 오픈토슈즈 35.5,"180,000",SALE,본인인증 회원,False,True,ansiansi2000,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979946,1107979946
명품_여성신발,구찌 리본 페이던트 펌프스 힐 구두 새상품 240,"360,000",SALE,본인인증 회원,False,True,아릉이와소세지,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979767,1107979767
