카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미용_기타 미용용품,(최상)보다나 물결고데기 40mm 프리볼트,"56,000",ESCROW,인증+안전거래 회원,True,True,히힣릴,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993840,1107993840
미용_기타 미용용품,(최상)보다나 빗고데기 힛브러쉬 프리볼트,"33,000",ESCROW,인증+안전거래 회원,True,True,히힣릴,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993805,1107993805
미용_기타 미용용품,보다나 물결고데기 40mm 프리볼트,"56,000",ESCROW,인증+안전거래 회원,True,True,히힣릴,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993771,1107993771
미용_기타 미용용품,에스테프로 (Esthepro) 피부과 선크림 / 썬크림,"12,000",SALE,본인인증 회원,False,True,yongza,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991764,1107991764
미용_기타 미용용품,제로파우더,"23,000",SALE,본인인증 회원,False,True,aabbcc123,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991584,1107991584
미용_기타 미용용품,메디큐브 부스터 프로/핑크/새컨디션,"175,000",SOLD_OUT,본인인증 회원,True,False,달콩상점,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990802,1107990802
미용_기타 미용용품,"뉴스킨 tr90 쉐이크 , 점프스타트 팝니다","35,000",SALE,중고나라 회원,False,True,ilovecse,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990299,1107990299
미용_기타 미용용품,아모스 하드스프레이,"10,000",SALE,본인인증 회원,False,True,뭉탁ㅇ,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988871,1107988871
미용_기타 미용용품,브라운 시리즈9 전기면도기,"120,000",SALE,중고나라 회원,False,True,리우쏭,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988409,1107988409
미용_기타 미용용품,디올 리비에라 파우치,"2,000",SALE,본인인증 회원,False,True,단호박1213,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988267,1107988267
미용_기타 미용용품,"딥티크, 메종마르지엘라 향수 파우치","2,000",SALE,본인인증 회원,False,True,단호박1213,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988200,1107988200
미용_기타 미용용품,헤어커버스틱 제이투엠투 2개 일괄판매,"15,000",SALE,중고나라 회원,False,True,ABC초코초코초코,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988009,1107988009
미용_기타 미용용품,얼라인랩 리프핏아이,"35,000",SALE,중고나라 회원,False,True,파라다이스70,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987882,1107987882
미용_기타 미용용품,도테라,"2,500",SALE,중고나라 회원,False,True,디디007,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987151,1107987151
미용_기타 미용용품,네일 국가고시 재료 판매합니다.,"500,000",SALE,본인인증 회원,False,True,inkyeon,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986265,1107986265
