카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
미용_여성 기초화장품,무배~~기초세트 새상품+올하심 덤+선물,"50,000",SALE,중고나라 회원,False,True,사기쳇 그만보내세요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993607,1107993607
미용_여성 기초화장품,숄리 바이오레진 로션(토너) 붓기토너,"55,000",SALE,인증+안전거래 회원,False,True,모카커피잔,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993604,1107993604
미용_여성 기초화장품,일괄)헤라 에이지 어웨이 에스테틱 BX 에멀젼+워터,"60,000",SALE,본인인증 회원,False,True,iliilililiili,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993364,1107993364
미용_여성 기초화장품,슈라맥 비비크림,"30,000",SALE,인증+안전거래 회원,False,True,모카커피잔,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993254,1107993254
미용_여성 기초화장품,헤라 시그니아 골드 호일  마스크팩 3장,"6,000",SALE,중고나라 회원,False,True,뾰수니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992961,1107992961
미용_여성 기초화장품,아모레퍼시픽 엔자임 클렌징 폼,"39,000",SALE,인증+안전거래 회원,False,True,모카커피잔,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992935,1107992935
미용_여성 기초화장품,아이오페 레티놀 세럼 인 겔 마스크 4매,"12,000",SALE,인증+안전거래 회원,False,True,부바턴업,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992254,1107992254
미용_여성 기초화장품,브이티 리들샷 100&300,"55,000",SALE,본인인증 회원,False,True,펑멍이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991814,1107991814
미용_여성 기초화장품,(에눌가능) 메즈클라 스킨케어 멜팅 클렌징 밤 & 프롬더스킨 클렌징 폼 & 슈링크 리프팅 밴드 2종,"28,000",SALE,본인인증 회원,False,True,펑멍이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991793,1107991793
미용_여성 기초화장품,아이오페 슈퍼바이탈 기초2종 스페셜 기프트세트,"75,000",SALE,본인인증 회원,False,True,복댕튼튼맘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991619,1107991619
미용_여성 기초화장품,새상품) 이니스프리 블랙티 크림,"12,000",SALE,본인인증 회원,False,True,애플민트0090,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991372,1107991372
미용_여성 기초화장품,블랑두부 란제리 쿠션 21호 리필!! 새제품 판매합니다,"10,000",SALE,본인인증 회원,False,True,ABKBNB,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991368,1107991368
미용_여성 기초화장품,샤넬 이드라 미스트 새제품 판매합니다,"82,000",SALE,본인인증 회원,False,True,ABKBNB,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991352,1107991352
미용_여성 기초화장품,"새제품 아이소이 잡티세럼20ml2개+아이패치

​

​

​

5만원

​

​

​

​

​

​

​","50,000",SALE,본인인증 회원,False,True,떼기,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991340,1107991340
미용_여성 기초화장품,택포/에스트라 에이시카 365 흔적진정세럼 40ml,"23,000",SALE,본인인증 회원,False,True,복댕튼튼맘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991333,1107991333
미용_여성 기초화장품,코르테 마스크핏쿠션,"21,000",SALE,본인인증 회원,False,True,엽기토깽영,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990371,1107990371
미용_여성 기초화장품,에르쯔틴 실트크림 50g×2개,"30,000",SALE,본인인증 회원,False,True,엽기토깽영,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990346,1107990346
미용_여성 기초화장품,보떼덤 엘리시어에센스,"70,000",SALE,본인인증 회원,False,True,렝뿌,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990266,1107990266
미용_여성 기초화장품,VT PDRN 리들샷 100 & 크림,"40,000",SALE,본인인증 회원,False,True,앙이12,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990261,1107990261
