카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
반려동물_생활/놀이 용품,메탈라이트 리얼2 1200 팝니다,"120,000",SALE,중고나라 회원,False,True,핳핫핫,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987058,1107987058
반려동물_생활/놀이 용품,QQ1500 외부여과기 무소음급,"100,000",SALE,본인인증 회원,False,True,슬레진저a,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982289,1107982289
반려동물_생활/놀이 용품,ADA외부여과기 MC-816 무소음급,"90,000",SALE,본인인증 회원,False,True,슬레진저a,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982265,1107982265
반려동물_생활/놀이 용품,QQ1200외부여과기 여과제풀,"90,000",SALE,본인인증 회원,False,True,슬레진저a,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982209,1107982209
반려동물_생활/놀이 용품,QQ1200외부여과기 여과제풀,"90,000",SALE,본인인증 회원,False,True,슬레진저a,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982180,1107982180
반려동물_생활/놀이 용품,파이시즈PZ5-600B 2자 조명,"45,000",SALE,중고나라 회원,False,True,1 2 3 시작,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980329,1107980329
반려동물_생활/놀이 용품,고양이투명테이블,"20,000",SALE,본인인증 회원,False,True,취미가 다양한사람,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980238,1107980238
반려동물_생활/놀이 용품,에그하우스 반려동물집,"10,000",SALE,본인인증 회원,False,True,Romantic CAT 낭만냥,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979359,1107979359
반려동물_생활/놀이 용품,가입추천인 1분컷 (꽁돈),"80,000",SALE,중고나라 회원,False,True,도댕어,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107975697,1107975697
반려동물_생활/놀이 용품,강아지 미니사이즈 작은 울타리 팝니다.,"20,000",SALE,중고나라 회원,False,True,슈레더123,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973591,1107973591
반려동물_생활/놀이 용품,애견 방음부스 방음하우스 판매합니다,"550,000",SALE,중고나라 회원,False,True,카네기1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107971649,1107971649
반려동물_생활/놀이 용품,모넬로 원목 캣타워 캣워크 대형,"55,000",SALE,본인인증 회원,False,True,돈빼고 살모으는 사람,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107969802,1107969802
