카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
반려동물_외출/이동 용품,스미다펫 확장형 울타리,"150,000",SALE,중고나라 회원,False,True,키다리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992087,1107992087
반려동물_외출/이동 용품,펫츠랜드 반려동물 스너그 슬링백 + 이너쿠션 세트 팝니다(M사이즈) 팝니다,"28,000",SALE,본인인증 회원,False,True,multi69,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983637,1107983637
반려동물_외출/이동 용품,니드포펫 녹스기어 라이트하운드 LED 하네스 M사이즈,"54,000",SALE,중고나라 회원,False,True,콩2콩콩,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981525,1107981525
반려동물_외출/이동 용품,강아지 하네스,"5,000",SALE,인증+안전거래 회원,False,True,kel2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981435,1107981435
반려동물_외출/이동 용품,쏘오옥 프론트백,"290,000",SALE,중고나라 회원,False,True,qhdekflrms,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107975789,1107975789
반려동물_외출/이동 용품,펫테일 바리스타 강아지 카시트L,"70,000",ESCROW,본인인증 회원,True,True,쏨쏨세리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965459,1107965459
반려동물_외출/이동 용품,어부바 가방,"60,000",SALE,본인인증 회원,False,True,gahwi100,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965325,1107965325
반려동물_외출/이동 용품,바비아나 강아지 이동가방 s+,"80,000",SALE,중고나라 회원,False,True,쿄제,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107963340,1107963340
반려동물_외출/이동 용품,반려동물이동캐리어,"15,000",SALE,중고나라 회원,False,True,maximum222,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107960686,1107960686
반려동물_외출/이동 용품,하네스 스위스 큘리  가격 내림,"30,000",SALE,본인인증 회원,False,True,olddog,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107958662,1107958662
반려동물_외출/이동 용품,파운드마이애니멀 리드줄 사이즈 M,"50,000",SALE,본인인증 회원,False,True,fbd6196,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107958603,1107958603
반려동물_외출/이동 용품,강아지 애견 기저귀 매너밸트 19개,"4,000",ESCROW,중고나라 회원,True,True,싹다내꼬,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107955527,1107955527
반려동물_외출/이동 용품,서루슬링백L,"150,000",SALE,중고나라 회원,False,True,a160608,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107944079,1107944079
반려동물_외출/이동 용품,청호나이스,"17,000",SALE,본인인증 회원,False,True,무진깨비,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107940098,1107940098
반려동물_외출/이동 용품,겟백 트래블러 슬링백 쁘띠,"230,000",SALE,중고나라 회원,False,True,달콩알콩새콩,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107939902,1107939902
반려동물_외출/이동 용품,가든오브에덴 루이독,"30,000",SALE,중고나라 회원,False,True,달콩알콩새콩,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107939875,1107939875
반려동물_외출/이동 용품,아이캔더 이동가방 (라지싸이즈),"80,000",SALE,본인인증 회원,False,True,younmeme,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107935614,1107935614
반려동물_외출/이동 용품,피콜로카네 유모차 무선 선풍기,"15,000",SALE,본인인증 회원,False,True,호기심까까,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107933302,1107933302
반려동물_외출/이동 용품,허츠앤베이 옐로우 쿨조끼 (2XL),"20,000",SALE,본인인증 회원,False,True,호기심까까,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107933292,1107933292
반려동물_외출/이동 용품,퍼피엔젤 올인원 핑크 레인 코트 (2XL),"40,000",SALE,본인인증 회원,False,True,호기심까까,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107933093,1107933093
반려동물_외출/이동 용품,반려견 카시트 두그루 강아지 콘솔 카시트,"60,000",SALE,인증+안전거래 회원,False,True,완전초보09,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107930137,1107930137
반려동물_외출/이동 용품,모드니펫 반려견 이동가방 판매합니다.,"30,000",SALE,중고나라 회원,False,True,똥그리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107930054,1107930054
반려동물_외출/이동 용품,"바니푸리 강아지카시트-디엔코
강아지 카시트 팝니다!","160,000",SALE,중고나라 회원,False,True,강서구 거래,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107926767,1107926767
