카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
산업용품_드릴/전동공구,[판매] 페스툴 5.0A 블루투스배터리 2개 팝니다,"200,000",SALE,본인인증 회원,False,True,모듈수집가,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992763,1107992763
산업용품_드릴/전동공구,밀워키 충전네일러 M12 FCN18GS-202X 2.0Ah 2배터리,"390,000",SALE,중고나라 회원,False,True,zcvvnnm,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992139,1107992139
산업용품_드릴/전동공구,DHR183RTE 18V 5.0Ah 2팩 포함 판매합니다.,"350,000",SALE,중고나라 회원,False,True,다다익숀,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990206,1107990206
산업용품_드릴/전동공구,3M 5인치 큐비트론 47420 절단석 미사용 새제품 판매,"80,000",ESCROW,본인인증 회원,True,True,치킨이최고여,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989729,1107989729
산업용품_드릴/전동공구,(가격내림) 디월트(Dewalt) DCB104 대체품 20V 4ch 멀티 충전기 판매합니다,"35,000",ESCROW,중고나라 회원,True,True,다비,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988192,1107988192
산업용품_드릴/전동공구,보쉬 GDX18V-200 임팩 새상품,"155,000",RESERVATION,본인인증 회원,False,True,달에걸린별,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987616,1107987616
산업용품_드릴/전동공구,마끼다 충전드릴세트,"290,000",SALE,중고나라 회원,False,True,cain1223,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987452,1107987452
산업용품_드릴/전동공구,산업용 임시보관창고 농막용 간이창고 차고용,"290,000",SALE,◆셀러회원◆,False,True,미스터 랙,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986315,1107986315
산업용품_드릴/전동공구,무선 전동드라이버 전동드릴 47pcs 세트 1.5 팝니다,"15,000",ESCROW,인증+안전거래 회원,True,True,에로러브,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985890,1107985890
산업용품_드릴/전동공구,밀워키 건식코어 DD 2-160XE 풀박스 새상품,"530,000",SALE,본인인증 회원,False,True,전지전능인,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984886,1107984886
산업용품_드릴/전동공구,미개봉 밀워키 배터리 M18 HB8 싸게 팝니다,"125,000",SALE,본인인증 회원,False,True,전지전능인,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984854,1107984854
산업용품_드릴/전동공구,밀워키 컷오프쏘 9인치 벽채절단기 충전식 m18 fcos230 몸체,"430,000",SALE,본인인증 회원,False,True,전지전능인,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984832,1107984832
산업용품_드릴/전동공구,밀워키 기리세트 밀워키 드릴 드라이버 비트 23P,"55,000",SALE,인증+안전거래 회원,False,True,iKeeyy,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983790,1107983790
산업용품_드릴/전동공구,디월트 임팩세트 DCF850N 세트,"380,000",SALE,인증+안전거래 회원,False,True,iKeeyy,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983769,1107983769
산업용품_드릴/전동공구,기리 54개 일괄 판매해요,"155,000",ESCROW,인증+안전거래 회원,True,True,냉면소바,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983708,1107983708
산업용품_드릴/전동공구,속도 조절 가능한  디월트 전기 컷쏘우 풀셋 특A급 팝니다  톱날 9개 포함,"100,000",ESCROW,인증+안전거래 회원,True,True,꼼지의일상,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983447,1107983447
산업용품_드릴/전동공구,디월트 컷소 판매해요,"100,000",ESCROW,인증+안전거래 회원,True,True,냉면소바,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983279,1107983279
산업용품_드릴/전동공구,디월트 충전드릴 세트 판매해요,"140,000",ESCROW,인증+안전거래 회원,True,True,냉면소바,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983057,1107983057
산업용품_드릴/전동공구,계양 20V헤머드릴,"220,000",SALE,본인인증 회원,False,True,wlgns8930,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982496,1107982496
