카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
산업용품_측정/계측/레벨,ThermoPro 온습도계 팝니다.,"6,000",SALE,인증+안전거래 회원,False,True,fdphvezt,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992714,1107992714
산업용품_측정/계측/레벨,산소농도측정기 SP2nd 새제품급 (배터리만 갈면됨),"40,000",RESERVATION,본인인증 회원,False,True,동글쥬스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991955,1107991955
산업용품_측정/계측/레벨,카스 앤드 소형전자저울,"30,000",SALE,중고나라 회원,False,True,hsgotind,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987860,1107987860
산업용품_측정/계측/레벨,초음파 유량계 PT878 초음파유량계 116센서 A급 / 고온센서,"6,200,000",SALE,본인인증 회원,False,True,파란하늘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981772,1107981772
산업용품_측정/계측/레벨,미츠토요 다이얼 두께 게이지 7301,"30,000",SALE,본인인증 회원,False,True,YS107619,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976135,1107976135
산업용품_측정/계측/레벨,",,TE-W300 DALI 열 화상 카메라","2,000",SALE,본인인증 회원,False,True,rlanswh,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107974365,1107974365
산업용품_측정/계측/레벨,고압 차동 오실로스코프 프루브 Micsig DP10013 High Voltage Differential Probe,"200,000",SALE,중고나라 회원,False,True,모모987,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107972270,1107972270
산업용품_측정/계측/레벨,"HP 54610B 오실로스코프 500MHz

​","127,000",SALE,중고나라 회원,False,True,hipbo,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107971263,1107971263
산업용품_측정/계측/레벨,SOKKIA 소키아 데오드라이트 DT610S / C32 오토레벨기 판매,"1,000,000",SALE,본인인증 회원,False,True,슈퍼세븐,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107970463,1107970463
산업용품_측정/계측/레벨,전기저항측정기Jr-3000.전위차측정기 Jc-2000급처해요,"200,000",SALE,중고나라 회원,False,True,대전가이즈,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107969660,1107969660
산업용품_측정/계측/레벨,최저가 슈퍼랙 조립식 창고 선반 앵글선반 철제선반 틈새선반 부품선반 중량랙 경량랙,"45,000",ESCROW,◆셀러회원◆,True,True,슈퍼랙,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107969608,1107969608
산업용품_측정/계측/레벨,디월트 거리측정기 dw055pl 두개 판매합니다,"54,000",SALE,본인인증 회원,False,True,카이져원,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965744,1107965744
산업용품_측정/계측/레벨,유전자 증폭 (PCR) Applied Biosystems Veriti Thermal Cycler,"12,345",SALE,중고나라 회원,False,True,tjdtnrdladla,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965339,1107965339
산업용품_측정/계측/레벨,미스토요 마그네틱 스탠드 7019B 다이얼 인디게이터 513-444A 판매합니다,"250,000",SALE,인증+안전거래 회원,False,True,오늘도열심히해,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107963808,1107963808
산업용품_측정/계측/레벨,[중고] 초음파 유량계 PT878 초음파유량계 402센서 A급 / 소형 센서탑재,"8,000,000",SALE,본인인증 회원,False,True,파란하늘,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107963164,1107963164
산업용품_측정/계측/레벨,소키아 레이저측장기 간섭계 악세서리,"2,000",SALE,중고나라 회원,False,True,1degree,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107960233,1107960233
산업용품_측정/계측/레벨,접지저항계 요코가와  (YOKOGAWA)3235,"30,000",SALE,중고나라 회원,False,True,앨비스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107958294,1107958294
산업용품_측정/계측/레벨,폐액통 안전 케이스 wbsc,"11,111",SALE,본인인증 회원,False,True,FUTURE SELF,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107956192,1107956192
산업용품_측정/계측/레벨,휴대용 디지털 멀티메타 GDM397 3만5천원에 팝니다,"35,000",SALE,중고나라 회원,False,True,cj022892,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107952518,1107952518
산업용품_측정/계측/레벨,"국산저울 CAS저울(2톤), 지테크저울(1.5톤) 새상품 판매합니다.","950,000",SALE,중고나라 회원,False,True,상추아빠v,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107952018,1107952018
산업용품_측정/계측/레벨,"Flexitrace 비금속탐지기, 손드 판매합니다.","1,500,000",SALE,본인인증 회원,False,True,팀앤팀,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107948537,1107948537
산업용품_측정/계측/레벨,광계측기/KONICA MINOLTA 휘도계 LS-110,"900,000",SALE,중고나라 회원,False,True,풍삼정,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107947374,1107947374
