카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
상품권/티켓/쿠폰_모바일상품권/쿠폰,임시,"16,000",ESCROW,인증+안전거래 회원,True,True,vono1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993846,1107993846
상품권/티켓/쿠폰_모바일상품권/쿠폰,<최저가/빠른거래>스타벅스 프리퀀시 완성본 팝니다^^(10세트 가능) 밤늦게도 거래가능!!,"39,000",SOLD_OUT,본인인증 회원,False,False,스벅스buck,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993842,1107993842
상품권/티켓/쿠폰_모바일상품권/쿠폰,스피드 메이트 엔진오일 3만원쿠폰(부가서비스할인도가능),"5,000",SALE,본인인증 회원,False,True,중나중나팜,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993816,1107993816
상품권/티켓/쿠폰_모바일상품권/쿠폰,"<월드타워,코엑스> 하이파이브 무대인사 14일 3주차 A열부터","16,000",ESCROW,인증+안전거래 회원,True,True,vono1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993815,1107993815
상품권/티켓/쿠폰_모바일상품권/쿠폰,유튜브 프리미엄 한달마다 3천원씩 결제(후불로 모십니다),"2,000",SALE,중고나라 회원,False,True,jason936201,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993807,1107993807
상품권/티켓/쿠폰_모바일상품권/쿠폰,366일 무대인사 아카소에이지 내한 코엑스 13일 금,"18,000",ESCROW,인증+안전거래 회원,True,True,vono1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993789,1107993789
상품권/티켓/쿠폰_모바일상품권/쿠폰,"<월드타워, 코엑스> 태양의노래 무대인사","15,000",ESCROW,인증+안전거래 회원,True,True,vono1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993762,1107993762
상품권/티켓/쿠폰_모바일상품권/쿠폰,스타벅스 프리퀀시,"2,500",SALE,중고나라 회원,False,True,곶감말랭이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993740,1107993740
상품권/티켓/쿠폰_모바일상품권/쿠폰,프리퀀시 일반 2장,"2,300",SALE,인증+안전거래 회원,False,True,Minin30,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993735,1107993735
상품권/티켓/쿠폰_모바일상품권/쿠폰,skt 데이터 2기가 2GB,"3,700",SALE,본인인증 회원,False,True,중나중나팜,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993695,1107993695
상품권/티켓/쿠폰_모바일상품권/쿠폰,버거킹 와퍼+불고기와퍼+크리미모짜볼5조각+콜라R2 36%할인쿠폰 천원,"2,000",ESCROW,본인인증 회원,True,True,알라고망,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993656,1107993656
상품권/티켓/쿠폰_모바일상품권/쿠폰,야놀자나 여기어때 70만전후 삽니다,"700,000",SALE,중고나라 회원,False,True,sfjcya19,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993622,1107993622
상품권/티켓/쿠폰_모바일상품권/쿠폰,던킨 카카오 후로스티드 도넛 1+1쿠폰 400원,"2,000",ESCROW,본인인증 회원,True,True,알라고망,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993611,1107993611
상품권/티켓/쿠폰_모바일상품권/쿠폰,"매입 (중나셀러회원) / [정책,미납] 신세계 현금화*소액-정보,컨텐츠 이용료*결제 상품권 매입*문화상품권*컬쳐랜드*T머니*구글이용료*롯데*이마트 24시/핸드폰/휴대폰/알뜰폰/리니지M","3,333,333",SALE,◆셀러회원◆,False,True,믿고맡기는려리티켓,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993602,1107993602
상품권/티켓/쿠폰_모바일상품권/쿠폰,"빕스(VIPS) 샐러드바 2인 식사권 - 최대 25% 할인 - 평일런치,평일디너,주말,공휴일","59,600",SALE,중고나라 회원,False,True,nallanaa,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993587,1107993587
상품권/티켓/쿠폰_모바일상품권/쿠폰,애슐리 (이랜드이츠) 애슐리캐시 기프 트카드 10만원권,"96,000",SALE,중고나라 회원,False,True,훤니23,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993478,1107993478
상품권/티켓/쿠폰_모바일상품권/쿠폰,"[매입]햇살론,하이브리드,체크,신용,법인,백화점카드,기프트카드,경남기프트카드,부산기프트카드,신한기프트카드,상품권매입,코스트코,금강제화,ABC마트,맥도날드,롯데리아,편의점,금액권,하나투어,모두투어상품권","97,500",ESCROW,◆셀러회원◆,True,True,티켓아울렛빠름,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993442,1107993442
상품권/티켓/쿠폰_모바일상품권/쿠폰,"최저가 판매 / 투썸플레이스 피치생, 망고생 17% / 뚜레쥬르 34,000원 케이크 18% / 커피빈 1만원권, 3만원권 14% / 여러장 거래 가능","8,600",SALE,중고나라 회원,False,True,닐니니만보,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993426,1107993426
상품권/티켓/쿠폰_모바일상품권/쿠폰,배스킨라빈스 쿠폰,"13,000",SALE,중고나라 회원,False,True,고라아아,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993244,1107993244
상품권/티켓/쿠폰_모바일상품권/쿠폰,티빙 1일 하루 24시간 대여 700원,"2,222",SALE,본인인증 회원,False,True,냥냥vv1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993231,1107993231
