카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_스키/보드/의류,입문용 1213 플럭스 DS30 바인딩 M,"40,000",SALE,본인인증 회원,False,True,캡틴한반도,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987928,1107987928
스포츠/레저_스키/보드/의류,웨이크보드 리퀴드포스 리메디 에어로 142 팝니다,"600,000",SALE,본인인증 회원,False,True,아띠라띠,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984702,1107984702
스포츠/레저_스키/보드/의류,로닉스 웨이크보드 바인딩 사이즈 240~250,"650,000",SALE,중고나라 회원,False,True,나이샤1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984320,1107984320
스포츠/레저_스키/보드/의류,슬링샷 바인딩 260 265 스페이스몹 spacemob 새제품팔아요,"500,000",ESCROW,본인인증 회원,True,True,4JU3,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982447,1107982447
스포츠/레저_스키/보드/의류,파도 서핑보드 3개,"2,500",SALE,중고나라 회원,False,True,전개바기,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977772,1107977772
스포츠/레저_스키/보드/의류,아토믹마그나혹스255 스키부츠 플랙스 110,"260,000",SALE,중고나라 회원,False,True,평택준팀장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976230,1107976230
스포츠/레저_스키/보드/의류,헤드아이쉐잎프로회전스키플레이트163,"290,000",SALE,중고나라 회원,False,True,평택준팀장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976151,1107976151
스포츠/레저_스키/보드/의류,유니크 에어로 웨이크보드 팝니다.,"300,000",SALE,중고나라 회원,False,True,낭만쟁임,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973958,1107973958
스포츠/레저_스키/보드/의류,명품슈트 악스 하이브리드유짚 5mm/170cm/70kg,"800,000",SALE,본인인증 회원,False,True,tokyo76,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973238,1107973238
스포츠/레저_스키/보드/의류,반스 서프부츠2 hi 5mm 280mm 미사용 새제품,"70,000",SALE,본인인증 회원,False,True,tokyo76,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973221,1107973221
