카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_야구용품/의류,엘지트윈스(LG트윈스) 어패럴샵 10만 2천 포인트 양도,"2,000",ESCROW,인증+안전거래 회원,True,True,곽영웅,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993747,1107993747
스포츠/레저_야구용품/의류,전민재 실착 유니폼 삽니다,"131,313",SALE,본인인증 회원,False,True,h1h2h3,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993679,1107993679
스포츠/레저_야구용품/의류,고양 히어로즈 원정 정찬헌 실착 유니폼 팝니다,"200,000",SALE,인증+안전거래 회원,False,True,캡틴짐승,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993026,1107993026
스포츠/레저_야구용품/의류,고양 히어로즈 원정 이형종 실착 유니폼 팝니다,"190,000",SALE,인증+안전거래 회원,False,True,캡틴짐승,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992943,1107992943
스포츠/레저_야구용품/의류,"[80,90] 삼성라이온즈 24 프로페셔널 핑크 유니폼 미개봉 새상품 택포","139,000",SALE,본인인증 회원,False,True,하사아타,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992915,1107992915
스포츠/레저_야구용품/의류,[105] 기아타이거즈 24 원정 어웨이 어센틱 노마킹 새제품 택 포,"155,000",SALE,본인인증 회원,False,True,하사아타,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992865,1107992865
스포츠/레저_야구용품/의류,고양 히어로즈 홈 박주홍 실착 유니폼 팝니다,"180,000",SALE,인증+안전거래 회원,False,True,캡틴짐승,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992842,1107992842
스포츠/레저_야구용품/의류,한화 이글스 꿈돌이 키링 미개봉 새상품 택포,"40,000",SALE,본인인증 회원,False,True,하사아타,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992773,1107992773
스포츠/레저_야구용품/의류,고양 히어로즈 원정 서건창 실착 유니폼 팝니다,"300,000",SALE,인증+안전거래 회원,False,True,캡틴짐승,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992764,1107992764
스포츠/레저_야구용품/의류,[110] 한화 이글스 꿈돌이 유니폼 레플리카 노마킹 미개봉 새상품 택포,"99,000",SALE,본인인증 회원,False,True,하사아타,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992742,1107992742
스포츠/레저_야구용품/의류,제트 네오스테이터스 내야글러브팝니다,"130,000",SALE,본인인증 회원,False,True,야성륌,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992731,1107992731
스포츠/레저_야구용품/의류,키움 영웅의 봉(금갔음),"10,000",ESCROW,본인인증 회원,True,True,julie3,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992464,1107992464
스포츠/레저_야구용품/의류,황성빈라이징스타,"430,000",SALE,중고나라 회원,False,True,아기상언,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992405,1107992405
스포츠/레저_야구용품/의류,롯데 자이언츠 에스더버니 유니폼(95),"150,000",SALE,본인인증 회원,False,True,fbhfosle,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992253,1107992253
스포츠/레저_야구용품/의류,엘지 트윈스 싸인볼,"5,000",SALE,본인인증 회원,False,True,channnnnnnnm,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991959,1107991959
스포츠/레저_야구용품/의류,롯데자이언츠 올드 머플러 1개(새상품),"60,000",SALE,본인인증 회원,False,True,rhakehowl0705,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991688,1107991688
스포츠/레저_야구용품/의류,구형 아식스 스페셜오더 오타니 이도류 경식 투수 글러브 판매합니다. (가격인하),"350,000",ESCROW,중고나라 회원,True,True,비틀스,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991037,1107991037
스포츠/레저_야구용품/의류,윈슨 양귀 헬멧 판매합니다,"26,000",SALE,중고나라 회원,False,True,마실까,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990977,1107990977
스포츠/레저_야구용품/의류,LG트윈스 엘지트윈스 9번 이병규 야구유니폼 영구결번 레전드,"2,000",SALE,본인인증 회원,False,True,스카팽,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990534,1107990534
스포츠/레저_야구용품/의류,한화이글스 김태균 마킹 레플리카 유니폼,"55,000",ESCROW,인증+안전거래 회원,True,True,달님,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990175,1107990175
스포츠/레저_야구용품/의류,한화이글스 정근우 마킹 레플리카 유니폼,"55,000",ESCROW,인증+안전거래 회원,True,True,달님,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990001,1107990001
스포츠/레저_야구용품/의류,한화이글스 강경학 마킹 레플리카 유니폼,"55,000",ESCROW,인증+안전거래 회원,True,True,달님,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989921,1107989921
스포츠/레저_야구용품/의류,한화이글스 핑크 유니폼 90,"100,000",ESCROW,인증+안전거래 회원,True,True,선비,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989610,1107989610
스포츠/레저_야구용품/의류,KT 위즈 엄상백 어센틱 유니폼 95,"90,000",ESCROW,인증+안전거래 회원,True,True,선비,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989500,1107989500
스포츠/레저_야구용품/의류,삼성라이온즈 뉴에라 모자,"15,000",ESCROW,본인인증 회원,True,True,블랑카초이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989405,1107989405
스포츠/레저_야구용품/의류,기아타이거즈 춘식이 방향제 (배송지변경),"25,000",SALE,본인인증 회원,False,True,푸우로,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988994,1107988994
스포츠/레저_야구용품/의류,[95]엘지트윈스 x 마루는강쥐 유니폼 홍창기 마킹,"120,000",SALE,본인인증 회원,False,True,퍼펙트똘끼v,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987228,1107987228
