카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
예술/수집_서양예술작품,장철석 화백- 고향의 봄 (10호/보증서),"2,500,000",SALE,본인인증 회원,False,True,nam0614,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991798,1107991798
예술/수집_서양예술작품,가격문의-서울의달 50호 (유화)/보증서/미사용,"22,222",ESCROW,본인인증 회원,True,True,Moon아트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991458,1107991458
예술/수집_서양예술작품,서울의달-10호(미사용/보증서),"500,000",ESCROW,본인인증 회원,True,True,Moon아트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991433,1107991433
예술/수집_서양예술작품,서울의달- 변형30호 /작품보증서/미사용-<판매가 문의요망>,"22,222",ESCROW,본인인증 회원,True,True,Moon아트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991398,1107991398
예술/수집_서양예술작품,부산항- (변형30호) /작품보증서/미사용-<판매가 문의요망>,"22,222",ESCROW,본인인증 회원,True,True,Moon아트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991362,1107991362
예술/수집_서양예술작품,김정호-서울의달 (변형30호) /작품보증서/미사용-<판매가 문의요망>,"22,222",ESCROW,본인인증 회원,True,True,Moon아트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991346,1107991346
예술/수집_서양예술작품,임병남 화백 정물화 작품,"250,000",SALE,본인인증 회원,False,True,nono62,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107972030,1107972030
예술/수집_서양예술작품,박만수 화백 작품 입니다,"290,000",SALE,본인인증 회원,False,True,nono62,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107971985,1107971985
예술/수집_서양예술작품,김대성 화백 작품,"490,000",SALE,본인인증 회원,False,True,nono62,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107971963,1107971963
예술/수집_서양예술작품,클림트 - ' 다나에 ' (고급앤틱액자) - 110cm × 105cm,"270,000",SALE,본인인증 회원,False,True,비움실천 중,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107962004,1107962004
예술/수집_서양예술작품,Calico Kittens 칼리코 키튼 고양이 3종 빈티지 엔틱 소품,"55,000",SALE,본인인증 회원,False,True,웜데이지,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107942790,1107942790
예술/수집_서양예술작품,화랑운영중지 - 100작품 작가그림 아주저렴하게 판매합니다. (직거래 원하며 / 택배ok) 화실로 직접 방문해서 거래 가능합니다.,"500,000",ESCROW,본인인증 회원,True,True,미술장이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107903498,1107903498
예술/수집_서양예술작품,"현대차 생산직 최종 합격자 배출! 자기소개서 대필·대행·첨삭 24시간 OK! 1:1 맞춤 자소서, 신뢰+합리적 가격 금액까지 한 번에!","119,988",ESCROW,중고나라 회원,True,True,레인보우노트33,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107897597,1107897597
