카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
오토바이_오토바이 125CC초과,(마지막가격)혼다 cb223s 16년식 팝니다,"7,800,000",SALE,본인인증 회원,False,True,우동장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993481,1107993481
오토바이_오토바이 125CC초과,매입] 오토바이 매입 전국 어디든 당일진행 도와드립니다,"7,000,000",SALE,◆셀러회원◆,False,True,mdmdmdye,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992596,1107992596
오토바이_오토바이 125CC초과,야마하 sr400 vmx 커스텀 판매합니다,"13,500,000",SALE,중고나라 회원,False,True,amn1010,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991328,1107991328
오토바이_오토바이 125CC초과,[양평읍/경기도 하남] 람브레타 x300 화이트 판매합니다.,"4,800,000",SALE,중고나라 회원,False,True,제이,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991003,1107991003
오토바이_오토바이 125CC초과,밴다300,"4,000,000",SALE,중고나라 회원,False,True,Kks0897,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990776,1107990776
오토바이_오토바이 125CC초과,킴코 레이싱킹180 판매합니다,"2,200,000",SALE,중고나라 회원,False,True,kbsbit,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990426,1107990426
오토바이_오토바이 125CC초과,스즈키 GSX-R1000 A급 판매합니다.,"9,000,000",SALE,◆셀러회원◆,False,True,mdmdmdye,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989455,1107989455
오토바이_오토바이 125CC초과,인디언스카우트바버 23년12월출고,"16,000,000",SALE,중고나라 회원,False,True,Qjay,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988938,1107988938
오토바이_오토바이 125CC초과,"(배달용x) 포르자 350 22년식 약 31000km 팝니다 (명의이전,폐지가능)","4,500,000",ESCROW,중고나라 회원,True,True,화니잉니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988294,1107988294
오토바이_오토바이 125CC초과,버그만400 22년식,"5,500,000",SALE,중고나라 회원,False,True,신프코,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987845,1107987845
오토바이_오토바이 125CC초과,2024년식 포르자350 판매합니다,"4,500,000",SALE,중고나라 회원,False,True,아이츔,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986946,1107986946
오토바이_오토바이 125CC초과,세로우 250(산악용),"3,500,000",SALE,중고나라 회원,False,True,코뿔사,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985605,1107985605
