카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자동차 용품_휠/타이어/캐리어,(판매)기아 K7 17인치 18인치 19인치 블랙럭셔리 순정휠 무기스 40만 대전,"400,000",SALE,◆셀러회원◆,False,True,휠제이5,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993070,1107993070
자동차 용품_휠/타이어/캐리어,pcd 체인저 팝니다 112-114.3 20mm 쌍용장착,"120,000",SALE,중고나라 회원,False,True,123444566,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992815,1107992815
자동차 용품_휠/타이어/캐리어,신형 싼타페 18인치 순정휠타이어 팝니다,"550,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992294,1107992294
자동차 용품_휠/타이어/캐리어,"싼타페, 쏘렌토, 카니발, 팰리세이드 20인치 휠타이어 팝니다","1,200,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992283,1107992283
자동차 용품_휠/타이어/캐리어,제네시스g80 20인치 순정휠타이어 팝니다,"1,400,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992255,1107992255
자동차 용품_휠/타이어/캐리어,gv80  19인치 임판 휠타이어,"1,000,000",SALE,중고나라 회원,False,True,lost5565,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992186,1107992186
자동차 용품_휠/타이어/캐리어,제네시스g70 18인치 휠타이어 팝니다(245 45 18),"700,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992029,1107992029
자동차 용품_휠/타이어/캐리어,싼타페mx5 캘리그래피 21인치 신품 휠타이어 팝니다,"1,800,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992017,1107992017
자동차 용품_휠/타이어/캐리어,BMW G30 5시리즈 664m 19인치 정품 휠타이어 팝니다,"1,500,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992004,1107992004
자동차 용품_휠/타이어/캐리어,제네시스dh 18인치 순정휠세트 팝니다,"450,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991991,1107991991
자동차 용품_휠/타이어/캐리어,제네시스 EQ900 19인치 크롬 휠타이어 팝니다,"1,200,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991976,1107991976
자동차 용품_휠/타이어/캐리어,그랜저GN7 20인치 순정휠타이어 팝니다,"1,100,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991940,1107991940
자동차 용품_휠/타이어/캐리어,더뉴아반떼 cn7 n라인 터보 18인치 휠타이어 팝니다,"750,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991728,1107991728
자동차 용품_휠/타이어/캐리어,QM3 215-55-17 휠타이어,"480,000",ESCROW,중고나라 회원,True,True,ANmuseum,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991601,1107991601
자동차 용품_휠/타이어/캐리어,제네시스g80(RG3) 18인치 휠타이어 팝니다,"600,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991488,1107991488
자동차 용품_휠/타이어/캐리어,올뉴카니발 19인치 순정휠타이어 팝니다,"650,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991472,1107991472
자동차 용품_휠/타이어/캐리어,K8 18인치 순정휠타이어 팝니다,"750,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991462,1107991462
자동차 용품_휠/타이어/캐리어,제네시스GV80 22인치 휠타이어 팝니다,"1,600,000",SALE,◆셀러회원◆,False,True,드렁큰타이어 1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991450,1107991450
