카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_MTB/사이클,자이언트 atx 사이즈 s,"250,000",ESCROW,중고나라 회원,True,True,funn****,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993357,1107993357
자전거_MTB/사이클,스왈로우 랜도너 팝니다,"1,100,000",SALE,본인인증 회원,False,True,비과세훈남,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993306,1107993306
자전거_MTB/사이클,팀머신 SLR01 ONE 아소스 퀘베카 팀컬러 51 듀라 조립차,"6,500,000",SALE,중고나라 회원,False,True,pappywat,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991888,1107991888
자전거_MTB/사이클,자이언트XTC  MTB,"950,000",SALE,본인인증 회원,False,True,인생자전거,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991341,1107991341
자전거_MTB/사이클,bmc 투스트로크01,"7,500,000",SALE,본인인증 회원,False,True,시라윤,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990935,1107990935
자전거_MTB/사이클,클릭 프라임26D 26 MTB 자전거 디스크브레이크,"150,000",ESCROW,중고나라 회원,True,True,Brown cat,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990870,1107990870
자전거_MTB/사이클,짚 303 카본휠셋,"900,000",SALE,중고나라 회원,False,True,룰룰랄롱랑,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990211,1107990211
자전거_MTB/사이클,시마노 에스파이어 rc 9 (카본 클릿슈즈),"150,000",SALE,중고나라 회원,False,True,룰룰랄롱랑,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990201,1107990201
자전거_MTB/사이클,트렉 에몬다 sl6 (울테그라),"1,300,000",SALE,중고나라 회원,False,True,룰룰랄롱랑,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990192,1107990192
자전거_MTB/사이클,아덴바이크 치즈사이클링 로드자전거 져지,"59,000",SALE,본인인증 회원,False,True,zoq,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990119,1107990119
자전거_MTB/사이클,라파 프로팀 트레이닝 져지,"75,000",SALE,본인인증 회원,False,True,zoq,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990104,1107990104
자전거_MTB/사이클,스페셜 라이즈드 상급 모델 반차 54사이즈 상태 A급,"1,600,000",SALE,중고나라 회원,False,True,jbh510417,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988650,1107988650
자전거_MTB/사이클,트렉 도마니al3 52사이즈 디스크 로드,"700,000",SALE,본인인증 회원,False,True,han98456,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988570,1107988570
자전거_MTB/사이클,2024 첼로 엘리엇 D7 L사이즈,"1,650,000",SALE,중고나라 회원,False,True,체게,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988529,1107988529
자전거_MTB/사이클,*최상급*22년 S-WORKS 에픽 LTD M스피드 오브 라이트 컬랙션,"9,400,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988126,1107988126
자전거_MTB/사이클,2013 스페셜라이즈드 벤지 엘리트,"1,250,000",SALE,중고나라 회원,False,True,화니미니사랑,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988098,1107988098
자전거_MTB/사이클,포커스 이자르코맥스 9.7,"5,700,000",SALE,본인인증 회원,False,True,중고나라조아해,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987729,1107987729
자전거_MTB/사이클,BH Quartz 쿼츠 울테그라 카본 로드 자전거 싸이클 47사이즈 용품 포함 급처,"690,000",ESCROW,본인인증 회원,True,True,신속루카,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987634,1107987634
자전거_MTB/사이클,시마노슈즈 xc702 43.5 와이드,"180,000",SALE,중고나라 회원,False,True,ssliillll123,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987353,1107987353
자전거_MTB/사이클,상태최상:) 스페셜라이즈드 에픽 하드테일 콤프 카본MTB 싸게판매,"2,390,000",SALE,중고나라 회원,False,True,banse,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986831,1107986831
자전거_MTB/사이클,트렉 마돈 SLR8 2023년 6세대 구매 전동 스램 포스 PPF 작업 52사이즈,"6,000,000",ESCROW,중고나라 회원,True,True,리벤지아키텍쳐,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986575,1107986575
자전거_MTB/사이클,킹케이지 물통 케이지 스테인레스 1쌍 판매 합니다.,"45,000",ESCROW,인증+안전거래 회원,True,True,미어캣,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986440,1107986440
자전거_MTB/사이클,파노말 에센셜 얼스 M사이즈 져지 판매 합니다.,"100,000",ESCROW,인증+안전거래 회원,True,True,미어캣,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986402,1107986402
자전거_MTB/사이클,파노말 메커니즘 베이지 m사이즈 져지 판매 합니다.,"110,000",ESCROW,인증+안전거래 회원,True,True,미어캣,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986381,1107986381
자전거_MTB/사이클,스램 GX 12단 쉬프트 / 드레일러 / 스프라켓 판매,"200,000",SALE,본인인증 회원,False,True,GiNi76,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986367,1107986367
자전거_MTB/사이클,rassine 흡착식 자전거 캐리어,"190,000",ESCROW,중고나라 회원,True,True,Hmcrate91,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986332,1107986332
자전거_MTB/사이클,엘파마 판타시아 G 카본 XT mtb 자전거,"1,550,000",ESCROW,본인인증 회원,True,True,와리가리465,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107986233,1107986233
자전거_MTB/사이클,캐논데일 슈퍼식스 에보 우먼스 48 사이즈 화이트 자전거 로드바이크,"1,000,000",ESCROW,중고나라 회원,True,True,마니,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985140,1107985140
자전거_MTB/사이클,캐니언 스피드맥스 cf slx 9.0 m사이즈 팝니다.,"6,000,000",SALE,본인인증 회원,False,True,ccj12345,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984806,1107984806
자전거_MTB/사이클,스페셜라이즈드 타막 2015 무광 52사이즈,"1,000,000",ESCROW,본인인증 회원,True,True,tkfqndjddl,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984515,1107984515
자전거_MTB/사이클,18년 자이언트 XTC 어드밴스2 S -27.5인치-,"1,250,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983919,1107983919
자전거_MTB/사이클,*A급*가격인하*20년 위아위스 와스지 듀라에이스 47 XS 디스크,"3,500,000",SALE,◆셀러회원◆,False,True,영MTB위탁판매점,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983735,1107983735
자전거_MTB/사이클,엘파마(ELFAMA) VENTOR H2000 네이비 사이즈 S 자전거 새상품 (각종 악세사리 포함) 33만원에 팝니다,"330,000",SALE,중고나라 회원,False,True,알파베타,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983652,1107983652
자전거_MTB/사이클,캐논데일 f8 하이브리드 (자이언트 등 보다 나아요~),"150,000",SOLD_OUT,본인인증 회원,False,False,랄뽕랄뽕랄뽕,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983349,1107983349
자전거_MTB/사이클,첼로 리로드 g7 s사이즈,"1,300,000",SALE,중고나라 회원,False,True,koioiok,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982750,1107982750
자전거_MTB/사이클,비토리아 떼리노 드라이탄 38c 판매합니다,"90,000",SALE,본인인증 회원,False,True,paiste80,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982361,1107982361
자전거_MTB/사이클,트렉 에몬다 SL6 56사이즈 림브레이크 올블랙(6800 기계식 풀 울테그라 구동계),"1,200,000",SALE,중고나라 회원,False,True,rhkdgml1102,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981215,1107981215
자전거_MTB/사이클,엘파마 풀카본 올xtr 24단 27.5인치 사이즈340 판매합니다.,"2,500,000",SALE,중고나라 회원,False,True,cosmospc55,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981007,1107981007
자전거_MTB/사이클,메리다 TFS800 30단 에어샥 MTB 산악 자전거,"500,000",SALE,중고나라 회원,False,True,누룩막걸리,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980808,1107980808
자전거_MTB/사이클,22년식 자이언트 컨텐드 AR3 S사이즈 팝니다,"700,000",SALE,중고나라 회원,False,True,Byungjun75,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979524,1107979524
자전거_MTB/사이클,에스웍 타막 sl7 54사이즈,"9,200,000",SALE,본인인증 회원,False,True,람브레타98,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979206,1107979206
자전거_MTB/사이클,캐니언 커뮤터7 하이브리드 자전거 S사이즈 판매,"1,300,000",ESCROW,인증+안전거래 회원,True,True,copin,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978910,1107978910
자전거_MTB/사이클,시마노 105 R7100 170mm 크랭크암,"40,000",SOLD_OUT,중고나라 회원,False,False,wlws,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978802,1107978802
자전거_MTB/사이클,시마노 rc7 클릿슈즈 39사이즈,"100,000",ESCROW,중고나라 회원,True,True,서울 박요한,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978555,1107978555
자전거_MTB/사이클,산마리코 리갈 망간 안장,"40,000",SALE,인증+안전거래 회원,False,True,쿠,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978498,1107978498
자전거_MTB/사이클,시마노 rcs 클릿슈즈 43,"80,000",ESCROW,본인인증 회원,True,True,요곡이장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978456,1107978456
자전거_MTB/사이클,** 23년 스캇 에딕트 rc15 ** 울테그라 DI2,"4,200,000",ESCROW,중고나라 회원,True,True,서울 박요한,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978453,1107978453
자전거_MTB/사이클,엘리트 수이토 스마트실내로라,"250,000",ESCROW,본인인증 회원,True,True,요곡이장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978364,1107978364
자전거_MTB/사이클,스미스 이그나이트 에어로 자전거헬멧,"180,000",ESCROW,본인인증 회원,True,True,요곡이장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978326,1107978326
자전거_MTB/사이클,스캇 자전거,"1,200,000",ESCROW,중고나라 회원,True,True,유니크vV,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978307,1107978307
자전거_MTB/사이클,시마노 105 크랭크 R7000 52-36T 170mm,"90,000",SALE,인증+안전거래 회원,False,True,쿠,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107978272,1107978272
