카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_픽시/하이브리드,나가사와 러그 경륜,"1,250,000",SALE,중고나라 회원,False,True,whitemountain01,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992381,1107992381
자전거_픽시/하이브리드,스테이츠 픽시 자전거 스테이트,"210,000",SALE,중고나라 회원,False,True,예믈리에,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989384,1107989384
자전거_픽시/하이브리드,자이언트 이스케이프 jr 자전거 초등용,"200,000",SALE,중고나라 회원,False,True,나는리얼리티,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989049,1107989049
자전거_픽시/하이브리드,스페셜라이즈드 시러스 스포츠 하이브리드 자전거 S 사이즈 저렴 급처,"190,000",SALE,중고나라 회원,False,True,카보네이드,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107987779,1107987779
자전거_픽시/하이브리드,자이언트 이스케이프2 M팝니다,"350,000",SALE,중고나라 회원,False,True,ohsk1024,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984250,1107984250
자전거_픽시/하이브리드,엘파마(ELFAMA) VENTOR H2000 네이비 사이즈 S 자전거 새상품 (각종 악세사리 포함) 33만원에 팝니다,"330,000",SALE,중고나라 회원,False,True,알파베타,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984054,1107984054
자전거_픽시/하이브리드,자이언트 리브 이스케이프 R3W XS 하이브리드 자전거,"250,000",SALE,본인인증 회원,False,True,충남 사람,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107974774,1107974774
자전거_픽시/하이브리드,트렉 FX4 스포츠 카본 자전거 팝니다.,"1,950,000",SALE,중고나라 회원,False,True,맑음,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973660,1107973660
자전거_픽시/하이브리드,알톤 로드마스터 R21 시마노 27단 자전거,"70,000",SALE,중고나라 회원,False,True,시길,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107973409,1107973409
자전거_픽시/하이브리드,대구) 알톤 하이브리드 자전거 스피더 700C 21단 팝니다,"150,000",ESCROW,본인인증 회원,True,True,shyeon4,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964799,1107964799
자전거_픽시/하이브리드,"K2 고어텍스 방수자켓, 아이더 바람막이, 밀레 방수자켓","79,000",SALE,중고나라 회원,False,True,꼬마뺑덕,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964735,1107964735
자전거_픽시/하이브리드,자이언트 에스케이프2 S 신품급 연회색 이스케이프2,"380,000",SALE,인증+안전거래 회원,False,True,좋은거래감사염,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107963595,1107963595
자전거_픽시/하이브리드,언노운 픽시 자전거 블랙,"150,000",SALE,본인인증 회원,False,True,강인람쥐,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107957306,1107957306
자전거_픽시/하이브리드,(사진많음) 자전거관련용품 1만원씩.,"10,000",SALE,중고나라 회원,False,True,모두처분합니다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107955413,1107955413
자전거_픽시/하이브리드,듄(tune) 스템,"150,000",SOLD_OUT,인증+안전거래 회원,True,False,로드무비비,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107954154,1107954154
자전거_픽시/하이브리드,톰슨 싯클램프 실버,"50,000",SOLD_OUT,인증+안전거래 회원,True,False,로드무비비,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107953087,1107953087
자전거_픽시/하이브리드,스페셜라이즈드 시러스 스포츠 하이브리드 자전거 S 사이즈 저렴 급처,"190,000",SALE,중고나라 회원,False,True,카보네이드,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107942829,1107942829
자전거_픽시/하이브리드,2024 자이언트 에스케이프 디스크 L사이즈 판매합니다.,"530,000",ESCROW,본인인증 회원,True,True,popopo3434,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107936398,1107936398
자전거_픽시/하이브리드,엔진11 픽시 완차,"670,000",ESCROW,중고나라 회원,True,True,artitect,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107932114,1107932114
자전거_픽시/하이브리드,쓰나미 snm100 픽시,"470,000",SALE,본인인증 회원,False,True,플레이어즈,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107931953,1107931953
자전거_픽시/하이브리드,트렉 TREK FX3 하이브리드 자전거,"750,000",SALE,본인인증 회원,False,True,전력공학3,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107927960,1107927960
