카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
자전거_휠/킥보드,나인봇es2.4 본체 보조배터리 저렴하게 팝니다,"60,000",SALE,본인인증 회원,False,True,ds1mmo,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991936,1107991936
자전거_휠/킥보드,오운보드 제우스 프로 카본 GT ZEUS PRO 클라우드 휠 전동보드,"1,350,000",SALE,본인인증 회원,False,True,성현성현성,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990809,1107990809
자전거_휠/킥보드,엘리트 엔트 38mm 카본 디스크 휠 판매합니다 elite ent,"240,000",SALE,본인인증 회원,False,True,당근파는토끼1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985795,1107985795
자전거_휠/킥보드,보라 울트라 wto 60mm 구형 팝니다,"2,100,000",SALE,중고나라 회원,False,True,김태형,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107983971,1107983971
자전거_휠/킥보드,나인봇본제배터리 보조배터리 필요하신분,"30,000",SALE,본인인증 회원,False,True,ds1mmo,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980746,1107980746
자전거_휠/킥보드,나인봇 미니 프로320 팝니다,"250,000",SALE,본인인증 회원,False,True,robotox,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980022,1107980022
자전거_휠/킥보드,나인봇 미니 팝니더,"150,000",SALE,본인인증 회원,False,True,robotox,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107979828,1107979828
자전거_휠/킥보드,[듀얼트론 코리아]고장난 스파이더맥스,"2,000",ESCROW,본인인증 회원,True,True,lMinil,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107977332,1107977332
자전거_휠/킥보드,유로힐 TS600 부품용,"140,000",SALE,중고나라 회원,False,True,프로필을 설정하세요,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107970723,1107970723
자전거_휠/킥보드,메리다 스피더 콤프 휠셋 및 maxxis detonator 700*32c 타이어셋,"50,000",SALE,본인인증 회원,False,True,ionwater9,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107967026,1107967026
자전거_휠/킥보드,마이크로킥보드  몬스터,"320,000",SALE,중고나라 회원,False,True,즐건하루0,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965683,1107965683
자전거_휠/킥보드,나인봇 맥스 g30 팝니다,"150,000",SALE,중고나라 회원,False,True,마켓플,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964439,1107964439
자전거_휠/킥보드,미니모터스 스피드웨이 4 미니 프로 판매합니다.,"200,000",ESCROW,인증+안전거래 회원,True,True,Rostina,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964386,1107964386
자전거_휠/킥보드,2400w 듀얼모터 알콘듀얼 전동킥보드 팝니다.,"398,000",ESCROW,중고나라 회원,True,True,필트레이시,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107962654,1107962654
자전거_휠/킥보드,종합검사다한 퀄리 q2 전기자전거 팝니다.,"339,000",ESCROW,중고나라 회원,True,True,필트레이시,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107962531,1107962531
자전거_휠/킥보드,14인치 중 최강스펙 비아지오 m7 전기자전거 팜,"498,000",ESCROW,중고나라 회원,True,True,필트레이시,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107962452,1107962452
자전거_휠/킥보드,위페드 smax90 50a 튜닝된거 팝니다,"1,000,000",ESCROW,중고나라 회원,True,True,주가문제야,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107957978,1107957978
자전거_휠/킥보드,위페드 소닉S 화이트 팔아요 100.8V 150A,"9,000,000",SALE,중고나라 회원,False,True,오늘내가간다,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107957576,1107957576
