카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고차_수입차(개인인증),벤츠 E200 카브리올레 흰색 실내레드 팝니다,"11,500,000",SALE,본인인증 회원,False,True,Tony,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993711,1107993711
중고차_수입차(개인인증),BMW320d 2015년식,"12,900,000",SALE,중고나라 회원,False,True,banana914,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107993229,1107993229
중고차_수입차(개인인증),벤츠 GLS 클래스 (X166) GLS 350d 4MATIC 판매중입니다,"5,300",SALE,중고나라 회원,False,True,포인티트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988933,1107988933
중고차_수입차(개인인증),벤츠 EQS V297 EQS 450 4MATIC,"9,500",SALE,중고나라 회원,False,True,포인티트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988445,1107988445
중고차_수입차(개인인증),Bmw 5gt 30d 2wd 팝니다,"17,500,000",SALE,본인인증 회원,False,True,왕서방,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988048,1107988048
중고차_수입차(개인인증),BMW 5GT 2014년식(후기형) 흰색 판매합니다.,"11,500,000",SALE,본인인증 회원,False,True,봉봉파파2,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985276,1107985276
중고차_수입차(개인인증),캐딜락 CT6 3.6 프리미엄 AWD  판매합니다,"2,550",SALE,중고나라 회원,False,True,포인티트,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107981681,1107981681
중고차_수입차(개인인증),캐딜락 ct6  대형차 블랙 판매중입니다,"2,550",SALE,본인인증 회원,False,True,girlinlovea,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980891,1107980891
중고차_수입차(개인인증),[판매] 2013 BMW F30 320d 판매합니다.,"15,000,000",SALE,중고나라 회원,False,True,kgal9292,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980866,1107980866
중고차_수입차(개인인증),[판매] 2003 벤츠 W203 C240 판매합니다.,"10,000,000",SALE,중고나라 회원,False,True,kgal9292,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980655,1107980655
