카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
중고차_쉐보레_르노_쌍용,중고차☆신뢰☆믿음☆정직☆고객님께 약속드립니다!,"2,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김인종,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107966738,1107966738
중고차_쉐보레_르노_쌍용,[KG모빌리티(쌍용) ]티볼리 가솔린 2WD 1.6 VX  (5인승) 2016 년 중고차☆전액할부☆중고리스☆첫차☆,"8,300,000",ESCROW,◆셀러회원◆,True,True,인증딜러 이팀장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107966659,1107966659
중고차_쉐보레_르노_쌍용,중고차☆신뢰☆믿음☆정직☆고객님께 약속드립니다!,"2,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김인종,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107966202,1107966202
중고차_쉐보레_르노_쌍용,[KG모빌리티(쌍용) ]뷰티풀코란도 2WD 디젤 1.6 C5  (5인승) 2022 년 중고차☆전액할부☆중고리스☆첫차☆,"15,400,000",ESCROW,◆셀러회원◆,True,True,인증딜러 이팀장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107966136,1107966136
중고차_쉐보레_르노_쌍용,중고차☆신뢰☆믿음☆정직☆고객님께 약속드립니다!,"2,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김인종,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965649,1107965649
중고차_쉐보레_르노_쌍용,[KG모빌리티(쌍용) ]더 뉴 렉스턴 스포츠 디젤 2.2 4WD 노블레스 (5인승) 2022 년 중고차☆전액할부☆중고리스☆첫차☆,"29,500,000",ESCROW,◆셀러회원◆,True,True,인증딜러 이팀장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965580,1107965580
중고차_쉐보레_르노_쌍용,[르노코리아(삼성)]XM3 1.6 GTe RE  (5인승) 2022 년 중고차☆신뢰☆믿음☆정직☆고객님께 약속드립니다!,"14,500,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김인종,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107965018,1107965018
중고차_쉐보레_르노_쌍용,[KG모빌리티(쌍용) ]G4렉스턴 디젤 2.2 4WD 헤리티지 (5인승) 2018 년 중고차☆전액할부☆중고리스☆첫차☆,"15,800,000",ESCROW,◆셀러회원◆,True,True,인증딜러 이팀장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964922,1107964922
중고차_쉐보레_르노_쌍용,[르노코리아(삼성)]XM3 1.3 TCe RE 시그니처  (5인승) 2020 년 중고차☆신뢰☆믿음☆정직☆고객님께 약속드립니다!,"11,200,000",ESCROW,◆셀러회원◆,True,True,인증딜러 김인종,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964405,1107964405
중고차_쉐보레_르노_쌍용,[KG모빌리티(쌍용) ]올 뉴 렉스턴 (Y450) 디젤 2.2 4WD 더 블랙  (5인승) 2021 년 중고차☆전액할부☆중고리스☆첫차☆,"32,800,000",ESCROW,◆셀러회원◆,True,True,인증딜러 이팀장,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107964295,1107964295
